"V1" "V2"
"1" 21492 -67
"2" 21494 -67
"3" 22134 -71
"4" 22136 -71
"5" 22320 -62
"6" 22322 -63
"7" 22666 -71
"8" 22668 -71
"9" 22868 -52
"10" 23066 -69
"11" 23068 -71
"12" 23264 -69
"13" 23266 -71
"14" 24222 -69
"15" 24224 -71
"16" 25296 -67
"17" 25488 -52
"18" 25894 -55
"19" 26226 -72
"20" 26228 -72
"21" 26432 -72
"22" 26434 -72
"23" 26648 -46
"24" 26874 -63
"25" 26876 -63
"26" 27138 -51
"27" 27504 -72
"28" 27506 -73
"29" 27724 -62
"30" 27942 -56
"31" 28116 -62
"32" 28118 -63
"33" 28480 -67
"34" 28482 -67
"35" 29044 -70
"36" 29046 -71
"37" 29456 -63
"38" 29458 -63
"39" 29630 -63
"40" 29632 -63
"41" 29818 -63
"42" 29820 -63
"43" 30012 -67
"44" 30014 -67
"45" 30426 -72
"46" 30428 -72
"47" 30702 -56
"48" 30870 -70
"49" 30872 -72
"50" 31020 -63
"51" 31022 -63
"52" 31174 -62
"53" 31176 -63
"54" 31344 -63
"55" 31346 -63
"56" 31514 -52
"57" 31670 -67
"58" 31672 -67
"59" 31832 -72
"60" 31834 -73
"61" 32010 -63
"62" 32012 -63
"63" 32170 -46
"64" 32324 -65
"65" 32326 -67
"66" 32492 -66
"67" 32494 -67
"68" 32652 -57
"69" 32810 -46
"70" 32984 -47
"71" 33122 -62
"72" 33124 -63
"73" 33446 -50
"74" 33604 -70
"75" 33606 -72
"76" 33772 -56
"77" 33934 -62
"78" 33936 -62
"79" 34104 -62
"80" 34106 -62
"81" 34416 -52
"82" 34574 -71
"83" 34576 -73
"84" 34884 -63
"85" 34886 -63
"86" 35372 -66
"87" 35374 -66
"88" 35534 -65
"89" 35536 -67
"90" 35672 -71
"91" 35674 -73
"92" 35802 -63
"93" 35804 -63
"94" 35930 -63
"95" 35932 -63
"96" 36064 -66
"97" 36066 -66
"98" 36186 -66
"99" 36188 -67
"100" 36324 -56
"101" 36450 -72
"102" 36452 -72
"103" 36596 -63
"104" 36598 -63
"105" 36728 -63
"106" 36730 -63
"107" 36850 -66
"108" 36852 -66
"109" 36990 -65
"110" 36992 -66
"111" 37114 -51
"112" 37246 -67
"113" 37248 -67
"114" 37360 -55
"115" 37494 -63
"116" 37496 -63
"117" 37616 -69
"118" 37618 -68
"119" 37778 -68
"120" 37780 -68
"121" 37956 -67
"122" 37958 -67
"123" 38122 -70
"124" 38124 -72
"125" 38280 -72
"126" 38282 -73
"127" 38464 -63
"128" 38466 -63
"129" 38664 -63
"130" 38666 -63
"131" 39110 -67
"132" 39112 -68
"133" 39532 -52
"134" 39862 -56
"135" 40444 -47
"136" 40888 -62
"137" 40890 -63
"138" 41786 -72
"139" 41788 -73
