"V1" "V2"
"1" 45406 -73
"2" 45568 -73
"3" 47668 -73
"4" 48324 -73
"5" 51846 -73
"6" 55110 -73
"7" 46386 -72
"8" 47340 -72
"9" 47342 -72
"10" 48478 -72
"11" 49300 -72
"12" 49302 -72
"13" 50196 -72
"14" 50554 -72
"15" 53824 -72
"16" 58674 -72
"17" 58676 -72
"18" 58836 -72
"19" 42512 -71
"20" 42514 -71
"21" 45566 -71
"22" 47666 -71
"23" 48322 -71
"24" 48476 -71
"25" 51848 -71
"26" 53822 -71
"27" 54942 -71
"28" 55108 -71
"29" 55874 -71
"30" 55876 -71
"31" 56842 -71
"32" 56844 -71
"33" 57854 -71
"34" 57856 -71
"35" 58008 -71
"36" 58010 -71
"37" 61754 -71
"38" 61756 -71
"39" 61910 -71
"40" 62998 -71
"41" 63000 -71
"42" 64476 -71
"43" 45404 -70
"44" 46384 -70
"45" 50194 -70
"46" 50552 -70
"47" 54940 -70
"48" 61908 -69
"49" 64474 -69
"50" 42190 -68
"51" 52404 -68
"52" 42192 -67
"53" 43226 -67
"54" 44142 -67
"55" 44144 -67
"56" 45096 -67
"57" 47016 -67
"58" 47018 -67
"59" 47182 -67
"60" 47184 -67
"61" 48012 -67
"62" 48170 -67
"63" 48172 -67
"64" 48956 -67
"65" 48958 -67
"66" 50006 -67
"67" 50008 -67
"68" 51276 -67
"69" 51470 -67
"70" 51472 -67
"71" 52212 -67
"72" 52214 -67
"73" 52402 -67
"74" 52600 -67
"75" 52602 -67
"76" 53286 -67
"77" 53472 -67
"78" 53646 -67
"79" 54394 -67
"80" 54744 -67
"81" 55584 -67
"82" 55722 -67
"83" 55724 -67
"84" 56664 -67
"85" 57506 -67
"86" 57508 -67
"87" 58500 -67
"88" 58502 -67
"89" 59654 -67
"90" 61582 -67
"91" 62560 -67
"92" 64094 -67
"93" 64096 -67
"94" 64300 -67
"95" 65038 -67
"96" 65246 -67
"97" 65248 -67
"98" 45094 -66
"99" 48010 -66
"100" 53284 -66
"101" 53644 -66
"102" 55582 -66
"103" 57676 -66
"104" 57678 -66
"105" 61580 -66
"106" 62558 -66
"107" 62722 -66
"108" 62724 -66
"109" 43224 -65
"110" 54392 -65
"111" 54742 -65
"112" 56662 -65
"113" 59652 -65
"114" 64298 -65
"115" 65036 -65
"116" 44620 -64
"117" 44784 -64
"118" 61064 -64
"119" 61066 -64
"120" 42722 -63
"121" 42724 -63
"122" 43820 -63
"123" 43822 -63
"124" 43976 -63
"125" 44618 -63
"126" 44940 -63
"127" 44942 -63
"128" 45744 -63
"129" 45746 -63
"130" 46690 -63
"131" 46852 -63
"132" 46854 -63
"133" 48646 -63
"134" 48648 -63
"135" 49458 -63
"136" 49460 -63
"137" 49824 -63
"138" 50906 -63
"139" 50908 -63
"140" 52034 -63
"141" 52036 -63
"142" 52942 -63
"143" 52944 -63
"144" 54204 -63
"145" 54206 -63
"146" 55278 -63
"147" 55280 -63
"148" 56158 -63
"149" 56160 -63
"150" 58166 -63
"151" 58168 -63
"152" 59176 -63
"153" 59178 -63
"154" 59962 -63
"155" 60128 -63
"156" 60130 -63
"157" 60278 -63
"158" 60280 -63
"159" 61242 -63
"160" 61406 -63
"161" 61408 -63
"162" 62080 -63
"163" 62082 -63
"164" 62244 -63
"165" 62246 -63
"166" 62398 -63
"167" 62400 -63
"168" 63156 -63
"169" 63552 -63
"170" 63554 -63
"171" 64680 -63
"172" 43974 -62
"173" 44782 -62
"174" 49822 -62
"175" 59960 -62
"176" 61240 -62
"177" 63154 -62
"178" 64678 -61
