"V1" "V2"
"1" 10 2
"2" 11 0
"3" 12 0
"4" 13 0
"5" 14 0
"6" 15 1
"7" 16 0
"8" 17 0
"9" 18 0
"10" 19 0
"11" 20 0
"12" 21 0
"13" 22 0
"14" 23 0
"15" 24 0
"16" 25 2
"17" 26 0
"18" 27 0
"19" 28 14
"20" 29 0
"21" 30 0
"22" 31 0
"23" 32 0
"24" 33 0
"25" 34 0
"26" 35 0
"27" 36 1
"28" 37 24
"29" 38 28
"30" 39 25
"31" 40 1
"32" 41 0
"33" 42 0
"34" 43 0
"35" 44 0
"36" 45 0
"37" 46 1
"38" 47 0
"39" 48 0
"40" 49 0
"41" 50 0
"42" 51 0
"43" 52 0
"44" 53 0
"45" 54 0
"46" 55 0
"47" 56 0
"48" 57 0
"49" 58 0
"50" 59 0
"51" 60 0
"52" 61 0
"53" 62 0
"54" 63 0
"55" 64 0
"56" 65 0
"57" 66 0
"58" 67 0
"59" 68 0
"60" 69 0
"61" 70 0
"62" 71 0
"63" 72 0
"64" 73 0
"65" 74 1
