"V1" "V2"
"1" 3896 69
"2" 12626 69
"3" 14216 69
"4" 15838 69
"5" 37224 69
"6" 42772 69
"7" 44322 69
"8" 44634 69
"9" 52840 69
"10" 65260 69
"11" 1484 70
"12" 11648 70
"13" 13386 70
"14" 19804 70
"15" 28326 70
"16" 43424 70
"17" 48316 70
"18" 49822 70
"19" 52916 70
"20" 53090 70
"21" 57182 70
"22" 74 71
"23" 11262 71
"24" 11264 71
"25" 12216 71
"26" 12218 71
"27" 12420 71
"28" 16858 71
"29" 21938 71
"30" 22278 71
"31" 23396 71
"32" 23670 71
"33" 24246 71
"34" 24248 71
"35" 24542 71
"36" 24544 71
"37" 24740 71
"38" 25110 71
"39" 25490 71
"40" 25492 71
"41" 25876 71
"42" 25878 71
"43" 26062 71
"44" 26064 71
"45" 26352 71
"46" 26580 71
"47" 28224 71
"48" 28496 71
"49" 28498 71
"50" 28968 71
"51" 28970 71
"52" 30602 71
"53" 30604 71
"54" 33150 71
"55" 33152 71
"56" 33580 71
"57" 33582 71
"58" 35758 71
"59" 37360 71
"60" 37362 71
"61" 38224 71
"62" 40922 71
"63" 44162 71
"64" 45356 71
"65" 46546 71
"66" 47954 71
"67" 47956 71
"68" 48498 71
"69" 49276 71
"70" 50842 71
"71" 51670 71
"72" 51672 71
"73" 52390 71
"74" 53432 71
"75" 54936 71
"76" 56484 71
"77" 57332 71
"78" 59038 71
"79" 59040 71
"80" 62446 71
"81" 62448 71
"82" 62996 71
"83" 62998 71
"84" 442 72
"85" 444 72
"86" 740 72
"87" 742 72
"88" 1234 72
"89" 1236 72
"90" 1396 72
"91" 1398 72
"92" 1828 72
"93" 1830 72
"94" 3170 72
"95" 3172 72
"96" 3336 72
"97" 4634 72
"98" 4988 72
"99" 4990 72
"100" 5168 72
"101" 5170 72
"102" 6736 72
"103" 6738 72
"104" 7486 72
"105" 7488 72
"106" 8354 72
"107" 8356 72
"108" 8534 72
"109" 8536 72
"110" 10484 72
"111" 10684 72
"112" 10686 72
"113" 12016 72
"114" 12018 72
"115" 12418 72
"116" 13648 72
"117" 13650 72
"118" 13828 72
"119" 13830 72
"120" 14412 72
"121" 14414 72
"122" 15086 72
"123" 15088 72
"124" 15276 72
"125" 15278 72
"126" 15650 72
"127" 15652 72
"128" 16396 72
"129" 16398 72
"130" 16676 72
"131" 16678 72
"132" 16856 72
"133" 17414 72
"134" 17416 72
"135" 19034 72
"136" 19036 72
"137" 19226 72
"138" 19228 72
"139" 19412 72
"140" 19414 72
"141" 20382 72
"142" 20384 72
"143" 20868 72
"144" 20870 72
"145" 21048 72
"146" 21050 72
"147" 21436 72
"148" 21438 72
"149" 21936 72
"150" 22096 72
"151" 22098 72
"152" 22280 72
"153" 22468 72
"154" 22470 72
"155" 22648 72
"156" 22650 72
"157" 23394 72
"158" 23672 72
"159" 23862 72
"160" 24742 72
"161" 25108 72
"162" 25674 72
"163" 25676 72
"164" 26578 72
"165" 29896 72
"166" 29898 72
"167" 31362 72
"168" 31364 72
"169" 31552 72
"170" 34366 72
"171" 37568 72
"172" 37570 72
"173" 38226 72
"174" 38516 72
"175" 38518 72
"176" 38786 72
"177" 38788 72
"178" 43080 72
"179" 45358 72
"180" 45690 72
"181" 45692 72
"182" 46004 72
"183" 46006 72
"184" 46382 72
"185" 46384 72
"186" 48318 72
"187" 48668 72
"188" 50844 72
"189" 52918 72
"190" 57334 72
"191" 57494 72
"192" 57496 72
"193" 58876 72
"194" 58878 72
"195" 2304 73
"196" 3334 73
"197" 4632 73
"198" 6558 73
"199" 6836 73
"200" 11554 73
"201" 15746 73
"202" 15748 73
"203" 17042 73
"204" 19506 73
"205" 19700 73
"206" 19898 73
"207" 21840 73
"208" 21842 73
"209" 23860 73
"210" 27048 73
"211" 27422 73
"212" 27424 73
"213" 28226 73
"214" 33364 73
"215" 35760 73
"216" 39292 73
"217" 39294 73
"218" 40528 73
"219" 40924 73
"220" 42276 73
"221" 42278 73
"222" 43082 73
"223" 43756 73
"224" 43758 73
"225" 44164 73
"226" 46548 73
"227" 47592 73
"228" 47594 73
"229" 47770 73
"230" 47772 73
"231" 48666 73
"232" 49278 73
"233" 49674 73
"234" 49676 73
"235" 51348 73
"236" 51350 73
"237" 52392 73
"238" 53092 73
"239" 53434 73
"240" 54938 73
"241" 56486 73
"242" 58796 73
"243" 58798 73
"244" 60284 73
"245" 60880 73
"246" 60882 73
"247" 60984 73
"248" 60986 73
"249" 61464 73
"250" 61466 73
"251" 61762 73
"252" 61764 73
"253" 63092 73
"254" 63542 73
"255" 63544 73
"256" 64024 73
"257" 64026 73
"258" 65170 73
"259" 65172 73
"260" 65330 73
"261" 65332 73
"262" 136 74
"263" 138 74
"264" 968 74
"265" 970 74
"266" 1578 74
"267" 1580 74
"268" 1928 74
"269" 1930 74
"270" 2122 74
"271" 2124 74
"272" 2302 74
"273" 2478 74
"274" 2480 74
"275" 2650 74
"276" 2652 74
"277" 2836 74
"278" 2838 74
"279" 3254 74
"280" 3256 74
"281" 3732 74
"282" 3734 74
"283" 5254 74
"284" 5256 74
"285" 5908 74
"286" 5910 74
"287" 6156 74
"288" 6158 74
"289" 6356 74
"290" 6358 74
"291" 6560 74
"292" 6838 74
"293" 7386 74
"294" 7388 74
"295" 7668 74
"296" 7670 74
"297" 7878 74
"298" 7880 74
"299" 8630 74
"300" 8632 74
"301" 8848 74
"302" 8850 74
"303" 9458 74
"304" 9460 74
"305" 9932 74
"306" 9934 74
"307" 10116 74
"308" 10118 74
"309" 10392 74
"310" 10394 74
"311" 10482 74
"312" 11552 74
"313" 11732 74
"314" 11734 74
"315" 11922 74
"316" 11924 74
"317" 12518 74
"318" 12520 74
"319" 12714 74
