"V1" "V2"
"1" 368 65
"2" 1648 65
"3" 1802 65
"4" 2052 65
"5" 2216 65
"6" 2774 65
"7" 3388 65
"8" 12138 65
"9" 13712 65
"10" 13910 65
"11" 14826 65
"12" 16902 65
"13" 18728 65
"14" 19802 65
"15" 20132 65
"16" 21458 65
"17" 23732 65
"18" 25110 65
"19" 26680 65
"20" 26758 65
"21" 27158 65
"22" 29284 65
"23" 32402 65
"24" 32474 65
"25" 32632 65
"26" 33804 65
"27" 34068 65
"28" 35316 65
"29" 37476 65
"30" 43462 65
"31" 2378 66
"32" 3004 66
"33" 3224 66
"34" 3596 66
"35" 4028 66
"36" 4188 66
"37" 4794 66
"38" 5468 66
"39" 5606 66
"40" 6664 66
"41" 7006 66
"42" 7156 66
"43" 7882 66
"44" 8206 66
"45" 8440 66
"46" 8578 66
"47" 9300 66
"48" 9550 66
"49" 9702 66
"50" 10776 66
"51" 11078 66
"52" 11346 66
"53" 11856 66
"54" 11988 66
"55" 12450 66
"56" 12802 66
"57" 13090 66
"58" 13360 66
"59" 13518 66
"60" 14220 66
"61" 15700 66
"62" 16302 66
"63" 17822 66
"64" 19208 66
"65" 20010 66
"66" 20610 66
"67" 20880 66
"68" 21780 66
"69" 22088 66
"70" 22298 66
"71" 23100 66
"72" 23234 66
"73" 23308 66
"74" 23838 66
"75" 25576 66
"76" 25740 66
"77" 26362 66
"78" 28118 66
"79" 30002 66
"80" 30094 66
"81" 30258 66
"82" 30424 66
"83" 30682 66
"84" 30928 66
"85" 32998 66
"86" 33134 66
"87" 33494 66
"88" 34338 66
"89" 34532 66
"90" 34932 66
"91" 35040 66
"92" 35908 66
"93" 36090 66
"94" 36370 66
"95" 36740 66
"96" 38058 66
"97" 38348 66
"98" 38520 66
"99" 40554 66
"100" 40974 66
"101" 41402 66
"102" 42368 66
"103" 43080 66
"104" 4662 67
"105" 10118 67
"106" 13996 67
"107" 14290 67
"108" 16388 67
"109" 16528 67
"110" 16676 67
"111" 17606 67
"112" 18794 67
"113" 19062 67
"114" 19662 67
"115" 20272 67
"116" 22638 67
"117" 22926 67
"118" 22982 67
"119" 23536 67
"120" 24202 67
"121" 24386 67
"122" 31074 67
"123" 31664 67
"124" 31988 67
"125" 33680 67
"126" 34136 67
"127" 35768 67
"128" 36636 67
"129" 37648 67
"130" 37932 67
"131" 38688 67
"132" 40832 67
"133" 1130 68
"134" 3886 68
"135" 6844 68
"136" 11586 68
"137" 14380 68
"138" 14668 68
"139" 14746 68
"140" 14902 68
"141" 15942 68
"142" 16764 68
"143" 18660 68
"144" 18994 68
"145" 27680 68
"146" 28202 68
"147" 29098 68
"148" 30342 68
"149" 31908 68
"150" 41042 68
"151" 16 69
"152" 478 69
"153" 610 69
"154" 912 69
"155" 3076 69
"156" 3514 69
"157" 3660 69
"158" 6090 69
"159" 6330 69
"160" 6758 69
"161" 7718 69
"162" 7962 69
"163" 9636 69
"164" 9988 69
"165" 10454 69
"166" 10848 69
"167" 11012 69
"168" 12066 69
"169" 12294 69
"170" 13010 69
"171" 13790 69
"172" 15272 69
"173" 15410 69
"174" 15552 69
"175" 15786 69
"176" 17188 69
"177" 17538 69
"178" 17872 69
"179" 18162 69
"180" 19128 69
"181" 19274 69
"182" 19478 69
"183" 23792 69
"184" 26526 69
"185" 28378 69
"186" 31338 69
"187" 33372 69
"188" 34402 69
"189" 35812 69
"190" 36262 69
"191" 36984 69
"192" 37364 69
"193" 37526 69
"194" 37714 69
"195" 37820 69
"196" 38018 69
"197" 38106 69
"198" 38174 69
"199" 38392 69
"200" 38572 69
"201" 38796 69
"202" 41850 69
"203" 168 70
"204" 234 70
"205" 428 70
"206" 970 70
"207" 1044 70
"208" 1192 70
"209" 1274 70
"210" 1732 70
"211" 3302 70
"212" 4098 70
"213" 4266 70
"214" 4508 70
"215" 4740 70
"216" 4874 70
"217" 5096 70
"218" 5236 70
"219" 5408 70
"220" 5532 70
"221" 5684 70
"222" 5754 70
"223" 6508 70
"224" 6582 70
"225" 7090 70
"226" 7234 70
"227" 7560 70
"228" 8666 70
"229" 8996 70
"230" 9222 70
"231" 9370 70
"232" 10060 70
"233" 10606 70
"234" 12492 70
"235" 13284 70
"236" 13446 70
"237" 14150 70
"238" 16146 70
"239" 16984 70
"240" 17758 70
"241" 19874 70
"242" 20408 70
"243" 20936 70
"244" 21510 70
"245" 21656 70
"246" 24266 70
"247" 24512 70
"248" 26450 70
"249" 29382 70
"250" 29640 70
"251" 30596 70
"252" 32548 70
"253" 33246 70
"254" 33312 70
"255" 33434 70
"256" 35098 70
"257" 35204 70
"258" 35486 70
"259" 35974 70
"260" 36314 70
"261" 36586 70
"262" 36802 70
"263" 37192 70
"264" 38250 70
"265" 39732 70
"266" 40244 70
"267" 40700 70
"268" 42644 70
"269" 43226 70
"270" 43384 70
"271" 43534 70
"272" 1334 71
"273" 1418 71
"274" 2138 71
"275" 2292 71
"276" 4424 71
"277" 4594 71
"278" 5316 71
"279" 6020 71
"280" 8280 71
"281" 8368 71
"282" 8518 71
"283" 8744 71
"284" 8912 71
"285" 9076 71
"286" 9460 71
"287" 10200 71
"288" 10934 71
"289" 11272 71
"290" 11656 71
"291" 12366 71
"292" 12566 71
"293" 12942 71
"294" 13144 71
"295" 13850 71
"296" 14984 71
"297" 15626 71
"298" 16220 71
"299" 16456 71
"300" 16604 71
"301" 16840 71
"302" 18084 71
"303" 20208 71
"304" 20552 71
"305" 21322 71
"306" 21722 71
"307" 21840 71
"308" 22034 71
"309" 22166 71
"310" 22376 71
"311" 22506 71
"312" 22574 71
"313" 23176 71
"314" 23380 71
"315" 23482 71
"316" 24064 71
"317" 24130 71
"318" 24334 71
"319" 24640 71
"320" 24818 71
"321" 25444 71
"322" 26986 71
"323" 28916 71
"324" 29458 71
"325" 29908 71
"326" 30174 71
"327" 30762 71
"328" 31502 71
"329" 32236 71
"330" 33070 71
"331" 33616 71
"332" 33994 71
"333" 34472 71
"334" 35434 71
"335" 35534 71
"336" 36150 71
"337" 37878 71
"338" 37974 71
"339" 38912 71
"340" 39030 71
"341" 39164 71
"342" 39594 71
"343" 41254 71
"344" 41328 71
"345" 41484 71
