"V1" "V2"
"1" 24 55
"2" 86 72
"3" 176 71
"4" 350 72
"5" 566 72
"6" 800 72
"7" 918 72
"8" 1116 72
"9" 1208 71
"10" 1304 55
"11" 1390 71
"12" 1552 72
"13" 1648 71
"14" 1742 72
"15" 1826 71
"16" 1904 72
"17" 1998 57
"18" 2076 69
"19" 2150 72
"20" 2244 68
"21" 2392 72
"22" 2484 57
"23" 2558 68
"24" 2722 71
"25" 2816 71
"26" 2906 72
"27" 3080 68
"28" 3174 72
"29" 3244 55
"30" 3388 71
"31" 3550 71
"32" 3652 55
"33" 3890 55
"34" 4106 71
"35" 4470 72
"36" 4544 57
"37" 4612 55
"38" 4730 54
"39" 5144 55
"40" 5244 69
"41" 5430 72
"42" 5502 70
"43" 5740 72
"44" 5934 71
"45" 6134 72
"46" 6352 68
"47" 6526 73
"48" 6580 71
"49" 6636 59
"50" 6706 70
"51" 6798 71
"52" 6934 72
"53" 7002 68
"54" 7150 71
"55" 7214 58
"56" 7282 56
"57" 7358 73
"58" 7422 72
"59" 7496 69
"60" 7570 72
"61" 7652 72
"62" 7726 71
"63" 7862 71
"64" 7938 55
"65" 8202 69
"66" 8322 73
"67" 8392 70
"68" 8446 56
"69" 8504 69
"70" 8558 72
"71" 8676 69
"72" 8730 72
"73" 8788 71
"74" 8852 71
"75" 8918 71
"76" 8982 69
"77" 9038 72
"78" 9104 69
"79" 9166 58
"80" 9226 71
"81" 9300 69
"82" 9360 72
"83" 9756 58
"84" 9860 69
"85" 9974 72
"86" 10192 56
"87" 10436 55
"88" 10504 72
"89" 10584 68
"90" 10816 59
"91" 11004 73
"92" 11158 70
"93" 11306 55
"94" 11540 71
"95" 11794 72
"96" 12028 69
"97" 12146 73
"98" 12340 58
"99" 12670 73
"100" 12738 72
"101" 12816 71
"102" 12888 73
"103" 12970 71
"104" 13038 72
"105" 13098 56
"106" 13150 71
"107" 13304 72
"108" 13378 71
"109" 13980 69
"110" 14210 55
"111" 14450 59
"112" 14728 71
"113" 14810 55
"114" 14922 69
"115" 14994 72
"116" 15146 69
"117" 15212 60
"118" 15300 72
"119" 15378 72
"120" 15468 72
"121" 15548 72
"122" 15880 69
"123" 16302 72
"124" 16366 72
"125" 16448 73
"126" 16520 70
"127" 16598 72
"128" 16680 71
"129" 16822 71
"130" 16982 72
"131" 17066 70
"132" 17140 59
"133" 17230 59
"134" 17314 71
"135" 17402 73
"136" 17478 72
"137" 17556 71
"138" 17634 73
"139" 17714 71
"140" 17788 55
"141" 17876 74
"142" 17966 71
"143" 18046 73
"144" 18130 73
"145" 18224 72
"146" 18324 60
"147" 18390 71
"148" 18456 74
"149" 18528 71
"150" 18602 71
"151" 18664 59
"152" 18756 59
"153" 18830 70
"154" 18952 73
"155" 19182 54
"156" 19384 74
"157" 19476 70
"158" 19570 72
"159" 19698 73
"160" 19934 54
"161" 20118 73
"162" 20202 69
"163" 20288 73
"164" 20382 71
"165" 20458 73
"166" 20548 71
