"V1" "V2"
"1" 13514 -64
"2" 15444 -64
"3" 15446 -64
"4" 16688 -64
"5" 17742 -64
"6" 23726 -64
"7" 30214 -64
"8" 30374 -64
"9" 30376 -64
"10" 40910 -64
"11" 42316 -64
"12" 42318 -64
"13" 42428 -64
"14" 48692 -64
"15" 63950 -64
"16" 1230 -63
"17" 1408 -63
"18" 1410 -63
"19" 3146 -63
"20" 3148 -63
"21" 3322 -63
"22" 5726 -63
"23" 5728 -63
"24" 7680 -63
"25" 7844 -63
"26" 8480 -63
"27" 8482 -63
"28" 9616 -63
"29" 9618 -63
"30" 9756 -63
"31" 9758 -63
"32" 12404 -63
"33" 13344 -63
"34" 13512 -63
"35" 14436 -63
"36" 14438 -63
"37" 14604 -63
"38" 14606 -63
"39" 16686 -63
"40" 16860 -63
"41" 18686 -63
"42" 18688 -63
"43" 18824 -63
"44" 18826 -63
"45" 19728 -63
"46" 21664 -63
"47" 21666 -63
"48" 21826 -63
"49" 22790 -63
"50" 22792 -63
"51" 23584 -63
"52" 23586 -63
"53" 23724 -63
"54" 24638 -63
"55" 25378 -63
"56" 25380 -63
"57" 25510 -63
"58" 26270 -63
"59" 26432 -63
"60" 26434 -63
"61" 27376 -63
"62" 27378 -63
"63" 27534 -63
"64" 27536 -63
"65" 28304 -63
"66" 28306 -63
"67" 28460 -63
"68" 28462 -63
"69" 28926 -63
"70" 29240 -63
"71" 29416 -63
"72" 29418 -63
"73" 30212 -63
"74" 32156 -63
"75" 32158 -63
"76" 32464 -63
"77" 32466 -63
"78" 35602 -63
"79" 35604 -63
"80" 35836 -63
"81" 36468 -63
"82" 36470 -63
"83" 36608 -63
"84" 36610 -63
"85" 36746 -63
"86" 36748 -63
"87" 37322 -63
"88" 37466 -63
"89" 38164 -63
"90" 40908 -63
"91" 41040 -63
"92" 41042 -63
"93" 44188 -63
"94" 44768 -63
"95" 46080 -63
"96" 46082 -63
"97" 46254 -63
"98" 46840 -63
"99" 46842 -63
"100" 46980 -63
"101" 46982 -63
"102" 47128 -63
"103" 47130 -63
"104" 47860 -63
"105" 48690 -63
"106" 49486 -63
"107" 49488 -63
"108" 49644 -63
"109" 49646 -63
"110" 49786 -63
"111" 50582 -63
"112" 50584 -63
"113" 52184 -63
"114" 52338 -63
"115" 52340 -63
"116" 54594 -63
"117" 54596 -63
"118" 54780 -63
"119" 56052 -63
"120" 56054 -63
"121" 57234 -63
"122" 57236 -63
"123" 58448 -63
"124" 59712 -63
"125" 61052 -63
"126" 62622 -63
"127" 62624 -63
"128" 63584 -63
"129" 63586 -63
"130" 63948 -63
"131" 64894 -63
"132" 65166 -63
"133" 1232 -62
"134" 2266 -62
"135" 2268 -62
"136" 3320 -62
"137" 3466 -62
"138" 3468 -62
"139" 4300 -62
"140" 4302 -62
"141" 6754 -62
"142" 7678 -62
"143" 8632 -62
"144" 8634 -62
"145" 12402 -62
"146" 12708 -62
"147" 12866 -62
"148" 12868 -62
"149" 17740 -62
"150" 19726 -62
"151" 21824 -62
"152" 24636 -62
"153" 25508 -62
"154" 26268 -62
"155" 29238 -62
"156" 32306 -62
"157" 32308 -62
"158" 34090 -62
"159" 34092 -62
"160" 37320 -62
"161" 37464 -62
"162" 38162 -62
"163" 38298 -62
"164" 38300 -62
"165" 39120 -62
"166" 39122 -62
"167" 42426 -62
"168" 45094 -62
"169" 46252 -62
"170" 49784 -62
"171" 50726 -62
"172" 6752 -61
"173" 7842 -61
"174" 13342 -61
"175" 16858 -61
"176" 35834 -61
"177" 37030 -61
"178" 37032 -61
"179" 38020 -61
"180" 38022 -61
"181" 38732 -61
"182" 39698 -61
"183" 40472 -61
"184" 40474 -61
"185" 44186 -61
"186" 45092 -61
"187" 47858 -61
"188" 54778 -61
"189" 58446 -61
"190" 59710 -61
"191" 64892 -61
"192" 65164 -61
"193" 332 -60
"194" 1586 -60
"195" 1588 -60
"196" 2092 -60
"197" 2446 -60
