"V1" "V2"
"1" 158 -49
"2" 310 -63
"3" 312 -65
"4" 476 -63
"5" 478 -64
"6" 650 -70
"7" 652 -70
"8" 814 -70
"9" 816 -70
"10" 1090 -56
"11" 1282 -49
"12" 1672 -70
"13" 1674 -70
"14" 2076 -70
"15" 2078 -70
"16" 2268 -72
"17" 2270 -72
"18" 2490 -63
"19" 2492 -65
"20" 2920 -70
"21" 2922 -70
"22" 3140 -65
"23" 3142 -65
"24" 3328 -54
"25" 3792 -72
"26" 3794 -72
"27" 4256 -72
"28" 4258 -72
"29" 4488 -65
"30" 4490 -65
"31" 4998 -70
"32" 5000 -70
"33" 5286 -70
"34" 5288 -70
"35" 5512 -68
"36" 5514 -70
"37" 6022 -71
"38" 6024 -72
"39" 6628 -64
"40" 6630 -64
"41" 6796 -63
"42" 6798 -64
"43" 6974 -63
"44" 6976 -65
"45" 7178 -72
"46" 7180 -72
"47" 7618 -56
"48" 8082 -72
"49" 8084 -72
"50" 8248 -65
"51" 8250 -65
"52" 8428 -64
"53" 8430 -65
"54" 8614 -70
"55" 8616 -70
"56" 8796 -72
"57" 8798 -72
"58" 8998 -72
"59" 9000 -72
"60" 9592 -65
"61" 9594 -64
"62" 10076 -49
"63" 10754 -57
"64" 10930 -72
"65" 10932 -72
"66" 11104 -72
"67" 11106 -73
"68" 11448 -64
"69" 11450 -65
"70" 11790 -53
"71" 11990 -73
"72" 12186 -72
"73" 12188 -72
"74" 12718 -54
"75" 12900 -68
"76" 12902 -70
"77" 13082 -72
"78" 13084 -72
"79" 13270 -72
"80" 13272 -73
"81" 13436 -65
"82" 13438 -65
"83" 13616 -65
"84" 13618 -65
"85" 13798 -64
"86" 13800 -64
"87" 13966 -70
"88" 13968 -70
"89" 14158 -72
"90" 14160 -72
"91" 14350 -56
"92" 14532 -72
"93" 14534 -72
"94" 14718 -64
"95" 14720 -65
"96" 15700 -70
"97" 15702 -71
"98" 15898 -72
"99" 15900 -72
"100" 16262 -64
"101" 16264 -65
"102" 16744 -65
"103" 17110 -68
"104" 17112 -70
"105" 17332 -54
"106" 17718 -66
"107" 17720 -65
"108" 18112 -65
"109" 18114 -65
"110" 18314 -70
"111" 18316 -71
"112" 18504 -72
"113" 18506 -72
"114" 18708 -72
"115" 18710 -72
"116" 19128 -65
"117" 19130 -65
"118" 19342 -49
"119" 19536 -69
"120" 19538 -71
"121" 19758 -68
"122" 19760 -70
"123" 19950 -72
"124" 19952 -72
"125" 20132 -57
"126" 20490 -63
"127" 20492 -65
"128" 20692 -63
"129" 20694 -64
"130" 20890 -68
"131" 20892 -70
"132" 21084 -72
"133" 21086 -72
"134" 21278 -72
"135" 21280 -72
"136" 21700 -50
"137" 22536 -70
"138" 22538 -70
"139" 22708 -72
"140" 22710 -73
"141" 22880 -72
"142" 22882 -73
"143" 23070 -72
"144" 23072 -72
"145" 23266 -64
"146" 23268 -64
"147" 23654 -70
"148" 23656 -70
"149" 23844 -75
"150" 23846 -75
"151" 24042 -73
"152" 24044 -73
"153" 24240 -64
"154" 24242 -65
"155" 24422 -65
"156" 24424 -65
"157" 24610 -49
"158" 24786 -65
"159" 24788 -65
"160" 24962 -70
"161" 24964 -70
"162" 25142 -73
"163" 25144 -73
"164" 25504 -64
"165" 25506 -65
"166" 25706 -68
"167" 25708 -70
"168" 25894 -70
"169" 25896 -68
"170" 26536 -65
"171" 26538 -65
"172" 27124 -70
"173" 27126 -70
"174" 27312 -54
"175" 27496 -70
"176" 27498 -70
"177" 27688 -70
"178" 27690 -70
"179" 27882 -65
"180" 27884 -65
"181" 28082 -65
"182" 28084 -64
"183" 28260 -65
"184" 28262 -65
"185" 28448 -70
"186" 28450 -70
"187" 28644 -72
"188" 28646 -73
"189" 28836 -57
"190" 28838 -73
"191" 29266 -73
"192" 29268 -73
"193" 29664 -70
"194" 29666 -71
"195" 29844 -54
"196" 30034 -70
"197" 30036 -70
"198" 30468 -71
"199" 30470 -70
"200" 30622 -73
"201" 30624 -73
"202" 30936 -62
"203" 30938 -64
"204" 31096 -64
"205" 31098 -64
"206" 31252 -73
"207" 31254 -73
"208" 31400 -54
"209" 31668 -63
"210" 31670 -65
"211" 31822 -64
"212" 31824 -65
"213" 31986 -64
"214" 31988 -64
"215" 32130 -67
"216" 32132 -69
"217" 32292 -53
"218" 32450 -73
"219" 32452 -73
"220" 32758 -49
"221" 32914 -64
"222" 32916 -65
"223" 33236 -69
"224" 33238 -70
"225" 33398 -73
"226" 33400 -73
"227" 33578 -73
"228" 33580 -73
"229" 33740 -49
"230" 33898 -68
"231" 33900 -69
"232" 34210 -70
"233" 34212 -70
"234" 34362 -73
"235" 34364 -73
"236" 34514 -74
"237" 34516 -74
"238" 34670 -64
"239" 34672 -64
"240" 34812 -65
"241" 34814 -65
"242" 34976 -70
"243" 34978 -70
"244" 35140 -70
"245" 35142 -70
"246" 35280 -72
"247" 35282 -73
"248" 35734 -65
"249" 35736 -65
"250" 35912 -70
"251" 35914 -70
"252" 36042 -54
"253" 36194 -72
"254" 36196 -72
"255" 36504 -65
"256" 36506 -65
"257" 36662 -65
"258" 36664 -65
"259" 36828 -70
"260" 36830 -71
"261" 36990 -68
"262" 36992 -70
"263" 37140 -68
