"V1" "V2"
"1" -105 0
"2" -104 0
"3" -103 0
"4" -102 0
"5" -101 0
"6" -100 0
"7" -99 0
"8" -98 0
"9" -97 0
"10" -96 0
"11" -95 1
"12" -94 1
"13" -93 1
"14" -92 2
"15" -91 3
"16" -90 2
"17" -89 2
"18" -88 3
"19" -87 4
"20" -86 4
"21" -85 2
"22" -84 1
"23" -83 1
"24" -82 0
"25" -81 0
"26" -80 0
"27" -79 0
"28" -78 1
"29" -77 0
"30" -76 0
"31" -75 2
"32" -74 13
"33" -73 15
"34" -72 21
"35" -71 8
"36" -70 2
"37" -69 0
"38" -68 0
"39" -67 0
"40" -66 0
"41" -65 0
"42" -64 0
"43" -63 0
"44" -62 0
"45" -61 0
"46" -60 0
"47" -59 1
"48" -58 4
"49" -57 2
"50" -56 1
