"V1" "V2"
"1" 198 -73
"2" 200 -73
"3" 336 -72
"4" 338 -72
"5" 464 -73
"6" 752 -74
"7" 754 -74
"8" 840 -105
"9" 914 -71
"10" 916 -72
"11" 1000 -83
"12" 1002 -83
"13" 1082 -75
"14" 1084 -75
"15" 1166 -77
"16" 1168 -78
"17" 1242 -80
"18" 1244 -80
"19" 1318 -77
"20" 1320 -78
"21" 1382 -71
"22" 1384 -73
"23" 1466 -83
"24" 1468 -83
"25" 1550 -59
"26" 1714 -86
"27" 1716 -86
"28" 1862 -65
"29" 2012 -80
"30" 2014 -79
"31" 2082 -59
"32" 2140 -72
"33" 2142 -73
"34" 2220 -73
"35" 2222 -72
"36" 2300 -75
"37" 2302 -75
"38" 2374 -73
"39" 2376 -72
"40" 2428 -84
"41" 2430 -84
"42" 2538 -89
"43" 2540 -89
"44" 2662 -91
"45" 2664 -91
"46" 2790 -86
"47" 2792 -87
"48" 2912 -87
"49" 2914 -87
"50" 2982 -72
"51" 2984 -72
"52" 3042 -86
"53" 3044 -86
"54" 3116 -74
"55" 3118 -73
"56" 3170 -71
"57" 3172 -71
"58" 3780 -73
"59" 3782 -73
"60" 3850 -78
"61" 3930 -72
"62" 3932 -72
"63" 4014 -71
"64" 4016 -71
"65" 4104 -73
"66" 4106 -73
"67" 4184 -92
"68" 4186 -92
"69" 4468 -81
"70" 4558 -70
"71" 4560 -72
"72" 4636 -73
"73" 4638 -72
"74" 4732 -72
"75" 4734 -72
"76" 4894 -83
"77" 4974 -58
"78" 5066 -72
"79" 5068 -72
"80" 5156 -85
"81" 5158 -86
"82" 5234 -71
"83" 5236 -72
"84" 5314 -73
"85" 5316 -73
"86" 5392 -71
"87" 5394 -71
"88" 5474 -87
"89" 5476 -86
"90" 5554 -73
"91" 5556 -72
"92" 5624 -57
"93" 5710 -72
"94" 5712 -72
"95" 5786 -57
"96" 5872 -71
"97" 5874 -71
"98" 5956 -78
"99" 6096 -75
"100" 6170 -73
"101" 6172 -73
"102" 6238 -78
"103" 6240 -95
"104" 6398 -90
"105" 6400 -90
"106" 6470 -57
"107" 6632 -73
"108" 6634 -73
"109" 6714 -95
"110" 6796 -72
"111" 6798 -72
"112" 6876 -72
"113" 6878 -73
"114" 7034 -94
"115" 7036 -94
"116" 7120 -69
"117" 7122 -71
"118" 7182 -73
"119" 7184 -73
"120" 7252 -72
"121" 7254 -72
"122" 7406 -92
"123" 7408 -92
"124" 7488 -72
"125" 7490 -72
"126" 7560 -89
"127" 7634 -72
"128" 7636 -72
"129" 7732 -71
"130" 7734 -71
"131" 7810 -72
"132" 7812 -72
"133" 7892 -72
"134" 7894 -72
"135" 7962 -72
"136" 7964 -72
"137" 8050 -72
"138" 8052 -72
"139" 8138 -72
"140" 8140 -72
"141" 8236 -70
"142" 8238 -71
"143" 8324 -72
"144" 8326 -72
"145" 8426 -70
"146" 8428 -72
"147" 8514 -72
"148" 8516 -72
"149" 8608 -75
"150" 8610 -72
"151" 8702 -93
"152" 8704 -95
"153" 8868 -91
"154" 8870 -90
"155" 8970 -71
"156" 8972 -71
"157" 9054 -72
"158" 9056 -73
"159" 9394 -58
"160" 9502 -70
"161" 9504 -72
"162" 9590 -58
"163" 9684 -72
"164" 9686 -72
"165" 9880 -102
"166" 10068 -98
"167" 10498 -74
"168" 10500 -73
"169" 10750 -86
"170" 10826 -58
"171" 10906 -81
"172" 11052 -70
"173" 11054 -72
"174" 11292 -57
"175" 11374 -72
"176" 11376 -72
"177" 11486 -93
"178" 11488 -93
"179" 11986 -70
"180" 11988 -71
"181" 12096 -58
"182" 12190 -56
"183" 12192 -72
"184" 12278 -92
"185" 12280 -92
"186" 12472 -72
"187" 12474 -73
"188" 12644 -73
"189" 12646 -73
"190" 12734 -70
"191" 12736 -71
"192" 12910 -92
"193" 12912 -92
"194" 13100 -78
"195" 13182 -72
"196" 13184 -72
"197" 13282 -72
"198" 13284 -72
"199" 13538 -72
"200" 13540 -72
"201" 13748 -81
"202" 13960 -72
"203" 13962 -72
"204" 14120 -72
"205" 14122 -72
"206" 14196 -70
"207" 14198 -72
"208" 14626 -71
"209" 14628 -71
"210" 14770 -72
"211" 14772 -72
"212" 14892 -91
"213" 14894 -91
"214" 15138 -72
"215" 15140 -72
"216" 15356 -72
"217" 15358 -70
"218" 15564 -90
"219" 15872 -76
"220" 15960 -71
"221" 15962 -71
"222" 16172 -58
"223" 16174 -73
"224" 16536 -90
"225" 16538 -89
"226" 16732 -90
"227" 16734 -90
"228" 16806 -70
"229" 16808 -71
"230" 16902 -58
"231" 16972 -70
"232" 16974 -71
"233" 17046 -58
"234" 17286 -92
"235" 17288 -91
"236" 17428 -73
"237" 17430 -73
"238" 17588 -90
"239" 17590 -90
"240" 17670 -57
"241" 17902 -71
"242" 17904 -71
"243" 17980 -73
"244" 17982 -73
"245" 18062 -56
"246" 18496 -71
"247" 18498 -71
"248" 18940 -93
"249" 18942 -94
"250" 19190 -72
"251" 19192 -72
"252" 19422 -71
"253" 19424 -71
"254" 19650 -85
"255" 19878 -94
"256" 19880 -92
"257" 19970 -70
"258" 19972 -72
"259" 20042 -73
"260" 20044 -73
"261" 20324 -70
"262" 20326 -71
"263" 20572 -93
"264" 20574 -92
"265" 20956 -58
"266" 21184 -73
"267" 21186 -72
"268" 21258 -72
"269" 21260 -72
"270" 21332 -57
"271" 21414 -72
"272" 21416 -73
"273" 21752 -91
"274" 21754 -92
"275" 22112 -93
"276" 22114 -91
"277" 22304 -92
"278" 22306 -91
"279" 22566 -73
"280" 22568 -73
"281" 22642 -72
"282" 22644 -71
"283" 22758 -73
"284" 22760 -73
"285" 22856 -71
"286" 22858 -72
"287" 22950 -73
"288" 22952 -73
"289" 23044 -72
"290" 23046 -72
"291" 23142 -73
"292" 23144 -73
"293" 23250 -92
"294" 23252 -91
"295" 23330 -75
"296" 23332 -74
"297" 23416 -71
"298" 23418 -71
"299" 23506 -95
"300" 23508 -95
"301" 23684 -88
"302" 23686 -89
"303" 23780 -71
"304" 23782 -72
"305" 23894 -73
"306" 23896 -72
"307" 23984 -72
"308" 23986 -73
"309" 24088 -94
"310" 24090 -93
"311" 24304 -72
"312" 24306 -72
"313" 24504 -72
"314" 24506 -72
"315" 24754 -58
"316" 25024 -73
"317" 25026 -73
"318" 25168 -58
"319" 25272 -90
"320" 25274 -89
"321" 25464 -93
"322" 25580 -72
"323" 25582 -72
"324" 26086 -71
"325" 26088 -72
"326" 26200 -89
"327" 26294 -74
"328" 26296 -73
"329" 26404 -91
"330" 26406 -91
"331" 26622 -57
"332" 26734 -74
"333" 26736 -74
"334" 26852 -90
"335" 26854 -91
"336" 27586 -74
"337" 27588 -74
"338" 27692 -71
"339" 27694 -72
"340" 28014 -97
"341" 28016 -98
"342" 28094 -71
"343" 28096 -72
"344" 28182 -58
"345" 28544 -74
"346" 28546 -74
"347" 28636 -95
"348" 28638 -95
"349" 28762 -73
"350" 28764 -73
"351" 28988 -101
"352" 29242 -58
"353" 29704 -70
"354" 29788 -74
"355" 29790 -74
"356" 29896 -72
"357" 29898 -73
"358" 30350 -82
"359" 30852 -92
"360" 30854 -93
"361" 30988 -93
"362" 30990 -94
"363" 31150 -92
"364" 31152 -95
"365" 31312 -72
"366" 31314 -72
"367" 31394 -58
"368" 31488 -72
"369" 31490 -72
"370" 31566 -74
"371" 31568 -73
"372" 31642 -71
"373" 31644 -73
"374" 31804 -72
"375" 31806 -73
"376" 31982 -71
"377" 31984 -73
"378" 32302 -81
"379" 32382 -73
