"V1" "V2"
"1" 778 -72
"2" 780 -72
"3" 1124 -72
"4" 1904 -72
"5" 1906 -72
"6" 3130 -72
"7" 3132 -72
"8" 3442 -72
"9" 3444 -72
"10" 3740 -72
"11" 3742 -72
"12" 4294 -72
"13" 4296 -72
"14" 4470 -72
"15" 5580 -72
"16" 6926 -72
"17" 6928 -72
"18" 7096 -72
"19" 7098 -72
"20" 7430 -72
"21" 7432 -72
"22" 7790 -72
"23" 7792 -72
"24" 8366 -72
"25" 8368 -72
"26" 8514 -72
"27" 9108 -72
"28" 9110 -72
"29" 9602 -72
"30" 9892 -72
"31" 10086 -72
"32" 10088 -72
"33" 10662 -72
"34" 10664 -72
"35" 11252 -72
"36" 11254 -72
"37" 11438 -72
"38" 11640 -72
"39" 11642 -72
"40" 11822 -72
"41" 11824 -72
"42" 12012 -72
"43" 12014 -72
"44" 12614 -72
"45" 12616 -72
"46" 12982 -72
"47" 13260 -72
"48" 13262 -72
"49" 13442 -72
"50" 14254 -72
"51" 14256 -72
"52" 14764 -72
"53" 14766 -72
"54" 14994 -72
"55" 16350 -72
"56" 17652 -72
"57" 17830 -72
"58" 17832 -72
"59" 18414 -72
"60" 18614 -72
"61" 19880 -72
"62" 19882 -72
"63" 20072 -72
"64" 20074 -72
"65" 20268 -72
"66" 20270 -72
"67" 21482 -72
"68" 21484 -72
"69" 21884 -72
"70" 21886 -72
"71" 22238 -72
"72" 22240 -72
"73" 23180 -72
"74" 23182 -72
"75" 23366 -72
"76" 23368 -72
"77" 24470 -72
"78" 24472 -72
"79" 24646 -72
"80" 24648 -72
"81" 25180 -72
"82" 25182 -72
"83" 25828 -72
"84" 25830 -72
"85" 26926 -72
"86" 26928 -72
"87" 29248 -72
"88" 29250 -72
"89" 29614 -72
"90" 29616 -72
"91" 29796 -72
"92" 30614 -72
"93" 30616 -72
"94" 31572 -72
"95" 31760 -72
"96" 32022 -72
"97" 32376 -72
"98" 32378 -72
"99" 33552 -72
"100" 35232 -72
"101" 35234 -72
"102" 35904 -72
"103" 36084 -72
"104" 36292 -72
"105" 36294 -72
"106" 36910 -72
"107" 36912 -72
"108" 37106 -72
"109" 37108 -72
"110" 37302 -72
"111" 37304 -72
"112" 38048 -72
"113" 38214 -72
"114" 38216 -72
"115" 38784 -72
"116" 39214 -72
"117" 39676 -72
"118" 40708 -72
"119" 40710 -72
"120" 43422 -72
"121" 43744 -72
"122" 43926 -72
"123" 43928 -72
"124" 44120 -72
"125" 44122 -72
"126" 44754 -72
"127" 44756 -72
"128" 44936 -72
"129" 44938 -72
"130" 45110 -72
"131" 45310 -72
"132" 45810 -72
"133" 45812 -72
"134" 45958 -72
"135" 46136 -72
"136" 47540 -72
"137" 47542 -72
"138" 47934 -72
"139" 48540 -72
"140" 48700 -72
"141" 48702 -72
"142" 48858 -72
"143" 48860 -72
"144" 50042 -72
"145" 50044 -72
"146" 50434 -72
"147" 51412 -72
"148" 51414 -72
"149" 51588 -72
"150" 51784 -72
"151" 51786 -72
"152" 53314 -72
"153" 53316 -72
"154" 53830 -72
"155" 53832 -72
"156" 55312 -72
"157" 55640 -72
"158" 55820 -72
"159" 55994 -72
"160" 55996 -72
"161" 57710 -72
"162" 57712 -72
"163" 58072 -72
"164" 59134 -72
"165" 59136 -72
"166" 59334 -72
"167" 60460 -72
"168" 60462 -72
"169" 60818 -72
"170" 60820 -72
"171" 61260 -72
"172" 61262 -72
"173" 61486 -72
"174" 61488 -72
"175" 61956 -72
"176" 61958 -72
"177" 62262 -72
"178" 63170 -72
"179" 63172 -72
"180" 63726 -72
"181" 63728 -72
"182" 64942 -72
"183" 64944 -72
"184" 448 -71
"185" 450 -71
"186" 960 -71
"187" 1126 -71
"188" 1282 -71
"189" 1284 -71
"190" 2580 -71
"191" 2582 -71
"192" 2916 -71
"193" 3670 -71
"194" 3672 -71
"195" 3826 -71
"196" 3828 -71
"197" 3992 -71
"198" 4468 -71
"199" 4762 -71
"200" 4914 -71
"201" 4916 -71
"202" 5148 -71
"203" 5582 -71
"204" 5808 -71
"205" 5810 -71
"206" 5952 -71
"207" 5954 -71
"208" 6148 -71
"209" 6150 -71
"210" 6570 -71
"211" 6662 -71
"212" 6664 -71
"213" 6750 -71
"214" 6752 -71
"215" 7190 -71
"216" 7192 -71
"217" 8070 -71
"218" 8212 -71
"219" 8214 -71
"220" 8512 -71
"221" 8672 -71
"222" 8674 -71
"223" 9320 -71
"224" 9322 -71
"225" 9510 -71
"226" 9604 -71
"227" 9696 -71
"228" 9698 -71
"229" 9890 -71
"230" 10246 -71
"231" 10248 -71
"232" 10910 -71
"233" 10912 -71
"234" 11436 -71
"235" 11540 -71
"236" 11542 -71
"237" 12170 -71
"238" 12172 -71
"239" 12532 -71
"240" 12716 -71
"241" 12984 -71
"242" 13060 -71
"243" 13062 -71
"244" 13440 -71
"245" 13548 -71
"246" 13640 -71
"247" 13642 -71
"248" 13726 -71
"249" 14082 -71
"250" 14992 -71
"251" 15074 -71
"252" 15256 -71
"253" 15258 -71
"254" 15342 -71
"255" 15344 -71
"256" 15716 -71
"257" 16078 -71
"258" 16080 -71
"259" 16182 -71
"260" 16184 -71
"261" 16268 -71
"262" 16352 -71
"263" 16450 -71
"264" 16452 -71
"265" 16612 -71
"266" 16614 -71
"267" 16884 -71
"268" 16886 -71
"269" 17040 -71
"270" 17042 -71
"271" 17214 -71
"272" 17216 -71
"273" 17650 -71
"274" 17752 -71
"275" 17932 -71
"276" 18226 -71
"277" 18228 -71
"278" 18328 -71
"279" 18412 -71
"280" 18612 -71
"281" 18796 -71
"282" 18798 -71
"283" 18984 -71
"284" 18986 -71
"285" 20174 -71
"286" 20356 -71
"287" 20544 -71
"288" 20546 -71
"289" 21218 -71
"290" 21398 -71
"291" 21782 -71
"292" 21784 -71
"293" 22140 -71
"294" 22142 -71
