"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" -30 0 0 0 0 0 0 0
"2" -31 0 0 0 0 0 0 0
"3" -32 0 0 0 0 0 0 0
"4" -33 0 0 0 0 0 0 0
"5" -34 0 0 0 0 0 0 0
"6" -35 2 0 0 0 0 0 0
"7" -36 26 0 0 0 0 0 0
"8" -37 19 0 0 0 0 0 0
"9" -38 38 0 0 0 0 0 0
"10" -39 3 0 0 0 0 0 0
"11" -40 4 0 0 0 0 0 0
"12" -41 0 0 0 0 0 0 0
"13" -42 0 0 0 0 0 0 0
"14" -43 0 0 0 0 0 0 0
"15" -44 0 0 0 0 0 0 0
"16" -45 0 0 0 0 0 0 0
"17" -46 0 0 0 0 0 0 0
"18" -47 0 0 0 0 0 0 0
"19" -48 0 0 0 0 0 0 0
"20" -49 0 0 0 0 0 0 0
"21" -50 0 0 0 0 0 0 0
"22" -51 0 0 0 0 0 0 0
"23" -52 0 0 0 0 0 0 0
"24" -53 0 0 0 0 0 0 0
"25" -54 0 0 0 0 0 0 0
"26" -55 0 0 0 0 0 0 0
"27" -56 0 0 0 0 0 0 0
"28" -57 0 0 0 0 0 0 0
"29" -58 0 0 0 0 0 0 0
"30" -59 0 0 0 0 0 0 0
"31" -60 0 0 0 0 0 0 0
"32" -61 0 0 0 0 0 0 0
"33" -62 0 2 0 0 0 0 0
"34" -63 0 9 0 0 0 0 0
"35" -64 0 32 0 0 0 0 0
"36" -65 0 16 0 0 0 0 0
"37" -66 0 2 0 0 0 0 0
"38" -67 0 4 0 0 3 0 0
"39" -68 0 16 0 0 2 3 0
"40" -69 0 8 1 0 23 7 0
"41" -70 0 1 1 2 6 31 0
"42" -71 0 0 7 8 4 27 0
"43" -72 0 0 13 21 14 20 0
"44" -73 0 0 8 15 8 0 0
"45" -74 0 0 20 13 2 0 0
"46" -75 0 0 6 2 18 0 0
"47" -76 0 0 1 0 7 0 2
"48" -77 0 0 1 0 0 0 10
"49" -78 0 0 1 0 0 0 19
"50" -79 0 0 3 0 0 0 20
"51" -80 0 0 15 0 0 0 9
"52" -81 0 0 10 0 0 0 5
"53" -82 0 0 3 0 0 0 2
"54" -83 0 0 1 0 0 0 6
"55" -84 0 0 0 0 0 0 6
"56" -85 0 0 0 0 0 0 3
"57" -86 0 0 0 0 0 0 1
"58" -87 0 0 0 0 0 0 2
"59" -88 0 0 0 0 0 0 2
"60" -89 0 0 0 0 0 0 1
"61" -90 0 0 0 0 0 0 0
"62" -91 0 0 0 0 0 0 0
"63" -92 0 0 0 0 0 0 0
"64" -93 0 0 0 0 0 0 0
"65" -94 0 0 0 0 0 0 0
"66" -95 0 0 0 0 0 0 0
"67" -96 0 0 0 0 0 0 0
"68" -97 0 0 0 0 0 0 0
"69" -98 0 0 0 0 0 0 0
"70" -99 0 0 0 0 0 0 0
