"Name" "Mac Adresse" "Entfernung" "Zeit in ms" "RSSI" "Nordic chip" "Wasserdicht" "On/Off Button"
"1" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "1936" "-40" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"2" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "2126" "-40" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"3" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "3160" "-40" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"4" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "6592" "-40" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"5" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "6734" "-40" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"6" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "9206" "-40" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"7" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "10178" "-40" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"8" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "10328" "-40" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"9" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "11980" "-40" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"10" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "12532" "-40" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"11" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "15812" "-40" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"12" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "17762" "-40" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"13" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "18744" "-40" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"14" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "19678" "-40" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"15" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "25262" "-40" "BLE 4.0 chip nicht bekannt" "nein" "nein"
