"V1" "V2"
"1" -72 0
"2" -71 0
"3" -70 0
"4" -69 0
"5" -68 0
"6" -67 0
"7" -66 0
"8" -65 0
"9" -64 0
"10" -63 0
"11" -62 0
"12" -61 0
"13" -60 0
"14" -59 0
"15" -58 0
"16" -57 0
"17" -56 0
"18" -55 0
"19" -54 0
"20" -53 0
"21" -52 0
"22" -51 0
"23" -50 0
"24" -49 0
"25" -48 0
"26" -47 0
"27" -46 2
"28" -45 2
"29" -44 2
"30" -43 1
"31" -42 0
"32" -41 0
"33" -40 0
"34" -39 7
"35" -38 3
"36" -37 28
"37" -36 22
"38" -35 21
"39" -34 0
"40" -33 0
"41" -32 0
"42" -31 1
"43" -30 0
"44" -29 0
"45" -28 7
"46" -27 0
"47" -26 0
"48" -25 0
"49" -24 0
"50" -23 0
"51" -22 0
"52" -21 0
"53" -20 0
"54" -19 0
"55" -18 0
"56" -17 0
"57" -16 0
"58" -15 0
"59" -14 0
"60" -13 0
"61" -12 0
"62" -11 0
"63" -10 0
"64" -9 1
"65" -8 2
