"V1" "V2"
"1" 26 -77
"2" 28 -62
"3" 46 -60
"4" 48 -62
"5" 88 -61
"6" 130 -63
"7" 132 -63
"8" 154 -68
"9" 200 -60
"10" 202 -62
"11" 208 -62
"12" 276 -60
"13" 278 -62
"14" 314 -71
"15" 362 -71
"16" 364 -71
"17" 388 -71
"18" 394 -48
"19" 436 -60
"20" 442 -60
"21" 444 -62
"22" 574 -55
"23" 636 -63
"24" 908 -71
"25" 910 -71
"26" 1034 -79
"27" 1052 -60
"28" 1106 -72
"29" 1108 -71
"30" 1154 -60
"31" 1208 -63
"32" 1282 -49
"33" 1284 -64
"34" 1286 -64
"35" 1356 -64
"36" 1358 -64
"37" 1388 -62
"38" 1438 -63
"39" 1440 -64
"40" 1450 -54
"41" 1458 -64
"42" 1504 -70
"43" 1524 -48
"44" 1568 -62
"45" 1600 -61
"46" 1602 -61
"47" 1624 -60
"48" 1662 -60
"49" 1664 -61
"50" 1716 -63
"51" 1722 -60
"52" 1724 -61
"53" 1756 -79
"54" 1772 -71
"55" 1800 -61
"56" 1802 -62
"57" 1820 -60
"58" 1876 -61
"59" 1878 -62
"60" 1888 -45
"61" 1952 -61
"62" 1960 -59
"63" 1962 -62
"64" 2052 -55
"65" 2080 -60
"66" 2136 -71
"67" 2146 -71
"68" 2190 -71
"69" 2220 -70
"70" 2222 -71
"71" 2258 -55
"72" 2278 -71
"73" 2280 -71
"74" 2312 -54
"75" 2426 -54
"76" 2442 -62
"77" 2444 -63
"78" 2480 -63
"79" 2490 -70
"80" 2528 -63
"81" 2600 -64
"82" 2602 -64
"83" 2660 -71
"84" 2680 -64
"85" 2682 -64
"86" 2758 -63
"87" 2760 -64
"88" 2772 -69
"89" 2820 -70
"90" 2834 -61
"91" 2836 -61
"92" 2886 -71
"93" 2920 -61
"94" 2922 -61
"95" 2992 -46
"96" 3076 -54
"97" 3130 -63
"98" 3152 -61
"99" 3154 -61
"100" 3182 -54
"101" 3232 -70
"102" 3234 -71
"103" 3236 -61
"104" 3302 -61
"105" 3310 -70
"106" 3312 -70
"107" 3352 -63
"108" 3450 -46
"109" 3494 -72
"110" 3514 -61
"111" 3548 -71
"112" 3594 -63
"113" 3596 -63
"114" 3662 -63
"115" 3664 -63
"116" 3738 -62
"117" 3740 -63
"118" 3786 -70
"119" 3816 -61
"120" 3818 -64
"121" 3836 -78
"122" 3848 -62
"123" 3888 -60
"124" 3894 -63
"125" 3896 -63
"126" 3944 -46
"127" 3960 -63
"128" 3962 -64
"129" 4022 -63
"130" 4024 -64
"131" 4098 -62
"132" 4100 -62
"133" 4106 -62
"134" 4144 -56
"135" 4162 -61
"136" 4174 -61
"137" 4176 -62
"138" 4254 -70
"139" 4256 -70
"140" 4278 -70
"141" 4318 -62
"142" 4320 -62
"143" 4340 -70
"144" 4394 -59
"145" 4396 -62
"146" 4510 -71
"147" 4512 -71
"148" 4518 -78
"149" 4550 -69
"150" 4608 -61
"151" 4644 -54
"152" 4762 -63
"153" 4780 -63
"154" 4782 -64
"155" 4826 -71
"156" 4862 -62
"157" 4864 -63
"158" 4946 -47
"159" 4952 -48
"160" 4992 -56
"161" 5028 -70
"162" 5042 -64
"163" 5044 -63
"164" 5062 -63
"165" 5122 -63
"166" 5124 -63
"167" 5146 -63
"168" 5212 -62
"169" 5214 -63
"170" 5226 -69
"171" 5334 -62
"172" 5378 -78
"173" 5384 -62
"174" 5386 -62
"175" 5424 -46
"176" 5450 -60
"177" 5452 -62
"178" 5528 -62
"179" 5530 -62
"180" 5566 -70
"181" 5616 -62
"182" 5618 -62
"183" 5694 -71
"184" 5704 -71
"185" 5706 -71
"186" 5738 -70
"187" 5804 -54
"188" 5816 -63
"189" 5872 -71
"190" 5874 -71
"191" 5894 -71
"192" 6068 -60
"193" 6138 -48
"194" 6164 -71
"195" 6206 -47
"196" 6244 -69
"197" 6268 -63
"198" 6270 -63
"199" 6304 -63
"200" 6336 -63
"201" 6338 -63
"202" 6408 -55
"203" 6418 -63
"204" 6434 -72
"205" 6468 -63
"206" 6482 -61
"207" 6484 -70
"208" 6486 -71
"209" 6552 -62
"210" 6554 -62
"211" 6566 -61
"212" 6626 -63
"213" 6638 -62
"214" 6640 -62
"215" 6712 -62
"216" 6714 -62
"217" 6740 -47
"218" 6758 -68
"219" 6788 -70
"220" 6790 -71
"221" 6796 -63
"222" 6810 -70
"223" 6856 -62
"224" 6858 -62
"225" 6896 -62
"226" 6924 -69
"227" 6926 -71
"228" 6948 -61
"229" 6992 -53
"230" 7032 -63
"231" 7072 -56
"232" 7098 -62
"233" 7118 -63
"234" 7128 -54
"235" 7186 -54
"236" 7188 -60
"237" 7234 -60
"238" 7324 -63
"239" 7326 -63
"240" 7346 -62
"241" 7378 -78
"242" 7392 -63
"243" 7394 -63
"244" 7404 -71
"245" 7468 -46
"246" 7498 -46
"247" 7538 -61
"248" 7540 -62
"249" 7566 -54
"250" 7614 -60
"251" 7616 -62
"252" 7656 -61
"253" 7674 -61
"254" 7676 -61
"255" 7682 -72
"256" 7714 -70
"257" 7726 -46
"258" 7744 -60
"259" 7746 -62
"260" 7816 -62
"261" 7822 -71
"262" 7824 -71
"263" 7882 -71
"264" 7898 -60
"265" 7900 -62
"266" 7966 -60
"267" 7968 -62
"268" 8002 -78
"269" 8044 -69
"270" 8048 -71
"271" 8050 -71
"272" 8064 -71
"273" 8128 -70
"274" 8130 -71
"275" 8204 -54
"276" 8220 -71
"277" 8278 -54
"278" 8336 -63
"279" 8338 -63
"280" 8376 -61
"281" 8396 -62
"282" 8398 -63
"283" 8448 -61
"284" 8512 -63
"285" 8536 -61
"286" 8538 -63
"287" 8602 -61
"288" 8604 -63
"289" 8628 -68
"290" 8662 -63
"291" 8668 -63
"292" 8670 -63
"293" 8680 -71
"294" 8772 -63
"295" 8832 -63
"296" 8894 -61
"297" 8896 -62
"298" 8938 -61
"299" 8968 -61
"300" 8970 -62
"301" 9004 -63
"302" 9012 -60
"303" 9098 -61
"304" 9110 -69
"305" 9112 -71
"306" 9154 -61
"307" 9248 -54
"308" 9262 -54
"309" 9272 -78
"310" 9314 -62
"311" 9324 -63
"312" 9326 -69
"313" 9328 -70
"314" 9394 -63
"315" 9396 -63
"316" 9420 -70
"317" 9476 -61
"318" 9548 -61
"319" 9550 -63
"320" 9586 -70
"321" 9602 -72
"322" 9632 -62
"323" 9634 -63
"324" 9654 -62
"325" 9664 -46
"326" 9694 -46
"327" 9736 -71
"328" 9750 -62
"329" 9796 -61
"330" 9834 -63
"331" 9836 -63
"332" 9906 -63
"333" 9908 -70
"334" 9910 -71
"335" 9924 -79
"336" 9960 -71
"337" 9964 -71
"338" 9974 -61
"339" 9976 -62
"340" 10118 -71
"341" 10122 -61
"342" 10124 -62
"343" 10194 -71
"344" 10196 -72
"345" 10230 -48
"346" 10264 -71
"347" 10266 -71
"348" 10280 -71
"349" 10290 -60
"350" 10334 -71
"351" 10336 -71
"352" 10382 -60
"353" 10406 -71
"354" 10408 -71
"355" 10440 -71
"356" 10478 -54
"357" 10544 -60
"358" 10554 -70
"359" 10558 -61
"360" 10560 -63
"361" 10604 -71
"362" 10608 -63
"363" 10624 -63
"364" 10626 -63
"365" 10698 -63
"366" 10700 -64
"367" 10760 -70
"368" 10766 -63
"369" 10768 -63
"370" 10832 -60
