"V1" "V2"
"1" 442 -74
"2" 5448 -74
"3" 5508 -74
"4" 7254 -74
"5" 8102 -74
"6" 9406 -74
"7" 9408 -74
"8" 9574 -74
"9" 9576 -74
"10" 9648 -74
"11" 9668 -74
"12" 9670 -74
"13" 9738 -74
"14" 9754 -74
"15" 9804 -74
"16" 9914 -74
"17" 10286 -74
"18" 17558 -74
"19" 29488 -74
"20" 29768 -74
"21" 36808 -74
"22" 47784 -74
"23" 47786 -74
"24" 50224 -74
"25" 50302 -74
"26" 50324 -74
"27" 54810 -74
"28" 58364 -74
"29" 62360 -74
"30" 1664 -73
"31" 1666 -73
"32" 1878 -73
"33" 2134 -73
"34" 2136 -73
"35" 2272 -73
"36" 2274 -73
"37" 2386 -73
"38" 2388 -73
"39" 2404 -73
"40" 2406 -73
"41" 2902 -73
"42" 3186 -73
"43" 3518 -73
"44" 3520 -73
"45" 3612 -73
"46" 3614 -73
"47" 3856 -73
"48" 3858 -73
"49" 4018 -73
"50" 4020 -73
"51" 4172 -73
"52" 5282 -73
"53" 5442 -73
"54" 5446 -73
"55" 5506 -73
"56" 5656 -73
"57" 5658 -73
"58" 5754 -73
"59" 5764 -73
"60" 5902 -73
"61" 6564 -73
"62" 6998 -73
"63" 7346 -73
"64" 7348 -73
"65" 7416 -73
"66" 7568 -73
"67" 7646 -73
"68" 7736 -73
"69" 7892 -73
"70" 7952 -73
"71" 8422 -73
"72" 8502 -73
"73" 8504 -73
"74" 9080 -73
"75" 9492 -73
"76" 9494 -73
"77" 10892 -73
"78" 10894 -73
"79" 10986 -73
"80" 10988 -73
"81" 11054 -73
"82" 11056 -73
"83" 11102 -73
"84" 11232 -73
"85" 11676 -73
"86" 12144 -73
"87" 12146 -73
"88" 12624 -73
"89" 12764 -73
"90" 12934 -73
"91" 13116 -73
"92" 13184 -73
"93" 13220 -73
"94" 13222 -73
"95" 13276 -73
"96" 13296 -73
"97" 13298 -73
"98" 13348 -73
"99" 13368 -73
"100" 13370 -73
"101" 13438 -73
"102" 13440 -73
"103" 14348 -73
"104" 14430 -73
"105" 14432 -73
"106" 14492 -73
"107" 14758 -73
"108" 15312 -73
"109" 15314 -73
"110" 15454 -73
"111" 15456 -73
"112" 15522 -73
"113" 15524 -73
"114" 15592 -73
"115" 15594 -73
"116" 15656 -73
"117" 15658 -73
"118" 15736 -73
"119" 15738 -73
"120" 16186 -73
"121" 16542 -73
"122" 16544 -73
"123" 16562 -73
"124" 16678 -73
"125" 16680 -73
"126" 16724 -73
"127" 16754 -73
"128" 16756 -73
"129" 16830 -73
"130" 16832 -73
"131" 16900 -73
"132" 16902 -73
"133" 17474 -73
"134" 17556 -73
"135" 17782 -73
"136" 17784 -73
"137" 17798 -73
"138" 17920 -73
"139" 17922 -73
"140" 18120 -73
"141" 18466 -73
"142" 18698 -73
"143" 18844 -73
"144" 18846 -73
"145" 18978 -73
"146" 18980 -73
"147" 19116 -73
"148" 19118 -73
"149" 19872 -73
"150" 19938 -73
"151" 19940 -73
"152" 20982 -73
"153" 20984 -73
"154" 21568 -73
"155" 22138 -73
"156" 22140 -73
"157" 22212 -73
"158" 22214 -73
"159" 23264 -73
"160" 23346 -73
"161" 24050 -73
"162" 24116 -73
"163" 24486 -73
"164" 26408 -73
"165" 27692 -73
"166" 29676 -73
"167" 40260 -73
"168" 40262 -73
"169" 44834 -73
"170" 47508 -73
"171" 47510 -73
"172" 47704 -73
"173" 47706 -73
"174" 47714 -73
"175" 47864 -73
"176" 47866 -73
"177" 50304 -73
"178" 50394 -73
"179" 50396 -73
"180" 50932 -73
"181" 54408 -73
"182" 54610 -73
"183" 54612 -73
"184" 55010 -73
"185" 57762 -73
"186" 59076 -73
"187" 59240 -73
"188" 59258 -73
"189" 59260 -73
"190" 59356 -73
"191" 61776 -73
"192" 61904 -73
"193" 61906 -73
"194" 63674 -73
"195" 50 -72
"196" 126 -72
"197" 308 -72
"198" 342 -72
"199" 344 -72
"200" 1880 -72
"201" 12466 -72
"202" 13610 -72
"203" 14350 -72
"204" 14494 -72
"205" 15020 -72
"206" 15100 -72
"207" 15546 -72
"208" 17628 -72
"209" 17636 -72
"210" 17638 -72
"211" 18186 -72
"212" 19864 -72
"213" 19870 -72
"214" 20038 -72
"215" 20266 -72
"216" 21036 -72
"217" 21570 -72
"218" 21608 -72
"219" 21686 -72
"220" 21924 -72
"221" 21998 -72
"222" 22000 -72
"223" 22686 -72
"224" 22844 -72
"225" 23006 -72
"226" 23018 -72
"227" 23266 -72
"228" 24340 -72
"229" 24342 -72
"230" 24406 -72
"231" 24408 -72
"232" 25094 -72
"233" 25184 -72
"234" 25292 -72
"235" 25366 -72
"236" 26150 -72
"237" 26152 -72
"238" 26544 -72
"239" 27710 -72
"240" 27770 -72
"241" 27828 -72
"242" 27850 -72
"243" 27852 -72
"244" 28018 -72
"245" 28020 -72
"246" 28452 -72
"247" 28966 -72
"248" 28968 -72
"249" 29054 -72
"250" 29056 -72
"251" 29238 -72
"252" 29240 -72
"253" 29578 -72
"254" 30016 -72
"255" 30064 -72
"256" 30152 -72
"257" 30284 -72
"258" 31688 -72
"259" 31934 -72
"260" 32232 -72
"261" 32234 -72
"262" 32260 -72
"263" 32404 -72
"264" 32406 -72
"265" 32464 -72
"266" 32498 -72
"267" 32730 -72
"268" 32830 -72
"269" 32876 -72
"270" 32940 -72
"271" 33126 -72
"272" 33254 -72
"273" 33256 -72
"274" 33682 -72
"275" 33684 -72
"276" 33756 -72
"277" 33758 -72
"278" 33864 -72
"279" 33866 -72
"280" 33958 -72
"281" 33960 -72
"282" 33994 -72
"283" 34022 -72
"284" 34364 -72
"285" 34566 -72
"286" 34836 -72
"287" 34838 -72
"288" 35880 -72
"289" 35882 -72
"290" 36178 -72
"291" 36810 -72
"292" 36890 -72
"293" 36892 -72
"294" 36926 -72
"295" 36978 -72
"296" 36980 -72
"297" 37064 -72
"298" 37066 -72
"299" 37102 -72
"300" 37206 -72
"301" 38346 -72
"302" 38536 -72
"303" 38538 -72
"304" 38938 -72
"305" 39026 -72
"306" 39028 -72
"307" 39132 -72
"308" 39144 -72
"309" 40272 -72
"310" 40348 -72
"311" 40350 -72
"312" 40366 -72
"313" 40458 -72
"314" 40640 -72
"315" 40832 -72
"316" 41632 -72
"317" 41634 -72
"318" 41706 -72
"319" 41708 -72
"320" 42926 -72
"321" 42928 -72
"322" 43416 -72
"323" 43736 -72
"324" 43778 -72
"325" 43780 -72
"326" 44242 -72
"327" 44350 -72
"328" 44448 -72
"329" 44808 -72
"330" 44832 -72
"331" 44992 -72
"332" 45008 -72
"333" 45010 -72
"334" 45096 -72
"335" 45182 -72
"336" 45184 -72
"337" 45198 -72
"338" 46404 -72
"339" 46406 -72
"340" 46468 -72
"341" 46480 -72
"342" 46482 -72
"343" 46636 -72
"344" 46656 -72
"345" 46746 -72
"346" 46842 -72
"347" 47502 -72
"348" 47944 -72
"349" 48104 -72
"350" 48134 -72
"351" 48814 -72
"352" 49152 -72
"353" 49154 -72
"354" 49328 -72
"355" 49330 -72
"356" 50208 -72
"357" 50432 -72
"358" 50486 -72
"359" 50488 -72
"360" 50546 -72
"361" 50816 -72
"362" 51518 -72
"363" 51520 -72
"364" 51588 -72
"365" 51672 -72
"366" 51674 -72
"367" 51760 -72
"368" 51762 -72
"369" 51766 -72
"370" 52052 -72
"371" 52248 -72
"372" 52404 -72
"373" 52602 -72
"374" 52604 -72
"375" 52692 -72
"376" 52694 -72
"377" 52824 -72
"378" 53044 -72
"379" 53046 -72
"380" 53128 -72
"381" 53130 -72
"382" 53154 -72
"383" 53304 -72
"384" 53306 -72
"385" 53850 -72
"386" 54364 -72
"387" 54508 -72
"388" 54510 -72
"389" 54700 -72
"390" 54702 -72
"391" 54794 -72
"392" 54796 -72
"393" 55892 -72
"394" 55988 -72
"395" 55990 -72
"396" 56072 -72
"397" 56074 -72
"398" 56162 -72
"399" 56164 -72
"400" 57222 -72
"401" 57326 -72
"402" 57328 -72
"403" 57342 -72
"404" 57416 -72
"405" 57710 -72
"406" 58128 -72
"407" 58130 -72
"408" 58294 -72
"409" 58296 -72
"410" 59074 -72
"411" 59354 -72
"412" 59618 -72
"413" 59620 -72
"414" 59856 -72
"415" 59960 -72
"416" 59992 -72
"417" 60560 -72
"418" 60562 -72
"419" 60656 -72
"420" 60658 -72
"421" 60808 -72
"422" 60832 -72
"423" 60958 -72
"424" 60960 -72
"425" 61012 -72
"426" 61348 -72
"427" 61684 -72
"428" 62270 -72
"429" 62272 -72
"430" 62362 -72
"431" 63362 -72
"432" 63758 -72
"433" 64154 -72
"434" 64368 -72
"435" 64428 -72
"436" 64430 -72
"437" 64698 -72
"438" 64700 -72
"439" 64904 -72
"440" 65094 -72
"441" 65096 -72
"442" 65196 -72
"443" 65198 -72
"444" 65280 -72
"445" 65282 -72
"446" 12 -71
"447" 110 -71
"448" 112 -71
"449" 290 -71
"450" 7978 -71
"451" 8652 -71
"452" 11230 -71
"453" 12848 -71
"454" 13494 -71
"455" 13508 -71
"456" 15946 -71
"457" 15996 -71
"458" 16100 -71
"459" 16492 -71
"460" 17032 -71
"461" 17846 -71
"462" 18072 -71
"463" 18074 -71
"464" 18212 -71
"465" 18214 -71
"466" 18286 -71
"467" 18334 -71
"468" 18748 -71
"469" 20020 -71
"470" 20326 -71
"471" 21346 -71
"472" 21692 -71
"473" 22086 -71
"474" 23186 -71
"475" 23188 -71
"476" 23656 -71
"477" 23976 -71
"478" 24048 -71
"479" 24114 -71
"480" 24484 -71
"481" 24668 -71
"482" 25470 -71
"483" 25660 -71
"484" 25758 -71
"485" 26334 -71
"486" 26406 -71
"487" 26542 -71
"488" 27146 -71
"489" 27508 -71
"490" 27510 -71
"491" 27656 -71
"492" 27690 -71
"493" 27768 -71
"494" 30282 -71
"495" 30368 -71
"496" 30370 -71
