"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" -20 0 0 0 0 0 0 0
"2" -21 0 0 0 0 0 0 0
"3" -22 0 0 0 0 0 0 0
"4" -23 0 0 0 0 0 0 0
"5" -24 0 0 0 0 0 0 0
"6" -25 0 0 0 0 0 0 0
"7" -26 0 0 0 0 0 0 0
"8" -27 0 0 0 0 0 0 0
"9" -28 0 0 0 0 0 0 0
"10" -29 0 0 0 0 0 0 0
"11" -30 0 0 0 0 0 0 0
"12" -31 0 0 0 0 0 0 0
"13" -32 0 0 0 0 0 0 0
"14" -33 0 0 0 0 0 0 0
"15" -34 0 0 0 0 0 0 0
"16" -35 21 0 0 0 0 0 0
"17" -36 22 0 0 0 0 0 0
"18" -37 28 0 0 0 0 0 0
"19" -38 3 0 0 0 0 0 0
"20" -39 7 0 0 0 0 0 0
"21" -40 0 0 0 0 0 0 0
"22" -41 0 0 0 0 0 0 0
"23" -42 0 0 0 0 0 0 0
"24" -43 0 0 0 0 0 0 0
"25" -44 0 0 0 0 0 0 0
"26" -45 0 0 0 0 0 0 0
"27" -46 0 0 0 0 0 0 0
"28" -47 0 0 0 0 0 0 0
"29" -48 0 0 0 0 0 0 0
"30" -49 0 0 0 0 0 0 0
"31" -50 0 0 0 0 0 0 0
"32" -51 0 0 0 0 0 0 0
"33" -52 0 0 0 0 0 0 0
"34" -53 0 0 0 0 0 0 0
"35" -54 0 0 0 0 0 0 0
"36" -55 0 4 0 0 0 0 0
"37" -56 0 12 0 0 0 0 0
"38" -57 0 39 0 0 0 0 0
"39" -58 0 12 0 0 2 0 0
"40" -59 0 7 0 0 2 0 0
"41" -60 0 5 0 0 19 0 0
"42" -61 0 0 0 0 11 0 0
"43" -62 0 0 0 0 7 0 0
"44" -63 0 0 0 0 13 0 0
"45" -64 0 0 0 0 0 0 0
"46" -65 0 0 0 3 0 0 0
"47" -66 0 0 0 7 0 0 0
"48" -67 0 0 0 20 0 0 0
"49" -68 0 0 1 8 0 5 0
"50" -69 0 0 3 9 0 13 0
"51" -70 0 0 11 6 0 30 0
"52" -71 0 0 13 14 0 8 0
"53" -72 0 0 2 11 0 14 6
"54" -73 0 0 0 2 0 9 8
"55" -74 0 0 0 1 0 2 14
"56" -75 0 0 0 1 0 0 12
"57" -76 0 0 0 0 0 0 13
"58" -77 0 0 0 0 0 0 10
"59" -78 0 0 0 0 0 0 4
"60" -79 0 0 0 0 0 0 7
"61" -80 0 0 0 0 0 0 3
"62" -81 0 0 0 0 0 0 2
"63" -82 0 0 0 0 0 0 1
"64" -83 0 0 0 0 0 0 2
"65" -84 0 0 0 0 0 0 1
"66" -85 0 0 0 0 0 0 0
"67" -86 0 0 0 0 0 0 0
"68" -87 0 0 0 0 0 0 0
"69" -88 0 0 0 0 0 0 0
"70" -89 0 0 0 0 0 0 0
"71" -90 0 0 0 0 0 0 0
"72" -91 0 0 0 0 0 0 0
"73" -92 0 0 0 0 0 0 0
"74" -93 0 0 0 0 0 0 0
"75" -94 0 0 0 0 0 0 0
"76" -95 0 0 0 0 0 0 0
"77" -96 0 0 0 0 0 0 0
"78" -97 0 0 0 0 0 0 0
"79" -98 0 0 0 0 0 0 0
"80" -99 0 0 0 0 0 0 0
