"V1" "V2"
"1" 102 -65
"2" 104 -67
"3" 262 -64
"4" 264 -65
"5" 454 -65
"6" 456 -67
"7" 1158 -52
"8" 1332 -51
"9" 1334 -66
"10" 1678 -67
"11" 1680 -67
"12" 1834 -67
"13" 1836 -67
"14" 2020 -65
"15" 2022 -67
"16" 2208 -68
"17" 2210 -67
"18" 2378 -66
"19" 2380 -67
"20" 2898 -67
"21" 2900 -67
"22" 3078 -48
"23" 3254 -63
"24" 3256 -64
"25" 3564 -64
"26" 3566 -64
"27" 3906 -47
"28" 4046 -64
"29" 4048 -65
"30" 4216 -64
"31" 4218 -64
"32" 4380 -47
"33" 4658 -64
"34" 4660 -64
"35" 4886 -64
"36" 4888 -65
"37" 5080 -65
"38" 5082 -67
"39" 5276 -64
"40" 5278 -64
"41" 5440 -65
"42" 5442 -67
"43" 5638 -65
"44" 5640 -67
"45" 5832 -65
"46" 5834 -67
"47" 6016 -65
"48" 6018 -67
"49" 6184 -67
"50" 6186 -67
"51" 6352 -65
"52" 6354 -67
"53" 6514 -66
"54" 6516 -68
"55" 6686 -52
"56" 6834 -66
"57" 6836 -67
"58" 7144 -68
"59" 7146 -67
"60" 7442 -66
"61" 7444 -67
"62" 7768 -64
"63" 7770 -64
"64" 7926 -52
"65" 8098 -64
"66" 8100 -65
"67" 8402 -63
"68" 8404 -64
"69" 8874 -64
"70" 8876 -65
"71" 9046 -65
"72" 9048 -67
"73" 9198 -47
"74" 9524 -65
"75" 9526 -67
"76" 9684 -65
"77" 9686 -67
"78" 9848 -67
"79" 9850 -67
"80" 10000 -64
"81" 10002 -64
"82" 10164 -67
"83" 10166 -67
"84" 10316 -67
"85" 10318 -67
"86" 10480 -51
"87" 10482 -67
"88" 10652 -67
"89" 10654 -67
"90" 10804 -67
"91" 10806 -68
"92" 10960 -67
"93" 10962 -68
"94" 11292 -67
"95" 11294 -67
"96" 11614 -68
"97" 11616 -67
"98" 11780 -52
"99" 12296 -65
"100" 12298 -67
"101" 12456 -64
"102" 12458 -64
"103" 12772 -64
"104" 12774 -64
"105" 13088 -64
"106" 13090 -64
"107" 13234 -64
"108" 13236 -65
"109" 13410 -64
"110" 13412 -64
"111" 13578 -66
"112" 13580 -67
"113" 13700 -63
"114" 13702 -64
"115" 13856 -66
"116" 13858 -67
"117" 14014 -64
"118" 14016 -64
"119" 14178 -67
"120" 14180 -68
"121" 14330 -65
"122" 14332 -68
"123" 14502 -66
"124" 14504 -67
"125" 14662 -68
"126" 14664 -68
"127" 14830 -67
"128" 14832 -67
"129" 15166 -67
"130" 15168 -67
"131" 15324 -67
"132" 15326 -67
"133" 15506 -65
"134" 15508 -67
"135" 15694 -66
"136" 15696 -66
"137" 15888 -67
"138" 15890 -67
"139" 16236 -66
"140" 16238 -67
"141" 17244 -63
"142" 17246 -64
"143" 17436 -64
"144" 17438 -64
"145" 17800 -65
"146" 17802 -64
"147" 17988 -64
"148" 17990 -64
"149" 18168 -48
"150" 18170 -64
"151" 18354 -51
"152" 18550 -48
"153" 18738 -56
"154" 18872 -65
"155" 18874 -65
"156" 19172 -64
"157" 19174 -65
"158" 19332 -65
"159" 19334 -67
"160" 19480 -64
"161" 19482 -66
"162" 19618 -64
"163" 19620 -66
"164" 19768 -64
"165" 19770 -66
"166" 19936 -67
"167" 19938 -67
"168" 20102 -66
"169" 20104 -67
"170" 20262 -51
"171" 20418 -67
"172" 20420 -68
"173" 20580 -67
"174" 20582 -67
"175" 20722 -67
"176" 20724 -67
"177" 21046 -65
"178" 21048 -65
"179" 21218 -67
"180" 21220 -67
"181" 21382 -67
"182" 21384 -67
"183" 21698 -63
"184" 21700 -64
"185" 21856 -64
"186" 21858 -65
"187" 22350 -64
"188" 22352 -64
"189" 22510 -64
"190" 22512 -64
"191" 22670 -65
"192" 22672 -65
"193" 22830 -67
"194" 22832 -67
"195" 22972 -63
"196" 22974 -64
"197" 23136 -63
"198" 23138 -65
"199" 23286 -65
"200" 23288 -67
"201" 23456 -64
"202" 23458 -65
"203" 23620 -47
"204" 23904 -66
"205" 24066 -66
"206" 24068 -66
"207" 24220 -66
"208" 24222 -67
"209" 24516 -66
"210" 24518 -68
"211" 24668 -68
"212" 24670 -67
"213" 24812 -67
"214" 24814 -67
"215" 24956 -65
"216" 24958 -67
"217" 25100 -66
"218" 25102 -67
"219" 25262 -65
"220" 25264 -67
"221" 26292 -64
"222" 26294 -65
"223" 26452 -63
"224" 26454 -65
"225" 26750 -65
"226" 26752 -64
"227" 26920 -63
"228" 26922 -65
"229" 27082 -67
"230" 27084 -67
"231" 27240 -67
"232" 27242 -67
"233" 27404 -65
"234" 27406 -67
"235" 27572 -67
"236" 27574 -67
"237" 27724 -65
"238" 27726 -65
"239" 27888 -65
"240" 27890 -67
"241" 28040 -67
"242" 28042 -67
"243" 28184 -66
"244" 28186 -65
"245" 28318 -65
"246" 28320 -65
"247" 28480 -65
"248" 28482 -65
"249" 28784 -67
"250" 28786 -67
"251" 28940 -66
"252" 28942 -67
"253" 29254 -67
"254" 29256 -67
"255" 29428 -66
"256" 29430 -67
"257" 29600 -67
"258" 29602 -67
"259" 29924 -47
"260" 30394 -64
"261" 30396 -65
"262" 30588 -64
"263" 30590 -65
"264" 30758 -65
"265" 30760 -65
"266" 30936 -65
"267" 30938 -65
"268" 31094 -64
"269" 31096 -65
"270" 31244 -67
"271" 31246 -67
"272" 31398 -65
"273" 31400 -65
"274" 31560 -51
"275" 31702 -65
"276" 31704 -65
"277" 31868 -66
"278" 31870 -67
"279" 32016 -51
"280" 32168 -67
"281" 32170 -67
"282" 32322 -65
"283" 32324 -67
"284" 32480 -65
"285" 32482 -67
"286" 32616 -68
"287" 32618 -68
"288" 32760 -67
"289" 32762 -66
"290" 32902 -67
"291" 32904 -67
"292" 33058 -65
"293" 33060 -68
"294" 33188 -67
"295" 33190 -67
"296" 33336 -67
"297" 33338 -67
"298" 33792 -65
"299" 33794 -67
"300" 33944 -52
"301" 34386 -65
"302" 34388 -65
"303" 35080 -65
"304" 35082 -66
"305" 35206 -65
"306" 35208 -65
"307" 35334 -63
"308" 35336 -65
"309" 35470 -63
"310" 35472 -65
"311" 35596 -65
"312" 35598 -65
"313" 35710 -65
"314" 35712 -67
"315" 35830 -66
"316" 35832 -66
"317" 36068 -64
"318" 36070 -65
"319" 36222 -67
