"V1" "V2"
"1" 164 -72
"2" 59626 -72
"3" 59628 -72
"4" 60288 -72
"5" 482 -71
"6" 3358 -71
"7" 3998 -71
"8" 4162 -71
"9" 4164 -71
"10" 4462 -71
"11" 5104 -71
"12" 5106 -71
"13" 6386 -71
"14" 10516 -71
"15" 15954 -71
"16" 16148 -71
"17" 16512 -71
"18" 16698 -71
"19" 16700 -71
"20" 16878 -71
"21" 16880 -71
"22" 17468 -71
"23" 22388 -71
"24" 22572 -71
"25" 27922 -71
"26" 28788 -71
"27" 29256 -71
"28" 29462 -71
"29" 30468 -71
"30" 37468 -71
"31" 38144 -71
"32" 38342 -71
"33" 38344 -71
"34" 38712 -71
"35" 38714 -71
"36" 39084 -71
"37" 39404 -71
"38" 44174 -71
"39" 45118 -71
"40" 48922 -71
"41" 48924 -71
"42" 49828 -71
"43" 50002 -71
"44" 50464 -71
"45" 50624 -71
"46" 53988 -71
"47" 53990 -71
"48" 54136 -71
"49" 54138 -71
"50" 54292 -71
"51" 54610 -71
"52" 55122 -71
"53" 57822 -71
"54" 57824 -71
"55" 57986 -71
"56" 57988 -71
"57" 58490 -71
"58" 58492 -71
"59" 58626 -71
"60" 58962 -71
"61" 58964 -71
"62" 59900 -71
"63" 59902 -71
"64" 64932 -71
"65" 162 -70
"66" 1272 -70
"67" 1274 -70
"68" 3360 -70
"69" 4460 -70
"70" 4926 -70
"71" 9954 -70
"72" 11574 -70
"73" 12140 -70
"74" 12142 -70
"75" 16146 -70
"76" 17066 -70
"77" 17068 -70
"78" 17466 -70
"79" 18594 -70
"80" 22386 -70
"81" 22570 -70
"82" 22758 -70
"83" 22760 -70
"84" 22952 -70
"85" 22954 -70
"86" 23498 -70
"87" 23500 -70
"88" 27920 -70
"89" 29460 -70
"90" 36426 -70
"91" 36428 -70
"92" 39082 -70
"93" 44332 -70
"94" 44334 -70
"95" 44802 -70
"96" 44804 -70
"97" 44960 -70
"98" 45282 -70
"99" 49530 -70
"100" 49532 -70
"101" 49684 -70
"102" 49686 -70
"103" 49826 -70
"104" 50000 -70
"105" 50146 -70
"106" 50462 -70
"107" 50622 -70
"108" 55626 -70
"109" 480 -69
"110" 3996 -69
"111" 6384 -69
"112" 9952 -69
"113" 10514 -69
"114" 15952 -69
"115" 16510 -69
"116" 28786 -69
"117" 37466 -69
"118" 38142 -69
"119" 45280 -69
"120" 54290 -69
"121" 54608 -69
"122" 55120 -69
"123" 55628 -69
"124" 58624 -69
"125" 60286 -69
"126" 64930 -69
"127" 4924 -68
"128" 11572 -68
"129" 18592 -68
"130" 29254 -68
"131" 44958 -68
"132" 45116 -68
"133" 50144 -68
"134" 2160 -67
"135" 3030 -67
"136" 3032 -67
"137" 3512 -67
"138" 14232 -67
"139" 15574 -67
"140" 15764 -67
"141" 19720 -67
"142" 19722 -67
"143" 20490 -67
"144" 20706 -67
"145" 20708 -67
"146" 21262 -67
