"V1" "V2"
"1" 23726 -64
"2" 30214 -64
"3" 30374 -64
"4" 30376 -64
"5" 40910 -64
"6" 21664 -63
"7" 21666 -63
"8" 21826 -63
"9" 22790 -63
"10" 22792 -63
"11" 23584 -63
"12" 23586 -63
"13" 23724 -63
"14" 24638 -63
"15" 25378 -63
"16" 25380 -63
"17" 25510 -63
"18" 26270 -63
"19" 26432 -63
"20" 26434 -63
"21" 27376 -63
"22" 27378 -63
"23" 27534 -63
"24" 27536 -63
"25" 28304 -63
"26" 28306 -63
"27" 28460 -63
"28" 28462 -63
"29" 28926 -63
"30" 29240 -63
"31" 29416 -63
"32" 29418 -63
"33" 30212 -63
"34" 32156 -63
"35" 32158 -63
"36" 32464 -63
"37" 32466 -63
"38" 35602 -63
"39" 35604 -63
"40" 35836 -63
"41" 36468 -63
"42" 36470 -63
"43" 36608 -63
"44" 36610 -63
"45" 36746 -63
"46" 36748 -63
"47" 37322 -63
"48" 37466 -63
"49" 38164 -63
"50" 40908 -63
"51" 41040 -63
"52" 41042 -63
"53" 21824 -62
"54" 24636 -62
"55" 25508 -62
"56" 26268 -62
"57" 29238 -62
"58" 32306 -62
"59" 32308 -62
"60" 34090 -62
"61" 34092 -62
"62" 37320 -62
"63" 37464 -62
"64" 38162 -62
"65" 38298 -62
"66" 38300 -62
"67" 39120 -62
"68" 39122 -62
"69" 35834 -61
"70" 37030 -61
"71" 37032 -61
"72" 38020 -61
"73" 38022 -61
"74" 38732 -61
"75" 39698 -61
"76" 40472 -61
"77" 40474 -61
"78" 21002 -60
"79" 21974 -60
"80" 22156 -60
"81" 22314 -60
"82" 22944 -60
"83" 23102 -60
"84" 23416 -60
"85" 23878 -60
"86" 24938 -60
"87" 25234 -60
"88" 25672 -60
"89" 27704 -60
"90" 28924 -60
"91" 29746 -60
"92" 29748 -60
"93" 30736 -60
"94" 31386 -60
"95" 31388 -60
"96" 31546 -60
"97" 31548 -60
"98" 32608 -60
"99" 33048 -60
"100" 33050 -60
"101" 33326 -60
"102" 33496 -60
"103" 33498 -60
"104" 33938 -60
"105" 34234 -60
"106" 34382 -60
"107" 34384 -60
"108" 34520 -60
"109" 34808 -60
"110" 34810 -60
"111" 35086 -60
"112" 35088 -60
"113" 35340 -60
"114" 36080 -60
"115" 36230 -60
"116" 37180 -60
"117" 38730 -60
"118" 38862 -60
"119" 38864 -60
"120" 39696 -60
"121" 40008 -60
"122" 40010 -60
"123" 40158 -60
"124" 40306 -60
"125" 40626 -60
"126" 41186 -60
"127" 41188 -60
"128" 41348 -60
"129" 41498 -60
"130" 41500 -60
"131" 41972 -60
"132" 41974 -60
"133" 21172 -59
"134" 21174 -59
"135" 22158 -59
"136" 22312 -59
"137" 23418 -59
"138" 25080 -59
"139" 25082 -59
"140" 25236 -59
"141" 25970 -59
"142" 26126 -59
"143" 26128 -59
"144" 26892 -59
"145" 27056 -59
"146" 27216 -59
"147" 28160 -59
"148" 28162 -59
"149" 28762 -59
"150" 30918 -59
"151" 31074 -59
"152" 31686 -59
"153" 31688 -59
"154" 33324 -59
"155" 33642 -59
"156" 34232 -59
"157" 34522 -59
"158" 36078 -59
"159" 36232 -59
"160" 36896 -59
"161" 37182 -59
"162" 37602 -59
"163" 37604 -59
"164" 37744 -59
"165" 37746 -59
"166" 38582 -59
"167" 38584 -59
"168" 39270 -59
"169" 39272 -59
"170" 40156 -59
"171" 40624 -59
"172" 40754 -59
"173" 40756 -59
"174" 41346 -59
"175" 41616 -59
"176" 41618 -59
"177" 21972 -58
"178" 22942 -58
"179" 23100 -58
"180" 23876 -58
"181" 24776 -58
"182" 24778 -58
"183" 24936 -58
"184" 25670 -58
"185" 25824 -58
"186" 25826 -58
"187" 25968 -58
"188" 26724 -58
"189" 26726 -58
"190" 26890 -58
"191" 27054 -58
"192" 27214 -58
"193" 27702 -58
"194" 27868 -58
"195" 27870 -58
"196" 28606 -58
"197" 28608 -58
"198" 30734 -58
"199" 30916 -58
"200" 31076 -58
"201" 32606 -58
"202" 33640 -58
"203" 33936 -58
"204" 35338 -58
"205" 39406 -58
"206" 39408 -58
"207" 40304 -58
"208" 28760 -57
"209" 36894 -57
