"V1" "V2"
"1" 12386 -30
"2" 18142 -30
"3" 8844 -29
"4" 52 -28
"5" 342 -28
"6" 662 -28
"7" 958 -28
"8" 1666 -28
"9" 1668 -28
"10" 2014 -28
"11" 2618 -28
"12" 2804 -28
"13" 2806 -28
"14" 3142 -28
"15" 3906 -28
"16" 4056 -28
"17" 4218 -28
"18" 4498 -28
"19" 4630 -28
"20" 4776 -28
"21" 5062 -28
"22" 5334 -28
"23" 5952 -28
"24" 6530 -28
"25" 6670 -28
"26" 6672 -28
"27" 6814 -28
"28" 7106 -28
"29" 8272 -28
"30" 8422 -28
"31" 8568 -28
"32" 8976 -28
"33" 9458 -28
"34" 9618 -28
"35" 10192 -28
"36" 10348 -28
"37" 10944 -28
"38" 11108 -28
"39" 11266 -28
"40" 11422 -28
"41" 12064 -28
"42" 13098 -28
"43" 13298 -28
"44" 13484 -28
"45" 13644 -28
"46" 13646 -28
"47" 14334 -28
"48" 14702 -28
"49" 15312 -28
"50" 15660 -28
"51" 18312 -28
"52" 19710 -28
"53" 19894 -28
"54" 20264 -28
"55" 20468 -28
"56" 20664 -28
"57" 20950 -28
"58" 344 -27
"59" 498 -27
"60" 500 -27
"61" 660 -27
"62" 1324 -27
"63" 1326 -27
"64" 2016 -27
"65" 2224 -27
"66" 2226 -27
"67" 2426 -27
"68" 2428 -27
"69" 2976 -27
"70" 4496 -27
"71" 4632 -27
"72" 4778 -27
"73" 5336 -27
"74" 5494 -27
"75" 5496 -27
"76" 6092 -27
"77" 6094 -27
"78" 6222 -27
"79" 6224 -27
"80" 6816 -27
"81" 6960 -27
"82" 7250 -27
"83" 7252 -27
"84" 7688 -27
"85" 7970 -27
"86" 7972 -27
"87" 8126 -27
"88" 8128 -27
"89" 8274 -27
"90" 8424 -27
"91" 8846 -27
"92" 8978 -27
"93" 9146 -27
"94" 9148 -27
"95" 9758 -27
"96" 9760 -27
"97" 9902 -27
"98" 10488 -27
"99" 10784 -27
"100" 10786 -27
"101" 10946 -27
"102" 11912 -27
"103" 11914 -27
"104" 12066 -27
"105" 12556 -27
"106" 12558 -27
"107" 12916 -27
"108" 12918 -27
"109" 13100 -27
"110" 13300 -27
"111" 13814 -27
"112" 13816 -27
"113" 15156 -27
"114" 15158 -27
"115" 15314 -27
"116" 15662 -27
"117" 16582 -27
"118" 18144 -27
"119" 18314 -27
"120" 19374 -27
"121" 19376 -27
"122" 19536 -27
"123" 19538 -27
"124" 19712 -27
"125" 20952 -27
"126" 54 -26
"127" 960 -26
"128" 2978 -26
"129" 3144 -26
"130" 3908 -26
"131" 4058 -26
"132" 4220 -26
"133" 5064 -26
"134" 5954 -26
"135" 6958 -26
"136" 7690 -26
"137" 9620 -26
"138" 9900 -26
"139" 10194 -26
"140" 10350 -26
"141" 10486 -26
"142" 11110 -26
"143" 11268 -26
"144" 11424 -26
"145" 12388 -26
"146" 14336 -26
"147" 14704 -26
"148" 16100 -26
"149" 16102 -26
"150" 20266 -26
"151" 20470 -26
"152" 12230 -25
"153" 14150 -25
"154" 15834 -25
"155" 16580 -25
"156" 17802 -25
"157" 18696 -25
