"V1" "V2"
"1" -65 1
"2" -64 1
"3" -63 0
"4" -62 0
"5" -61 0
"6" -60 0
"7" -59 1
"8" -58 0
"9" -57 0
"10" -56 0
"11" -55 0
"12" -54 0
"13" -53 0
"14" -52 0
"15" -51 0
"16" -50 0
"17" -49 0
"18" -48 0
"19" -47 0
"20" -46 1
"21" -45 0
"22" -44 0
"23" -43 0
"24" -42 0
"25" -41 0
"26" -40 0
"27" -39 0
"28" -38 0
"29" -37 0
"30" -36 0
"31" -35 0
"32" -34 0
"33" -33 0
"34" -32 0
"35" -31 0
"36" -30 2
"37" -29 2
"38" -28 27
"39" -27 44
"40" -26 16
"41" -25 5
"42" -24 0
"43" -23 0
"44" -22 0
"45" -21 0
"46" -20 0
"47" -19 0
"48" -18 0
"49" -17 0
"50" -16 0
"51" -15 0
"52" -14 0
"53" -13 0
"54" -12 0
"55" -11 0
"56" -10 0
"57" -9 0
"58" -8 0
"59" -7 0
"60" -6 0
"61" -5 0
"62" -4 0
"63" -3 0
"64" -2 0
"65" -1 2
