"V1" "V2"
"1" 42358 -27
"2" 42360 -27
"3" 42538 -64
"4" 42700 -28
"5" 42702 -27
"6" 42882 -28
"7" 42884 -26
"8" 43060 -28
"9" 43062 -26
"10" 43430 -27
"11" 43432 -27
"12" 43806 -27
"13" 43808 -27
"14" 44008 -28
"15" 44010 -26
"16" 45434 -25
"17" 45606 -27
"18" 45608 -27
"19" 45924 -28
"20" 45926 -27
"21" 46090 -28
"22" 46092 -26
"23" 46600 -27
"24" 46602 -27
"25" 47154 -29
"26" 47156 -26
"27" 47476 -28
"28" 47478 -26
"29" 47644 -27
"30" 47646 -27
"31" 47830 -27
"32" 47832 -27
"33" 48150 -25
"34" 48330 -28
"35" 48332 -26
"36" 48700 -28
"37" 48884 -27
"38" 48886 -27
"39" 49066 -65
"40" 49592 -27
"41" 49594 -27
"42" 49764 -1
"43" 49942 -28
"44" 49944 -27
"45" 50320 -28
"46" 50322 -26
"47" 50532 -26
"48" 50534 -26
"49" 51038 -27
"50" 51040 -27
"51" 51574 -30
"52" 51576 -26
"53" 52122 -28
"54" 52124 -27
"55" 52318 -27
"56" 52320 -27
"57" 52970 -28
"58" 52972 -28
"59" 53386 -27
"60" 53388 -27
"61" 53566 -28
"62" 53776 -28
"63" 53778 -27
"64" 54184 -28
"65" 54186 -26
"66" 54382 -28
"67" 54384 -27
"68" 54570 -27
"69" 54572 -27
"70" 54770 -28
"71" 54772 -28
"72" 55186 -28
"73" 55188 -27
"74" 55400 -30
"75" 55402 -26
"76" 56220 -27
"77" 56222 -27
"78" 56604 -28
"79" 56606 -27
"80" 56998 -28
"81" 57000 -27
"82" 57538 -25
"83" 57700 -27
"84" 57702 -27
"85" 57900 -46
"86" 58236 -28
"87" 58238 -27
"88" 58604 -25
"89" 59180 -27
"90" 59182 -27
"91" 59386 -28
"92" 59388 -27
"93" 59588 -1
"94" 59784 -29
"95" 59786 -26
"96" 59990 -25
"97" 60232 -28
"98" 60438 -27
"99" 60440 -27
"100" 60664 -27
"101" 60666 -27
"102" 60892 -59
"103" 61094 -28
"104" 61096 -26
"105" 61306 -25
"106" 61714 -1
"107" 62312 -28
"108" 62314 -26
"109" 62494 -27
"110" 62496 -27
"111" 62896 -27
"112" 62898 -27
"113" 63494 -28
"114" 63496 -26
"115" 63688 -28
"116" 63690 -26
"117" 64112 -28
"118" 64316 -28
"119" 64318 -27
"120" 64512 -30
"121" 64514 -26
"122" 64922 -28
"123" 64924 -26
"124" 65162 -27
"125" 65164 -27
