"V1" "V2"
"1" 34 -67
"2" 174 -61
"3" 176 -62
"4" 178 -68
"5" 232 -62
"6" 238 -70
"7" 246 -66
"8" 248 -68
"9" 306 -77
"10" 308 -77
"11" 328 -70
"12" 380 -62
"13" 386 -71
"14" 388 -72
"15" 442 -67
"16" 444 -68
"17" 482 -45
"18" 484 -67
"19" 506 -58
"20" 514 -62
"21" 520 -74
"22" 576 -62
"23" 578 -62
"24" 654 -65
"25" 656 -66
"26" 694 -73
"27" 724 -73
"28" 726 -73
"29" 780 -74
"30" 788 -61
"31" 794 -61
"32" 796 -63
"33" 914 -69
"34" 916 -70
"35" 932 -72
"36" 984 -72
"37" 1000 -72
"38" 1002 -73
"39" 1114 -72
"40" 1126 -46
"41" 1180 -51
"42" 1182 -77
"43" 1244 -73
"44" 1246 -73
"45" 1304 -64
"46" 1334 -80
"47" 1336 -80
"48" 1364 -63
"49" 1472 -53
"50" 1476 -69
"51" 1492 -69
"52" 1494 -71
"53" 1530 -47
"54" 1562 -55
"55" 1628 -69
"56" 1632 -61
"57" 1634 -63
"58" 1694 -63
"59" 1722 -66
"60" 1724 -67
"61" 1816 -53
"62" 1824 -70
"63" 1834 -61
"64" 1880 -70
"65" 1882 -76
"66" 1888 -61
"67" 1890 -62
"68" 1960 -52
"69" 1984 -70
"70" 2040 -68
"71" 2042 -68
"72" 2052 -71
"73" 2134 -63
"74" 2136 -63
"75" 2184 -53
"76" 2228 -63
"77" 2230 -63
"78" 2266 -67
"79" 2270 -73
"80" 2318 -66
"81" 2320 -67
"82" 2378 -62
"83" 2402 -46
"84" 2456 -70
"85" 2570 -62
"86" 2576 -67
"87" 2578 -69
"88" 2642 -52
"89" 2646 -69
"90" 2668 -57
"91" 2750 -61
"92" 2752 -63
"93" 2778 -53
"94" 2910 -72
"95" 2912 -72
"96" 2936 -63
"97" 2944 -63
"98" 2992 -72
"99" 2994 -72
"100" 3004 -62
"101" 3008 -80
"102" 3070 -68
"103" 3072 -69
"104" 3116 -63
"105" 3178 -69
"106" 3218 -71
"107" 3220 -71
"108" 3274 -70
"109" 3278 -67
"110" 3288 -62
"111" 3290 -62
"112" 3332 -71
"113" 3334 -61
"114" 3366 -56
"115" 3368 -70
"116" 3440 -71
"117" 3442 -71
"118" 3484 -70
"119" 3500 -63
"120" 3502 -63
"121" 3570 -68
"122" 3576 -63
"123" 3636 -52
"124" 3638 -69
"125" 3640 -69
"126" 3704 -46
"127" 3782 -68
"128" 3822 -71
"129" 3824 -71
"130" 3856 -63
"131" 3858 -70
"132" 3890 -46
"133" 3892 -63
"134" 3926 -54
"135" 3928 -72
"136" 3958 -62
"137" 3960 -62
"138" 4012 -62
"139" 4026 -68
"140" 4028 -68
"141" 4076 -62
"142" 4100 -74
"143" 4102 -74
"144" 4170 -71
"145" 4184 -53
"146" 4236 -72
"147" 4238 -62
"148" 4320 -80
"149" 4322 -80
"150" 4332 -70
"151" 4376 -63
"152" 4378 -63
"153" 4460 -69
"154" 4462 -63
"155" 4512 -78
"156" 4514 -71
"157" 4588 -62
"158" 4608 -62
"159" 4610 -62
"160" 4648 -72
"161" 4680 -69
"162" 4682 -69
"163" 4734 -72
"164" 4736 -67
"165" 4754 -70
"166" 4756 -72
"167" 4786 -74
"168" 4790 -70
"169" 4822 -68
"170" 4824 -69
"171" 4900 -53
"172" 4902 -63
"173" 4904 -63
"174" 4952 -63
"175" 4970 -71
"176" 4972 -73
"177" 5028 -68
"178" 5032 -68
"179" 5076 -68
"180" 5082 -63
"181" 5084 -56
"182" 5138 -68
"183" 5140 -70
"184" 5162 -56
"185" 5198 -70
"186" 5200 -71
"187" 5214 -61
"188" 5260 -45
"189" 5300 -68
