"V1" "V2"
"1" -100 0
"2" -99 0
"3" -98 0
"4" -97 0
"5" -96 0
"6" -95 0
"7" -94 0
"8" -93 0
"9" -92 0
"10" -91 0
"11" -90 1
"12" -89 1
"13" -88 1
"14" -87 1
"15" -86 2
"16" -85 3
"17" -84 4
"18" -83 6
"19" -82 6
"20" -81 7
"21" -80 7
"22" -79 6
"23" -78 5
"24" -77 4
"25" -76 4
"26" -75 1
"27" -74 1
"28" -73 5
"29" -72 11
"30" -71 9
"31" -70 3
"32" -69 1
"33" -68 1
"34" -67 1
"35" -66 0
"36" -65 0
"37" -64 0
"38" -63 0
"39" -62 0
"40" -61 0
"41" -60 0
"42" -59 0
"43" -58 0
"44" -57 0
"45" -56 2
"46" -55 2
"47" -54 0
"48" -53 0
