"V1" "V2"
"1" 3230 -87
"2" 3980 -87
"3" 5250 -87
"4" 5572 -87
"5" 7918 -87
"6" 11052 -87
"7" 20854 -87
"8" 21178 -87
"9" 29012 -87
"10" 29794 -87
"11" 31576 -87
"12" 38916 -87
"13" 54512 -87
"14" 63662 -87
"15" 824 -86
"16" 2062 -86
"17" 7604 -86
"18" 8566 -86
"19" 10684 -86
"20" 15674 -86
"21" 16528 -86
"22" 19924 -86
"23" 20092 -86
"24" 20294 -86
"25" 20296 -86
"26" 23470 -86
"27" 24084 -86
"28" 27480 -86
"29" 36720 -86
"30" 37698 -86
"31" 41766 -86
"32" 53322 -86
"33" 54932 -86
"34" 63660 -86
"35" 1404 -85
"36" 8234 -85
"37" 8888 -85
"38" 9658 -85
"39" 9666 -85
"40" 9978 -85
"41" 11432 -85
"42" 13168 -85
"43" 14040 -85
"44" 15366 -85
"45" 16526 -85
"46" 18280 -85
"47" 18606 -85
"48" 18944 -85
"49" 19606 -85
"50" 21496 -85
"51" 22132 -85
"52" 22474 -85
"53" 22806 -85
"54" 40718 -85
"55" 47946 -85
"56" 48344 -85
"57" 51046 -85
"58" 52172 -85
"59" 52548 -85
"60" 55046 -85
"61" 56050 -85
"62" 3616 -84
"63" 9162 -84
"64" 9664 -84
"65" 10310 -84
"66" 14394 -84
"67" 17818 -84
"68" 18278 -84
"69" 20090 -84
"70" 20240 -84
"71" 26512 -84
"72" 27864 -84
"73" 29424 -84
"74" 30184 -84
"75" 37100 -84
"76" 41418 -84
"77" 44520 -84
"78" 47186 -84
"79" 47564 -84
"80" 51798 -84
"81" 54868 -84
"82" 54870 -84
"83" 57424 -84
"84" 63124 -84
"85" 63530 -84
"86" 63544 -84
"87" 65448 -84
"88" 9160 -83
"89" 9598 -83
"90" 9710 -83
"91" 10584 -83
"92" 12166 -83
"93" 13448 -83
"94" 14392 -83
"95" 15134 -83
"96" 15292 -83
"97" 17170 -83
"98" 18314 -83
"99" 20332 -83
"100" 24414 -83
"101" 25046 -83
"102" 27090 -83
"103" 28620 -83
"104" 32284 -83
"105" 39300 -83
"106" 43914 -83
"107" 44874 -83
"108" 46792 -83
"109" 49858 -83
"110" 50260 -83
"111" 50666 -83
"112" 54776 -83
"113" 55044 -83
"114" 57422 -83
"115" 63830 -83
"116" 63832 -83
"117" 63956 -83
"118" 64126 -83
"119" 64394 -83
"120" 64492 -83
"121" 64672 -83
"122" 64760 -83
"123" 64762 -83
"124" 64868 -83
"125" 65002 -83
"126" 65358 -83
"127" 65446 -83
"128" 1268 -82
"129" 5186 -82
"130" 5630 -82
"131" 5632 -82
"132" 5716 -82
"133" 7370 -82
"134" 8108 -82
"135" 8110 -82
"136" 10198 -82
"137" 13390 -82
"138" 13638 -82
"139" 15070 -82
"140" 16066 -82
"141" 17056 -82
"142" 17164 -82
"143" 17168 -82
"144" 17724 -82
"145" 19382 -82
"146" 20196 -82
"147" 22022 -82
"148" 22028 -82
"149" 22702 -82
"150" 23136 -82
"151" 25412 -82
"152" 33032 -82
"153" 35974 -82
"154" 42890 -82
"155" 49092 -82
"156" 54778 -82
"157" 58142 -82
"158" 58222 -82
"159" 58394 -82
"160" 58952 -82
"161" 60992 -82
"162" 61204 -82
"163" 61440 -82
"164" 62304 -82
"165" 63740 -82
"166" 63742 -82
"167" 63932 -82
"168" 64018 -82
"169" 64020 -82
"170" 64326 -82
"171" 64392 -82
"172" 64490 -82
"173" 64590 -82
"174" 64674 -82
"175" 64766 -82
"176" 64866 -82
"177" 65164 -82
"178" 65252 -82
"179" 65356 -82
"180" 130 -81
"181" 192 -81
"182" 422 -81
"183" 650 -81
"184" 666 -81
"185" 1018 -81
"186" 1750 -81
"187" 1752 -81
"188" 2328 -81
"189" 2582 -81
"190" 3220 -81
"191" 3480 -81
"192" 3708 -81
"193" 4626 -81
"194" 4628 -81
"195" 5184 -81
"196" 5718 -81
"197" 5880 -81
"198" 5882 -81
"199" 6112 -81
"200" 6114 -81
"201" 6518 -81
"202" 7182 -81
"203" 7184 -81
"204" 7400 -81
"205" 7624 -81
"206" 7826 -81
"207" 7906 -81
"208" 8336 -81
"209" 8338 -81
"210" 8416 -81
"211" 9402 -81
"212" 10230 -81
"213" 10750 -81
"214" 10798 -81
"215" 10814 -81
"216" 10816 -81
"217" 11654 -81
"218" 11916 -81
"219" 12366 -81
"220" 12368 -81
"221" 12654 -81
"222" 13214 -81
"223" 13388 -81
"224" 13676 -81
"225" 14138 -81
"226" 14152 -81
"227" 15346 -81
"228" 15562 -81
"229" 15566 -81
"230" 15850 -81
"231" 17008 -81
"232" 17010 -81
"233" 19576 -81
"234" 19794 -81
"235" 20994 -81
"236" 21284 -81
"237" 21740 -81
"238" 21742 -81
"239" 22166 -81
"240" 22700 -81
"241" 25476 -81
"242" 28854 -81
"243" 33798 -81
"244" 34576 -81
"245" 37106 -81
"246" 41062 -81
"247" 48244 -81
"248" 50632 -81
