"V1" "V2"
"1" -73 0
"2" -72 0
"3" -71 0
"4" -70 0
"5" -69 0
"6" -68 0
"7" -67 0
"8" -66 0
"9" -65 0
"10" -64 0
"11" -63 0
"12" -62 0
"13" -61 0
"14" -60 0
"15" -59 0
"16" -58 0
"17" -57 0
"18" -56 0
"19" -55 0
"20" -54 0
"21" -53 0
"22" -52 0
"23" -51 0
"24" -50 0
"25" -49 0
"26" -48 0
"27" -47 0
"28" -46 0
"29" -45 0
"30" -44 0
"31" -43 0
"32" -42 0
"33" -41 0
"34" -40 3
"35" -39 13
"36" -38 10
"37" -37 6
"38" -36 21
"39" -35 27
"40" -34 12
"41" -33 0
"42" -32 0
"43" -31 0
"44" -30 0
"45" -29 0
"46" -28 0
"47" -27 0
"48" -26 0
"49" -25 0
"50" -24 0
"51" -23 0
"52" -22 2
"53" -21 2
"54" -20 4
"55" -19 0
"56" -18 0
"57" -17 0
"58" -16 0
"59" -15 0
"60" -14 0
"61" -13 0
"62" -12 0
"63" -11 0
"64" -10 0
"65" -9 0
"66" -8 0
