"V1" "V2"
"1" 3056 -76
"2" 3058 -76
"3" 3138 -76
"4" 3140 -76
"5" 3226 -76
"6" 3228 -76
"7" 4088 -76
"8" 4166 -76
"9" 4168 -76
"10" 5116 -76
"11" 5208 -76
"12" 5210 -76
"13" 6208 -76
"14" 6210 -76
"15" 6492 -76
"16" 6494 -76
"17" 6934 -76
"18" 7758 -76
"19" 7760 -76
"20" 21924 -76
"21" 29450 -76
"22" 31362 -76
"23" 31364 -76
"24" 32254 -76
"25" 32256 -76
"26" 42842 -76
"27" 42844 -76
"28" 874 -75
"29" 876 -75
"30" 1658 -75
"31" 1660 -75
"32" 2122 -75
"33" 2124 -75
"34" 2674 -75
"35" 2748 -75
"36" 2750 -75
"37" 3584 -75
"38" 3586 -75
"39" 3654 -75
"40" 3730 -75
"41" 3732 -75
"42" 3954 -75
"43" 3956 -75
"44" 4086 -75
"45" 4314 -75
"46" 4316 -75
"47" 4772 -75
"48" 4774 -75
"49" 5118 -75
"50" 5300 -75
"51" 5302 -75
"52" 5612 -75
"53" 5614 -75
"54" 5700 -75
"55" 5702 -75
"56" 5800 -75
"57" 5802 -75
"58" 6344 -75
"59" 6346 -75
"60" 6556 -75
"61" 6558 -75
"62" 6642 -75
"63" 6644 -75
"64" 6720 -75
"65" 6722 -75
"66" 6932 -75
"67" 7058 -75
"68" 7130 -75
"69" 7132 -75
"70" 7190 -75
"71" 7192 -75
"72" 7258 -75
"73" 7260 -75
"74" 7410 -75
"75" 7412 -75
"76" 7474 -75
"77" 7476 -75
"78" 7552 -75
"79" 8144 -75
"80" 8214 -75
"81" 8216 -75
"82" 8350 -75
"83" 8352 -75
"84" 8612 -75
"85" 8614 -75
"86" 8688 -75
"87" 8690 -75
"88" 9416 -75
"89" 9418 -75
"90" 9778 -75
"91" 9780 -75
"92" 10062 -75
"93" 10064 -75
"94" 11516 -75
"95" 11518 -75
"96" 11584 -75
"97" 11888 -75
"98" 11890 -75
"99" 12040 -75
"100" 12278 -75
"101" 12922 -75
"102" 15542 -75
"103" 15544 -75
"104" 15790 -75
"105" 15792 -75
"106" 17104 -75
"107" 20414 -75
"108" 20906 -75
"109" 23990 -75
"110" 23992 -75
"111" 24060 -75
