"V1" "V2"
"1" 62 -68
"2" 64 -68
"3" 256 -73
"4" 258 -74
"5" 320 -61
"6" 382 -78
"7" 384 -78
"8" 436 -68
"9" 438 -68
"10" 498 -51
"11" 758 -58
"12" 832 -78
"13" 834 -78
"14" 898 -64
"15" 978 -79
"16" 980 -79
"17" 1044 -76
"18" 1046 -76
"19" 1128 -71
"20" 1130 -71
"21" 1196 -71
"22" 1198 -71
"23" 1264 -68
"24" 1266 -68
"25" 1338 -69
"26" 1340 -69
"27" 1396 -66
"28" 1398 -66
"29" 1472 -58
"30" 1542 -71
"31" 1544 -71
"32" 1626 -70
"33" 1628 -70
"34" 1694 -69
"35" 1696 -69
"36" 1830 -66
"37" 1832 -66
"38" 1892 -78
"39" 1894 -78
"40" 1956 -72
"41" 1958 -72
"42" 2030 -68
"43" 2032 -68
"44" 2144 -67
"45" 2208 -56
"46" 2284 -70
"47" 2286 -70
"48" 2352 -52
"49" 2404 -70
"50" 2406 -69
"51" 2456 -69
"52" 2458 -69
"53" 2506 -68
"54" 2508 -68
"55" 2558 -51
"56" 2612 -69
"57" 2614 -70
"58" 2678 -52
"59" 2728 -67
"60" 2730 -68
"61" 2784 -68
"62" 2786 -69
"63" 2850 -67
"64" 2852 -67
"65" 2892 -67
"66" 2894 -67
"67" 2946 -70
"68" 2948 -71
"69" 3012 -70
"70" 3014 -70
"71" 3072 -67
"72" 3074 -69
"73" 3136 -66
"74" 3138 -67
"75" 3240 -70
"76" 3242 -68
"77" 3466 -71
"78" 3468 -70
"79" 3690 -70
"80" 3692 -70
"81" 3902 -69
"82" 3904 -69
"83" 3984 -67
"84" 3986 -67
"85" 4066 -68
"86" 4068 -67
"87" 4138 -70
"88" 4140 -70
"89" 4206 -68
"90" 4208 -70
"91" 4272 -52
"92" 4342 -67
"93" 4344 -69
"94" 4540 -66
"95" 4542 -66
"96" 4618 -70
"97" 4620 -70
"98" 4692 -70
"99" 4774 -68
"100" 4776 -68
"101" 4918 -66
"102" 4920 -67
"103" 5002 -70
"104" 5004 -70
"105" 5090 -69
"106" 5092 -68
"107" 5230 -67
"108" 5232 -67
"109" 5304 -54
"110" 5306 -70
"111" 5372 -69
"112" 5374 -70
"113" 5442 -69
"114" 5444 -69
"115" 5656 -67
"116" 5658 -67
"117" 5734 -67
"118" 5736 -67
"119" 5804 -68
"120" 5806 -70
"121" 5884 -55
"122" 5952 -68
"123" 5954 -68
"124" 6078 -52
