"V1" "V2"
"1" -77 0
"2" -76 0
"3" -75 0
"4" -74 0
"5" -73 0
"6" -72 0
"7" -71 0
"8" -70 0
"9" -69 0
"10" -68 0
"11" -67 0
"12" -66 0
"13" -65 0
"14" -64 0
"15" -63 0
"16" -62 0
"17" -61 0
"18" -60 0
"19" -59 0
"20" -58 0
"21" -57 0
"22" -56 0
"23" -55 0
"24" -54 0
"25" -53 0
"26" -52 0
"27" -51 0
"28" -50 0
"29" -49 0
"30" -48 0
"31" -47 0
"32" -46 1
"33" -45 1
"34" -44 4
"35" -43 1
"36" -42 0
"37" -41 0
"38" -40 0
"39" -39 0
"40" -38 9
"41" -37 25
"42" -36 42
"43" -35 4
"44" -34 0
"45" -33 0
"46" -32 0
"47" -31 0
"48" -30 0
"49" -29 0
"50" -28 7
"51" -27 0
"52" -26 0
"53" -25 1
"54" -24 0
"55" -23 0
"56" -22 0
"57" -21 0
"58" -20 0
"59" -19 0
"60" -18 0
"61" -17 0
"62" -16 0
"63" -15 0
"64" -14 0
"65" -13 0
"66" -12 0
"67" -11 0
"68" -10 0
"69" -9 3
"70" -8 0
