"V1" "V2"
"1" 72 -60
"2" 74 -60
"3" 256 -60
"4" 1152 -60
"5" 1314 -60
"6" 1630 -60
"7" 1742 -60
"8" 1788 -60
"9" 2058 -60
"10" 2150 -60
"11" 2152 -60
"12" 2184 -60
"13" 2608 -60
"14" 2610 -60
"15" 3126 -60
"16" 3622 -60
"17" 3698 -60
"18" 3894 -60
"19" 4212 -60
"20" 4264 -60
"21" 4408 -60
"22" 5162 -60
"23" 6068 -60
"24" 6538 -60
"25" 6540 -60
"26" 6606 -60
"27" 6608 -60
"28" 6812 -60
"29" 6864 -60
"30" 7012 -60
"31" 7044 -60
"32" 7104 -60
"33" 7580 -60
"34" 8076 -60
"35" 8414 -60
"36" 8916 -60
"37" 8918 -60
"38" 8986 -60
"39" 9478 -60
"40" 9480 -60
"41" 10098 -60
"42" 10288 -60
"43" 10476 -60
"44" 10658 -60
"45" 10660 -60
"46" 10898 -60
"47" 10990 -60
"48" 10992 -60
"49" 11548 -60
"50" 11840 -60
"51" 11842 -60
"52" 12394 -60
"53" 12462 -60
"54" 12634 -60
"55" 12948 -60
"56" 12950 -60
"57" 13412 -60
"58" 13800 -60
"59" 13802 -60
"60" 14372 -60
"61" 14458 -60
"62" 14460 -60
"63" 14882 -60
"64" 14884 -60
"65" 15380 -60
"66" 15656 -60
"67" 15854 -60
"68" 18678 -60
"69" 19126 -60
"70" 20088 -60
"71" 20182 -60
"72" 20694 -60
"73" 20696 -60
"74" 21300 -60
"75" 23342 -60
"76" 23344 -60
"77" 23750 -60
"78" 23752 -60
"79" 23772 -60
"80" 23832 -60
"81" 23934 -60
"82" 24172 -60
"83" 24174 -60
"84" 24260 -60
"85" 24262 -60
"86" 24352 -60
"87" 24682 -60
"88" 24684 -60
"89" 24762 -60
"90" 25178 -60
"91" 25180 -60
"92" 25224 -60
"93" 25236 -60
"94" 25612 -60
"95" 26814 -60
"96" 26912 -60
"97" 27272 -60
"98" 27394 -60
"99" 27396 -60
"100" 27706 -60
"101" 27718 -60
"102" 27730 -60
"103" 28026 -60
"104" 28198 -60
"105" 28562 -60
"106" 28854 -60
"107" 29602 -60
"108" 29652 -60
"109" 30074 -60
"110" 30798 -60
"111" 30800 -60
"112" 30972 -60
"113" 31174 -60
"114" 31454 -60
"115" 31484 -60
"116" 31538 -60
"117" 31540 -60
"118" 32346 -60
"119" 32516 -60
"120" 33004 -60
"121" 33578 -60
"122" 33900 -60
"123" 33980 -60
"124" 34062 -60
"125" 34064 -60
"126" 34536 -60
"127" 34552 -60
"128" 34554 -60
"129" 34966 -60
"130" 35352 -60
"131" 35354 -60
"132" 35436 -60
"133" 35824 -60
"134" 35982 -60
"135" 36070 -60
"136" 37056 -60
"137" 37058 -60
"138" 37940 -60
"139" 38034 -60
"140" 38036 -60
"141" 38098 -60
"142" 38272 -60
"143" 38418 -60
"144" 38462 -60
"145" 39324 -60
"146" 39326 -60
"147" 39494 -60
"148" 39696 -60
"149" 40006 -60
"150" 40056 -60
"151" 40246 -60
"152" 40510 -60
"153" 40512 -60
"154" 40966 -60
"155" 40968 -60
"156" 41052 -60
"157" 41054 -60
"158" 42058 -60
"159" 42348 -60
"160" 42464 -60
"161" 42466 -60
"162" 42642 -60
"163" 43020 -60
"164" 43022 -60
"165" 43050 -60
"166" 43106 -60
"167" 43430 -60
"168" 43432 -60
"169" 43522 -60
"170" 43886 -60
"171" 43922 -60
"172" 43924 -60
"173" 43996 -60
"174" 44070 -60
"175" 44072 -60
"176" 44588 -60
"177" 44590 -60
"178" 45004 -60
"179" 45512 -60
"180" 45514 -60
"181" 45598 -60
"182" 45600 -60
"183" 45846 -60
"184" 46046 -60
"185" 46052 -60
"186" 46054 -60
"187" 46456 -60
"188" 46724 -60
"189" 47046 -60
"190" 47100 -60
"191" 47480 -60
"192" 47556 -60
"193" 47558 -60
"194" 47644 -60
"195" 47646 -60
"196" 48010 -60
"197" 48622 -60
"198" 48708 -60
"199" 48746 -60
"200" 48918 -60
"201" 49104 -60
"202" 49108 -60
"203" 49618 -60
"204" 49620 -60
"205" 49816 -60
"206" 50586 -60
"207" 50704 -60
"208" 51190 -60
"209" 51576 -60
"210" 51898 -60
"211" 52084 -60
"212" 52560 -60
"213" 52700 -60
"214" 53606 -60
