"V1" "V2"
"1" 64 -66
"2" 66 -67
"3" 132 -69
"4" 166 -67
"5" 202 -69
"6" 268 -70
"7" 270 -70
"8" 356 -66
"9" 368 -67
"10" 370 -69
"11" 402 -71
"12" 554 -69
"13" 556 -69
"14" 592 -66
"15" 632 -64
"16" 648 -65
"17" 650 -66
"18" 750 -65
"19" 752 -65
"20" 788 -70
"21" 820 -70
"22" 832 -77
"23" 850 -66
"24" 852 -68
"25" 948 -71
"26" 950 -70
"27" 1002 -69
"28" 1024 -66
"29" 1036 -68
"30" 1038 -69
"31" 1068 -68
"32" 1234 -66
"33" 1236 -66
"34" 1248 -67
"35" 1256 -77
"36" 1342 -67
"37" 1344 -66
"38" 1428 -53
"39" 1460 -66
"40" 1486 -66
"41" 1512 -67
"42" 1514 -69
"43" 1620 -71
"44" 1622 -71
"45" 1638 -65
"46" 1672 -69
"47" 1684 -61
"48" 1718 -70
"49" 1824 -65
"50" 1826 -65
"51" 1864 -66
"52" 1900 -64
"53" 1922 -65
"54" 1924 -66
"55" 1932 -66
"56" 2008 -67
"57" 2010 -69
"58" 2076 -65
"59" 2108 -69
"60" 2110 -52
"61" 2118 -72
"62" 2204 -70
"63" 2206 -69
"64" 2280 -50
"65" 2356 -52
"66" 2402 -55
"67" 2492 -65
"68" 2494 -66
"69" 2506 -50
"70" 2530 -70
"71" 2534 -72
"72" 2572 -69
"73" 2574 -69
"74" 2686 -52
"75" 2714 -65
"76" 2774 -49
"77" 2778 -68
"78" 2780 -68
"79" 2862 -51
"80" 2914 -68
"81" 2940 -66
"82" 2948 -74
"83" 2958 -64
"84" 2960 -65
"85" 3034 -65
"86" 3036 -65
"87" 3106 -65
"88" 3126 -52
"89" 3132 -67
"90" 3152 -52
"91" 3214 -57
"92" 3304 -68
"93" 3306 -68
"94" 3312 -51
"95" 3342 -50
"96" 3350 -72
"97" 3420 -66
"98" 3422 -68
"99" 3532 -68
"100" 3558 -67
"101" 3594 -65
"102" 3596 -66
"103" 3696 -65
"104" 3698 -65
"105" 3736 -67
"106" 3766 -64
"107" 3790 -69
"108" 3792 -69
"109" 3882 -52
"110" 3934 -70
"111" 3952 -65
"112" 3954 -52
"113" 3970 -67
"114" 4050 -64
"115" 4052 -65
"116" 4134 -68
"117" 4136 -68
"118" 4296 -68
"119" 4298 -68
"120" 4316 -53
"121" 4334 -52
"122" 4356 -66
"123" 4382 -69
"124" 4384 -69
"125" 4500 -70
"126" 4520 -66
"127" 4530 -74
"128" 4640 -66
"129" 4642 -65
"130" 4696 -69
"131" 4710 -70
"132" 4730 -65
"133" 4732 -67
"134" 4738 -64
"135" 4820 -67
"136" 4822 -67
"137" 4892 -66
"138" 4894 -67
"139" 4904 -71
"140" 4974 -52
"141" 5046 -49
"142" 5064 -52
"143" 5076 -67
"144" 5114 -49
"145" 5208 -67
"146" 5210 -67
"147" 5226 -66
"148" 5246 -51
"149" 5284 -51
"150" 5366 -53
"151" 5398 -65
"152" 5424 -53
"153" 5430 -70
"154" 5432 -70
"155" 5512 -71
"156" 5514 -71
"157" 5576 -51
"158" 5594 -64
"159" 5600 -76
"160" 5604 -50
"161" 5684 -51
"162" 5776 -64
"163" 5788 -70
"164" 5790 -70
"165" 5814 -65
"166" 5866 -70
"167" 5868 -70
"168" 5950 -70
"169" 5952 -71
"170" 5974 -64
"171" 5992 -71
"172" 5994 -72
"173" 6052 -50
"174" 6140 -65
"175" 6142 -65
"176" 6184 -69
"177" 6206 -51
"178" 6226 -64
"179" 6228 -65
"180" 6316 -69
"181" 6318 -69
"182" 6366 -66
"183" 6378 -66
"184" 6386 -71
"185" 6404 -68
"186" 6406 -67
"187" 6480 -69
"188" 6482 -69
"189" 6558 -69
"190" 6560 -56
"191" 6580 -63
"192" 6642 -65
"193" 6644 -65
"194" 6712 -65
"195" 6714 -67
"196" 6724 -65
"197" 6740 -64
"198" 6750 -75
"199" 6822 -52
"200" 6904 -51
"201" 6926 -68
"202" 6940 -66
"203" 6954 -65
"204" 7096 -69
"205" 7120 -52
"206" 7124 -74
"207" 7148 -49
"208" 7242 -56
"209" 7318 -70
"210" 7324 -66
"211" 7338 -51
"212" 7342 -66
"213" 7426 -70
"214" 7428 -70
"215" 7506 -65
"216" 7516 -59
"217" 7580 -64
"218" 7582 -65
"219" 7678 -63
"220" 7680 -66
"221" 7704 -66
"222" 7714 -65
"223" 7762 -51
"224" 7834 -66
"225" 7836 -68
"226" 7872 -66
"227" 7880 -70
"228" 7884 -57
"229" 7930 -69
"230" 7932 -69
"231" 8084 -66
"232" 8104 -69
"233" 8114 -65
"234" 8132 -64
"235" 8134 -66
"236" 8210 -67
"237" 8212 -67
"238" 8282 -51
"239" 8294 -69
"240" 8298 -59
"241" 8380 -52
"242" 8462 -69
"243" 8464 -70
"244" 8468 -65
"245" 8478 -67
"246" 8546 -69
"247" 8548 -70
"248" 8624 -69
"249" 8626 -70
"250" 8658 -67
"251" 8704 -66
"252" 8706 -66
"253" 8806 -65
"254" 8808 -65
"255" 8862 -63
"256" 8874 -68
"257" 8900 -68
"258" 8902 -68
"259" 8986 -70
"260" 8988 -70
"261" 9050 -50
"262" 9058 -65
"263" 9062 -71
"264" 9074 -70
"265" 9076 -70
"266" 9162 -65
"267" 9164 -65
"268" 9228 -66
"269" 9232 -64
"270" 9234 -65
"271" 9236 -65
"272" 9242 -70
"273" 9314 -50
"274" 9398 -65
"275" 9400 -67
"276" 9420 -70
"277" 9490 -65
"278" 9492 -67
"279" 9582 -70
"280" 9584 -71
"281" 9616 -66
"282" 9638 -50
"283" 9748 -66
"284" 9750 -67
"285" 9806 -76
"286" 9836 -65
"287" 9838 -67
"288" 9918 -67
"289" 9920 -68
"290" 9970 -71
"291" 9976 -53
"292" 9988 -68
"293" 9990 -66
"294" 9992 -68
"295" 10074 -70
"296" 10076 -70
"297" 10158 -64
"298" 10160 -64
"299" 10172 -72
"300" 10184 -54
"301" 10250 -65
"302" 10252 -66
"303" 10322 -65
"304" 10324 -65
"305" 10352 -68
"306" 10406 -68
"307" 10408 -69
"308" 10498 -52
"309" 10534 -53
"310" 10538 -52
"311" 10544 -72
"312" 10590 -70
"313" 10592 -70
"314" 10682 -50
"315" 10684 -65
"316" 10738 -69
"317" 10748 -52
"318" 10750 -68
"319" 10762 -66
"320" 10764 -65
"321" 10854 -65
"322" 10856 -65
"323" 10930 -64
"324" 10932 -65
"325" 10934 -76
"326" 11008 -68
"327" 11010 -69
"328" 11108 -69
"329" 11110 -70
"330" 11120 -64
"331" 11128 -64
"332" 11132 -53
"333" 11190 -65
"334" 11192 -65
"335" 11300 -66
"336" 11344 -65
"337" 11346 -65
"338" 11432 -66
"339" 11434 -68
"340" 11486 -50
"341" 11490 -65
"342" 11524 -66
"343" 11526 -68
"344" 11666 -68
"345" 11672 -64
"346" 11848 -63
"347" 11850 -65
"348" 11862 -68
"349" 11868 -65
"350" 11932 -68
"351" 11934 -68
"352" 12018 -68
"353" 12020 -68
"354" 12044 -52
"355" 12046 -65
"356" 12094 -69
"357" 12096 -69
"358" 12200 -71
"359" 12202 -70
"360" 12206 -65
"361" 12322 -64
"362" 12324 -65
"363" 12372 -65
"364" 12374 -73
"365" 12390 -67
"366" 12392 -67
"367" 12492 -67
"368" 12494 -68
"369" 12568 -68
"370" 12572 -66
"371" 12576 -66
"372" 12578 -68
"373" 12738 -63
"374" 12744 -66
"375" 12820 -50
"376" 12910 -66
"377" 12912 -68
"378" 12936 -66
"379" 12940 -65
"380" 12996 -65
"381" 12998 -67
"382" 13066 -69
"383" 13068 -69
"384" 13106 -74
"385" 13108 -65
"386" 13140 -71
"387" 13142 -71
"388" 13210 -64
"389" 13212 -66
"390" 13274 -49
"391" 13280 -53
"392" 13286 -54
"393" 13300 -64
"394" 13302 -65
"395" 13376 -65
"396" 13378 -65
"397" 13438 -68
"398" 13440 -70
"399" 13448 -64
"400" 13450 -57
"401" 13456 -65
"402" 13532 -53
"403" 13602 -52
"404" 13620 -64
"405" 13626 -66
"406" 13688 -65
"407" 13690 -66
"408" 13766 -50
"409" 13812 -58
"410" 13858 -64
"411" 13860 -66
"412" 13946 -65
"413" 13948 -67
"414" 13990 -64
"415" 13998 -54
"416" 14002 -49
"417" 14018 -70
"418" 14020 -70
"419" 14082 -68
"420" 14084 -69
"421" 14150 -67
"422" 14154 -63
"423" 14248 -63
"424" 14250 -65
"425" 14338 -67
"426" 14352 -63
"427" 14356 -63
"428" 14424 -68
"429" 14426 -67
"430" 14514 -70
"431" 14516 -71
"432" 14548 -71
"433" 14550 -70
"434" 14558 -65
"435" 14594 -70
"436" 14596 -69
"437" 14672 -64
"438" 14674 -66
"439" 14706 -70
"440" 14714 -70
"441" 14726 -66
"442" 14766 -65
