"V1" "V2"
"1" 1870 -61
"2" 4480 -61
"3" 4996 -61
"4" 5066 -61
"5" 5068 -61
"6" 5570 -61
"7" 6666 -61
"8" 7058 -61
"9" 7372 -61
"10" 12310 -61
"11" 12356 -61
"12" 12530 -61
"13" 13272 -61
"14" 17030 -61
"15" 18118 -61
"16" 18282 -61
"17" 22054 -61
"18" 22478 -61
"19" 23122 -61
"20" 23526 -61
"21" 23768 -61
"22" 24502 -61
"23" 27310 -61
"24" 27682 -61
"25" 35994 -61
"26" 39806 -61
"27" 40068 -61
"28" 42118 -61
"29" 42446 -61
"30" 42448 -61
"31" 42840 -61
"32" 42842 -61
"33" 43086 -61
"34" 43184 -61
"35" 43834 -61
"36" 44688 -61
"37" 44766 -61
"38" 46096 -61
"39" 47478 -61
"40" 47480 -61
"41" 26 -60
"42" 430 -60
"43" 722 -60
"44" 800 -60
"45" 802 -60
"46" 1228 -60
"47" 1572 -60
"48" 1648 -60
"49" 1872 -60
"50" 1972 -60
"51" 2254 -60
"52" 2256 -60
"53" 2512 -60
"54" 2514 -60
"55" 2604 -60
"56" 2872 -60
"57" 2874 -60
"58" 2954 -60
"59" 2974 -60
"60" 3086 -60
"61" 3258 -60
"62" 3260 -60
"63" 3464 -60
"64" 3540 -60
"65" 3884 -60
"66" 4026 -60
"67" 4170 -60
"68" 4172 -60
"69" 4352 -60
"70" 4354 -60
"71" 4482 -60
"72" 4994 -60
"73" 5434 -60
"74" 5436 -60
"75" 5476 -60
"76" 5924 -60
"77" 6456 -60
"78" 6664 -60
"79" 7300 -60
"80" 7302 -60
"81" 7314 -60
"82" 7374 -60
"83" 7696 -60
"84" 7698 -60
"85" 7716 -60
"86" 8020 -60
"87" 8100 -60
"88" 8102 -60
"89" 8258 -60
"90" 8398 -60
"91" 8440 -60
"92" 8752 -60
"93" 8754 -60
"94" 8852 -60
"95" 9082 -60
"96" 9340 -60
"97" 9342 -60
"98" 9432 -60
"99" 9822 -60
"100" 10230 -60
"101" 10232 -60
"102" 10266 -60
"103" 10382 -60
"104" 10412 -60
"105" 10484 -60
"106" 10752 -60
"107" 10754 -60
"108" 10792 -60
"109" 11238 -60
"110" 11352 -60
"111" 11354 -60
"112" 11718 -60
"113" 11860 -60
"114" 12192 -60
"115" 12528 -60
"116" 12782 -60
"117" 12894 -60
"118" 13206 -60
"119" 13274 -60
"120" 13318 -60
"121" 13440 -60
"122" 13504 -60
"123" 13592 -60
"124" 13632 -60
"125" 13832 -60
"126" 13942 -60
"127" 14100 -60
"128" 14184 -60
"129" 14186 -60
"130" 14290 -60
"131" 14428 -60
"132" 14498 -60
"133" 14500 -60
"134" 14508 -60
"135" 14560 -60
"136" 14562 -60
"137" 14812 -60
"138" 14814 -60
"139" 14884 -60
"140" 14886 -60
"141" 14970 -60
"142" 15628 -60
"143" 15630 -60
"144" 15780 -60
"145" 15782 -60
"146" 15974 -60
"147" 16016 -60
"148" 16080 -60
"149" 16082 -60
"150" 16430 -60
"151" 16736 -60
"152" 16798 -60
"153" 17028 -60
"154" 17108 -60
"155" 17110 -60
"156" 17300 -60
"157" 17410 -60
"158" 17412 -60
"159" 17432 -60
"160" 17600 -60
"161" 17698 -60
"162" 17700 -60
"163" 17800 -60
"164" 18008 -60
"165" 18010 -60
"166" 18280 -60
"167" 18572 -60
"168" 18726 -60
"169" 18754 -60
"170" 18936 -60
"171" 18938 -60
"172" 19026 -60
"173" 19198 -60
"174" 19202 -60
"175" 19302 -60
"176" 19404 -60
"177" 19524 -60
"178" 19526 -60
"179" 19532 -60
"180" 19604 -60
"181" 19606 -60
"182" 19666 -60
"183" 19668 -60
"184" 19982 -60
"185" 19984 -60
"186" 20178 -60
"187" 20286 -60
"188" 20288 -60
"189" 20378 -60
"190" 20518 -60
"191" 20548 -60
"192" 20550 -60
"193" 20886 -60
"194" 20888 -60
"195" 21192 -60
"196" 21194 -60
"197" 21498 -60
"198" 21612 -60
"199" 21762 -60
"200" 21788 -60
"201" 21960 -60
"202" 22080 -60
"203" 22394 -60
"204" 22480 -60
"205" 22714 -60
"206" 22786 -60
"207" 22788 -60
"208" 23202 -60
"209" 23524 -60
"210" 23846 -60
"211" 23848 -60
"212" 23892 -60
"213" 23928 -60
"214" 23930 -60
"215" 24072 -60
"216" 24166 -60
"217" 24168 -60
"218" 24504 -60
"219" 24810 -60
"220" 24898 -60
"221" 24900 -60
"222" 24952 -60
"223" 25522 -60
"224" 25650 -60
"225" 26008 -60
"226" 26032 -60
"227" 26346 -60
"228" 26512 -60
"229" 26544 -60
"230" 26546 -60
"231" 26626 -60
"232" 26726 -60
"233" 26926 -60
"234" 26928 -60
"235" 27206 -60
"236" 27312 -60
"237" 27684 -60
"238" 27898 -60
"239" 28026 -60
"240" 28028 -60
"241" 28236 -60
"242" 28758 -60
"243" 28760 -60
"244" 28898 -60
"245" 29012 -60
"246" 29014 -60
"247" 29374 -60
"248" 29558 -60
"249" 29578 -60
"250" 30204 -60
"251" 30684 -60
"252" 30990 -60
"253" 31188 -60
"254" 31616 -60
"255" 31618 -60
"256" 31636 -60
"257" 31920 -60
"258" 31922 -60
"259" 32194 -60
"260" 32196 -60
"261" 32268 -60
"262" 32572 -60
"263" 32806 -60
"264" 33094 -60
"265" 33112 -60
"266" 33114 -60
"267" 33484 -60
"268" 34138 -60
"269" 34422 -60
"270" 34730 -60
"271" 34812 -60
"272" 34814 -60
"273" 35028 -60
"274" 35030 -60
"275" 35100 -60
"276" 35102 -60
"277" 35314 -60
"278" 35364 -60
"279" 35670 -60
"280" 35672 -60
"281" 35742 -60
"282" 35744 -60
"283" 35860 -60
"284" 35956 -60
"285" 35958 -60
"286" 36030 -60
"287" 36032 -60
"288" 36250 -60
"289" 36252 -60
"290" 36322 -60
"291" 36324 -60
"292" 36728 -60
"293" 37314 -60
"294" 37316 -60
"295" 37400 -60
"296" 37598 -60
"297" 37632 -60
"298" 37634 -60
"299" 37962 -60
"300" 38424 -60
"301" 39066 -60
"302" 39736 -60
"303" 39738 -60
"304" 39804 -60
"305" 40110 -60
"306" 40248 -60
"307" 40448 -60
"308" 40450 -60
"309" 40652 -60
"310" 40800 -60
"311" 41034 -60
"312" 41036 -60
"313" 41094 -60
"314" 41116 -60
"315" 41118 -60
"316" 41598 -60
"317" 41730 -60
"318" 42030 -60
"319" 42032 -60
"320" 42120 -60
"321" 42290 -60
"322" 42302 -60
"323" 42516 -60
"324" 42518 -60
"325" 43084 -60
"326" 43156 -60
"327" 43158 -60
"328" 43444 -60
"329" 43446 -60
"330" 43836 -60
"331" 44038 -60
"332" 44172 -60
"333" 44468 -60
"334" 44690 -60
"335" 44768 -60
"336" 45028 -60
"337" 45034 -60
"338" 45152 -60
"339" 45384 -60
"340" 45452 -60
"341" 45716 -60
"342" 45846 -60
"343" 45848 -60
"344" 45888 -60
"345" 46068 -60
"346" 46098 -60
"347" 46488 -60
"348" 46588 -60
"349" 46784 -60
"350" 46786 -60
"351" 47436 -60
"352" 47592 -60
"353" 47774 -60
"354" 47776 -60
"355" 48258 -60
"356" 48416 -60
"357" 48686 -60
"358" 49074 -60
"359" 49076 -60
"360" 49302 -60
"361" 49462 -60
"362" 49494 -60
"363" 49666 -60
"364" 49828 -60
"365" 50110 -60
"366" 50112 -60
"367" 50144 -60
"368" 50416 -60
"369" 50418 -60
"370" 536 -59
"371" 1706 -59
"372" 3538 -59
"373" 3882 -59
