"V1" "V2"
"1" 26 -60
"2" 84 -72
"3" 86 -50
"4" 88 -67
"5" 162 -66
"6" 164 -67
"7" 200 -72
"8" 246 -66
"9" 248 -66
"10" 376 -67
"11" 430 -60
"12" 530 -71
"13" 536 -59
"14" 560 -50
"15" 600 -71
"16" 628 -71
"17" 630 -72
"18" 722 -60
"19" 724 -72
"20" 726 -72
"21" 790 -64
"22" 800 -60
"23" 802 -60
"24" 892 -64
"25" 902 -71
"26" 908 -57
"27" 974 -54
"28" 976 -65
"29" 1060 -70
"30" 1062 -71
"31" 1092 -71
"32" 1166 -58
"33" 1226 -58
"34" 1228 -60
"35" 1276 -55
"36" 1282 -77
"37" 1312 -70
"38" 1314 -70
"39" 1354 -71
"40" 1404 -71
"41" 1406 -71
"42" 1464 -50
"43" 1538 -65
"44" 1570 -58
"45" 1572 -60
"46" 1638 -64
"47" 1644 -50
"48" 1648 -60
"49" 1658 -71
"50" 1706 -59
"51" 1808 -44
"52" 1870 -61
"53" 1872 -60
"54" 1878 -69
"55" 1940 -65
"56" 1942 -65
"57" 1972 -60
"58" 1984 -65
"59" 1990 -68
"60" 2024 -69
"61" 2026 -70
"62" 2046 -64
"63" 2174 -45
"64" 2254 -60
"65" 2256 -60
"66" 2332 -71
"67" 2338 -45
"68" 2342 -77
"69" 2352 -66
"70" 2354 -66
"71" 2404 -70
"72" 2436 -69
"73" 2438 -70
"74" 2512 -60
"75" 2514 -60
"76" 2524 -70
"77" 2594 -65
"78" 2604 -60
"79" 2700 -52
"80" 2712 -50
"81" 2724 -53
"82" 2734 -68
"83" 2782 -70
"84" 2784 -70
"85" 2792 -58
"86" 2872 -60
"87" 2874 -60
"88" 2918 -64
"89" 2952 -58
"90" 2954 -60
"91" 2974 -60
"92" 3038 -50
"93" 3086 -60
"94" 3092 -50
"95" 3096 -76
"96" 3110 -71
"97" 3112 -71
"98" 3160 -65
"99" 3190 -69
"100" 3192 -70
"101" 3248 -55
"102" 3258 -60
"103" 3260 -60
"104" 3308 -66
"105" 3326 -45
"106" 3392 -52
"107" 3398 -69
"108" 3412 -72
"109" 3464 -60
"110" 3470 -67
"111" 3472 -68
"112" 3538 -59
"113" 3540 -60
"114" 3562 -69
"115" 3600 -65
"116" 3602 -66
"117" 3606 -69
"118" 3678 -66
"119" 3680 -66
"120" 3708 -64
"121" 3714 -64
"122" 3776 -50
"123" 3816 -69
"124" 3818 -69
"125" 3872 -64
"126" 3882 -59
"127" 3884 -60
"128" 3926 -58
"129" 3968 -64
"130" 3970 -66
"131" 4026 -60
"132" 4034 -53
"133" 4038 -76
"134" 4090 -53
"135" 4170 -60
"136" 4172 -60
"137" 4216 -64
"138" 4218 -65
"139" 4284 -52
"140" 4308 -64
"141" 4352 -60
"142" 4354 -60
"143" 4366 -45
"144" 4414 -44
"145" 4480 -61
"146" 4482 -60
"147" 4546 -67
"148" 4548 -69
"149" 4604 -66
"150" 4616 -58
"151" 4664 -64
"152" 4696 -69
"153" 4698 -69
"154" 4760 -52
"155" 4832 -64
"156" 4854 -69
"157" 4856 -70
"158" 4920 -69
"159" 4922 -69
"160" 4934 -69
"161" 4990 -52
"162" 4994 -60
"163" 4996 -61
"164" 5066 -61
"165" 5068 -61
"166" 5102 -52
"167" 5142 -66
"168" 5144 -66
"169" 5152 -69
"170" 5204 -69
"171" 5206 -69
"172" 5260 -50
"173" 5268 -70
"174" 5270 -72
"175" 5360 -45
"176" 5424 -59
"177" 5434 -60
"178" 5436 -60
"179" 5476 -60
"180" 5494 -65
"181" 5496 -65
"182" 5562 -59
"183" 5570 -61
"184" 5576 -52
"185" 5618 -69
"186" 5690 -45
"187" 5712 -45
"188" 5758 -66
"189" 5760 -45
"190" 5838 -54
"191" 5864 -53
"192" 5868 -71
"193" 5874 -77
"194" 5910 -52
"195" 5924 -60
"196" 5978 -50
"197" 6066 -51
"198" 6098 -68
"199" 6146 -69
"200" 6148 -71
"201" 6206 -64
"202" 6210 -50
"203" 6212 -66
"204" 6276 -64
"205" 6310 -45
"206" 6380 -64
"207" 6382 -66
"208" 6456 -60
"209" 6470 -64
"210" 6472 -66
"211" 6570 -69
"212" 6572 -69
"213" 6596 -68
"214" 6606 -75
"215" 6664 -60
"216" 6666 -61
"217" 6742 -64
"218" 6744 -66
"219" 6786 -68
"220" 6818 -64
"221" 6820 -66
"222" 6834 -69
"223" 6884 -68
"224" 6886 -68
"225" 6938 -69
"226" 6944 -66
"227" 6952 -58
"228" 7010 -64
