"V1" "V2"
"1" -96 0
"2" -95 0
"3" -94 0
"4" -93 0
"5" -92 0
"6" -91 0
"7" -90 0
"8" -89 0
"9" -88 0
"10" -87 0
"11" -86 0
"12" -85 0
"13" -84 0
"14" -83 1
"15" -82 0
"16" -81 0
"17" -80 1
"18" -79 1
"19" -78 1
"20" -77 1
"21" -76 1
"22" -75 2
"23" -74 2
"24" -73 4
"25" -72 8
"26" -71 9
"27" -70 11
"28" -69 10
"29" -68 12
"30" -67 11
"31" -66 6
"32" -65 3
"33" -64 1
"34" -63 0
"35" -62 0
"36" -61 0
"37" -60 1
"38" -59 1
"39" -58 1
"40" -57 1
"41" -56 1
"42" -55 1
"43" -54 1
"44" -53 1
"45" -52 1
"46" -51 1
"47" -50 1
"48" -49 0
