"RSSI" "0 m" "0.5 m" "1 m" "1.5 m" "2 m" "2.5 m" "3m" "3.5m"
"1" -10 NA NA NA NA NA NA NA NA
"2" -11 NA NA NA NA NA NA NA NA
"3" -12 NA NA NA NA NA NA NA NA
"4" -13 NA NA NA NA NA NA NA NA
"5" -14 NA NA NA NA NA NA NA NA
"6" -15 NA NA NA NA NA NA NA NA
"7" -16 NA NA NA NA NA NA NA NA
"8" -17 NA NA NA NA NA NA NA NA
"9" -18 NA NA NA NA NA NA NA NA
"10" -19 NA NA NA NA NA NA NA NA
"11" -20 NA NA NA NA NA NA NA NA
"12" -21 NA NA NA NA NA NA NA NA
"13" -22 NA NA NA NA NA NA NA NA
"14" -23 NA NA NA NA NA NA NA NA
"15" -24 NA NA NA NA NA NA NA NA
"16" -25 4 NA NA NA NA NA NA NA
"17" -26 15 NA NA NA NA NA NA NA
"18" -27 43 NA NA NA NA NA NA NA
"19" -28 31 NA 6 NA NA NA NA NA
"20" -29 2 NA 39 NA NA NA NA NA
"21" -30 2 NA 32 NA NA NA NA NA
"22" -31 NA NA 6 NA NA NA NA NA
"23" -32 NA NA 15 NA NA NA NA NA
"24" -33 NA NA NA NA 26 NA NA NA
"25" -34 NA NA NA NA 6 12 15 NA
"26" -35 NA 2 NA 21 17 27 29 NA
"27" -36 NA 26 NA 22 29 21 38 1
"28" -37 NA 19 NA 28 7 6 4 24
"29" -38 NA 38 NA 3 NA 10 NA 28
"30" -39 NA 3 NA 7 NA 13 NA 25
"31" -40 NA 4 NA NA NA 3 NA 1
"32" -41 NA NA NA NA NA NA NA NA
"33" -42 NA NA NA NA NA NA NA NA
"34" -43 NA NA NA NA NA NA NA NA
"35" -44 NA NA NA NA NA NA NA NA
"36" -45 NA NA NA NA NA NA NA NA
"37" -46 NA NA NA NA NA NA NA NA
"38" -47 NA NA NA NA NA NA NA NA
"39" -48 NA NA NA NA NA NA NA NA
"40" -49 NA NA NA NA NA NA NA NA
"41" -50 NA NA NA NA NA NA NA NA
"42" -51 NA NA NA NA NA NA NA NA
"43" -52 NA NA NA NA NA NA NA NA
"44" -53 NA NA NA NA NA NA NA NA
"45" -54 NA NA NA NA NA NA NA NA
"46" -55 NA NA NA NA NA NA NA NA
"47" -56 NA NA NA NA NA NA NA NA
"48" -57 NA NA NA NA NA NA NA NA
"49" -58 NA NA NA NA NA NA NA NA
"50" -59 NA NA NA NA NA NA NA NA
