"V1" "V2"
"1" -74 1
"2" -73 0
"3" -72 0
"4" -71 0
"5" -70 0
"6" -69 0
"7" -68 0
"8" -67 0
"9" -66 0
"10" -65 0
"11" -64 0
"12" -63 0
"13" -62 0
"14" -61 0
"15" -60 0
"16" -59 0
"17" -58 0
"18" -57 0
"19" -56 0
"20" -55 0
"21" -54 0
"22" -53 0
"23" -52 0
"24" -51 0
"25" -50 0
"26" -49 0
"27" -48 0
"28" -47 0
"29" -46 1
"30" -45 0
"31" -44 0
"32" -43 0
"33" -42 0
"34" -41 0
"35" -40 1
"36" -39 25
"37" -38 28
"38" -37 24
"39" -36 1
"40" -35 0
"41" -34 0
"42" -33 0
"43" -32 0
"44" -31 0
"45" -30 0
"46" -29 0
"47" -28 14
"48" -27 0
"49" -26 0
"50" -25 2
"51" -24 0
"52" -23 0
"53" -22 0
"54" -21 0
"55" -20 0
"56" -19 0
"57" -18 0
"58" -17 0
"59" -16 0
"60" -15 1
"61" -14 0
"62" -13 0
"63" -12 0
"64" -11 0
"65" -10 2
