"V1" "V2"
"1" 8958 -67
"2" 10262 -67
"3" 12346 -67
"4" 13310 -67
"5" 15688 -67
"6" 16088 -67
"7" 19686 -67
"8" 26652 -67
"9" 26990 -67
"10" 27458 -67
"11" 27508 -67
"12" 29786 -67
"13" 31694 -67
"14" 32242 -67
"15" 33540 -67
"16" 34566 -67
"17" 34818 -67
"18" 37960 -67
"19" 38596 -67
"20" 38822 -67
"21" 39086 -67
"22" 39308 -67
"23" 92 -66
"24" 254 -66
"25" 424 -66
"26" 884 -66
"27" 1164 -66
"28" 2976 -66
"29" 4080 -66
"30" 4530 -66
"31" 4922 -66
"32" 5158 -66
"33" 5240 -66
"34" 5692 -66
"35" 6082 -66
"36" 6524 -66
"37" 6756 -66
"38" 6898 -66
"39" 7050 -66
"40" 7754 -66
"41" 8176 -66
"42" 8342 -66
"43" 9348 -66
"44" 9500 -66
"45" 9712 -66
"46" 9882 -66
"47" 10038 -66
"48" 10114 -66
"49" 10190 -66
"50" 10878 -66
"51" 11112 -66
"52" 11474 -66
"53" 11920 -66
"54" 12404 -66
"55" 12906 -66
"56" 13112 -66
"57" 13624 -66
"58" 13844 -66
"59" 14404 -66
"60" 14576 -66
"61" 14700 -66
"62" 14752 -66
"63" 14870 -66
"64" 14936 -66
"65" 15184 -66
"66" 15390 -66
"67" 15810 -66
"68" 15862 -66
"69" 15988 -66
"70" 16606 -66
"71" 16778 -66
"72" 17068 -66
"73" 17244 -66
"74" 17294 -66
"75" 17354 -66
"76" 17460 -66
"77" 17616 -66
"78" 17728 -66
"79" 17904 -66
"80" 18286 -66
"81" 18448 -66
"82" 18812 -66
"83" 18874 -66
"84" 19038 -66
"85" 19146 -66
"86" 19194 -66
"87" 19528 -66
"88" 19630 -66
"89" 19806 -66
"90" 19862 -66
"91" 20340 -66
"92" 20590 -66
"93" 20650 -66
"94" 21256 -66
"95" 21442 -66
"96" 21562 -66
"97" 21912 -66
"98" 22312 -66
"99" 22674 -66
"100" 22810 -66
"101" 23656 -66
"102" 23710 -66
"103" 23824 -66
"104" 23882 -66
"105" 24812 -66
"106" 25106 -66
"107" 25556 -66
"108" 25658 -66
"109" 25824 -66
"110" 25950 -66
"111" 26548 -66
"112" 26776 -66
"113" 26892 -66
"114" 27258 -66
"115" 27328 -66
"116" 27656 -66
"117" 27854 -66
"118" 27982 -66
"119" 28198 -66
"120" 28750 -66
"121" 28820 -66
"122" 29084 -66
"123" 29266 -66
"124" 29326 -66
"125" 29906 -66
"126" 30034 -66
"127" 30348 -66
"128" 30450 -66
"129" 30910 -66
"130" 30974 -66
"131" 31162 -66
"132" 31336 -66
"133" 31460 -66
"134" 31580 -66
"135" 31760 -66
"136" 31892 -66
"137" 32016 -66
"138" 32124 -66
"139" 32344 -66
"140" 32454 -66
"141" 32516 -66
"142" 32888 -66
"143" 33004 -66
"144" 33130 -66
"145" 33238 -66
"146" 33300 -66
"147" 33766 -66
"148" 33930 -66
"149" 34208 -66
"150" 34340 -66
"151" 34384 -66
"152" 34632 -66
"153" 34934 -66
"154" 35146 -66
"155" 35210 -66
"156" 35264 -66
"157" 35430 -66
"158" 35496 -66
"159" 35600 -66
"160" 35654 -66
"161" 35890 -66
"162" 36184 -66
"163" 36242 -66
"164" 36754 -66
"165" 36862 -66
"166" 37030 -66
"167" 37134 -66
"168" 37498 -66
"169" 37726 -66
"170" 37782 -66
"171" 38242 -66
"172" 38414 -66
"173" 38708 -66
"174" 39204 -66
"175" 6 -65
"176" 712 -65
"177" 1076 -65
"178" 1268 -65
"179" 1956 -65
"180" 2384 -65
"181" 2486 -65
"182" 2768 -65
"183" 3212 -65
"184" 3294 -65
"185" 3768 -65
"186" 4142 -65
"187" 4292 -65
"188" 4384 -65
"189" 5080 -65
"190" 5318 -65
"191" 6168 -65
"192" 6248 -65
"193" 6976 -65
"194" 7280 -65
"195" 7600 -65
"196" 11198 -65
"197" 11538 -65
"198" 11848 -65
"199" 12468 -65
"200" 12760 -65
"201" 13536 -65
"202" 15326 -65
"203" 15638 -65
"204" 15928 -65
"205" 16334 -65
"206" 16718 -65
"207" 16892 -65
"208" 18630 -65
"209" 18934 -65
"210" 19350 -65
"211" 19464 -65
"212" 20274 -65
"213" 20858 -65
"214" 20978 -65
"215" 21086 -65
"216" 21142 -65
"217" 21386 -65
"218" 22078 -65
"219" 22134 -65
"220" 22190 -65
"221" 22492 -65
"222" 22736 -65
"223" 23226 -65
"224" 23284 -65
"225" 23526 -65
"226" 23582 -65
"227" 24004 -65
"228" 24180 -65
"229" 24292 -65
"230" 24356 -65
"231" 24706 -65
"232" 24982 -65
"233" 25160 -65
"234" 25370 -65
"235" 25598 -65
"236" 26366 -65
"237" 26936 -65
"238" 29378 -65
"239" 30524 -65
"240" 32632 -65
"241" 32780 -65
"242" 33066 -65
"243" 33184 -65
"244" 33374 -65
"245" 33994 -65
"246" 35832 -65
"247" 36000 -65
"248" 36306 -65
"249" 36974 -65
"250" 37262 -65
"251" 37448 -65
"252" 37898 -65
"253" 38472 -65
"254" 576 -64
"255" 786 -64
"256" 984 -64
"257" 1438 -64
"258" 1602 -64
"259" 2584 -64
"260" 3464 -64
"261" 3854 -64
"262" 4230 -64
"263" 4602 -64
"264" 4762 -64
"265" 4844 -64
"266" 5582 -64
"267" 6306 -64
"268" 7202 -64
"269" 7680 -64
"270" 7930 -64
"271" 8096 -64
"272" 10666 -64
"273" 11026 -64
"274" 11262 -64
"275" 11338 -64
"276" 11622 -64
"277" 11774 -64
"278" 12546 -64
"279" 12830 -64
"280" 12970 -64
"281" 13036 -64
"282" 14292 -64
"283" 15070 -64
"284" 17564 -64
"285" 17670 -64
"286" 20520 -64
"287" 21032 -64
"288" 21844 -64
"289" 22870 -64
"290" 23332 -64
"291" 23400 -64
"292" 27124 -64
"293" 27390 -64
"294" 29210 -64
"295" 30710 -64
"296" 30766 -64
"297" 31102 -64
"298" 34154 -64
"299" 37838 -64
"300" 38070 -64
"301" 38882 -64
"302" 39140 -64
"303" 6460 -63
"304" 8432 -63
"305" 9646 -63
"306" 12692 -63
"307" 14510 -63
"308" 16840 -63
"309" 18570 -63
"310" 19248 -63
"311" 19408 -63
"312" 19750 -63
"313" 21504 -63
"314" 21964 -63
"315" 22606 -63
"316" 23456 -63
"317" 24872 -63
"318" 25048 -63
"319" 25208 -63
"320" 25432 -63
"321" 25876 -63
"322" 28062 -63
"323" 28330 -63
"324" 28564 -63
"325" 28998 -63
"326" 29844 -63
"327" 31516 -63
"328" 31628 -63
"329" 32572 -63
"330" 32952 -63
"331" 33602 -63
"332" 35546 -63
"333" 35764 -63
"334" 36536 -63
"335" 37554 -63
"336" 37658 -63
"337" 38014 -63
"338" 38182 -63
"339" 38768 -63
"340" 1352 -62
"341" 2206 -62
"342" 2676 -62
"343" 3368 -62
"344" 3550 -62
"345" 4014 -62
"346" 4678 -62
"347" 6688 -62
"348" 7358 -62
"349" 7442 -62
"350" 8794 -62
"351" 9036 -62
"352" 9798 -62
"353" 9958 -62
"354" 10612 -62
"355" 11404 -62
"356" 12002 -62
"357" 12134 -62
"358" 13158 -62
"359" 13386 -62
"360" 14014 -62
"361" 14634 -62
"362" 15006 -62
"363" 15466 -62
"364" 16134 -62
"365" 16544 -62
"366" 16666 -62
"367" 17410 -62
"368" 17518 -62
"369" 17794 -62
"370" 17972 -62
"371" 18020 -62
"372" 18696 -62
"373" 23062 -62
"374" 23178 -62
"375" 24598 -62
"376" 24754 -62
"377" 25716 -62
"378" 26316 -62
"379" 26700 -62
"380" 27724 -62
"381" 29144 -62
"382" 31048 -62
"383" 31284 -62
"384" 32830 -62
"385" 34454 -62
"386" 38926 -62
"387" 17120 -61
"388" 18176 -61
"389" 20030 -61
"390" 20796 -61
"391" 21324 -61
"392" 22248 -61
"393" 24478 -61
"394" 26022 -61
"395" 26134 -61
"396" 26192 -61
"397" 26418 -61
"398" 27048 -61
"399" 27586 -61
"400" 27786 -61
"401" 27924 -61
"402" 28268 -61
"403" 28434 -61
"404" 28884 -61
"405" 29610 -61
"406" 31954 -61
"407" 33486 -61
"408" 33702 -61
"409" 33872 -61
"410" 34104 -61
"411" 34268 -61
"412" 34870 -61
"413" 35372 -61
"414" 35714 -61
"415" 36428 -61
"416" 39256 -61
