"V1" "V2"
"1" 16 -69
"2" 106 -53
"3" 168 -70
"4" 234 -70
"5" 368 -65
"6" 428 -70
"7" 478 -69
"8" 540 -64
"9" 610 -69
"10" 682 -72
"11" 752 -50
"12" 826 -50
"13" 912 -69
"14" 970 -70
"15" 1044 -70
"16" 1130 -68
"17" 1192 -70
"18" 1274 -70
"19" 1334 -71
"20" 1418 -71
"21" 1574 -73
"22" 1648 -65
"23" 1732 -70
"24" 1802 -65
"25" 1864 -54
"26" 1954 -73
"27" 2052 -65
"28" 2138 -71
"29" 2216 -65
"30" 2292 -71
"31" 2378 -66
"32" 2464 -53
"33" 2546 -72
"34" 2706 -72
"35" 2774 -65
"36" 2846 -53
"37" 2922 -56
"38" 3004 -66
"39" 3076 -69
"40" 3224 -66
"41" 3302 -70
"42" 3388 -65
"43" 3514 -69
"44" 3596 -66
"45" 3660 -69
"46" 3728 -54
"47" 3886 -68
"48" 3954 -72
"49" 4028 -66
"50" 4098 -70
"51" 4188 -66
"52" 4266 -70
"53" 4344 -72
"54" 4424 -71
"55" 4508 -70
"56" 4594 -71
"57" 4662 -67
"58" 4740 -70
"59" 4794 -66
"60" 4874 -70
"61" 5020 -64
"62" 5096 -70
"63" 5160 -51
"64" 5236 -70
"65" 5316 -71
"66" 5408 -70
"67" 5468 -66
"68" 5532 -70
"69" 5606 -66
"70" 5684 -70
"71" 5754 -70
"72" 5846 -52
"73" 5936 -56
"74" 6020 -71
"75" 6090 -69
"76" 6154 -56
"77" 6330 -69
"78" 6508 -70
"79" 6582 -70
"80" 6664 -66
"81" 6758 -69
"82" 6844 -68
"83" 6920 -50
"84" 7006 -66
"85" 7090 -70
"86" 7156 -66
"87" 7234 -70
"88" 7492 -72
"89" 7560 -70
"90" 7718 -69
"91" 7794 -57
"92" 7882 -66
"93" 7962 -69
"94" 8028 -53
"95" 8116 -73
"96" 8206 -66
"97" 8280 -71
"98" 8368 -71
"99" 8440 -66
"100" 8518 -71
"101" 8578 -66
"102" 8666 -70
"103" 8744 -71
"104" 8912 -71
"105" 8996 -70
"106" 9076 -71
"107" 9222 -70
"108" 9300 -66
"109" 9370 -70
"110" 9460 -71
"111" 9550 -66
"112" 9636 -69
"113" 9702 -66
"114" 9836 -53
"115" 9908 -56
"116" 9988 -69
"117" 10060 -70
"118" 10118 -67
"119" 10200 -71
"120" 10276 -56
"121" 10454 -69
"122" 10526 -72
"123" 10606 -70
"124" 10686 -73
"125" 10776 -66
"126" 10848 -69
"127" 10934 -71
"128" 11012 -69
"129" 11078 -66
"130" 11272 -71
"131" 11346 -66
"132" 11432 -57
"133" 11586 -68
"134" 11656 -71
"135" 11856 -66
"136" 11916 -73
"137" 11988 -66
"138" 12066 -69
"139" 12138 -65
"140" 12294 -69
"141" 12366 -71
"142" 12450 -66
"143" 12492 -70
"144" 12566 -71
"145" 12732 -57
"146" 12802 -66
"147" 12868 -53
"148" 12942 -71
"149" 13010 -69
"150" 13090 -66
"151" 13144 -71
"152" 13212 -52
"153" 13284 -70
"154" 13360 -66
"155" 13446 -70
"156" 13518 -66
"157" 13652 -72
"158" 13712 -65
"159" 13790 -69
"160" 13850 -71
"161" 13910 -65
"162" 13996 -67
"163" 14150 -70
"164" 14220 -66
"165" 14290 -67
"166" 14380 -68
"167" 14462 -64
"168" 14532 -52
"169" 14604 -64
"170" 14668 -68
"171" 14746 -68
"172" 14826 -65
"173" 14902 -68
"174" 14984 -71
"175" 15126 -72
"176" 15272 -69
"177" 15350 -56
"178" 15410 -69
"179" 15478 -57
"180" 15552 -69
"181" 15626 -71
"182" 15700 -66
"183" 15786 -69
"184" 15860 -73
"185" 15942 -68
"186" 16018 -73
"187" 16082 -64
"188" 16146 -70
"189" 16220 -71
"190" 16302 -66
"191" 16388 -67
"192" 16456 -71
"193" 16528 -67
"194" 16604 -71
"195" 16676 -67
"196" 16764 -68
"197" 16840 -71
"198" 16902 -65
"199" 16984 -70
"200" 17188 -69
"201" 17262 -72
"202" 17396 -72
"203" 17478 -51
"204" 17538 -69
"205" 17606 -67
"206" 17758 -70
"207" 17822 -66
"208" 17872 -69
"209" 17938 -52
"210" 18084 -71
"211" 18162 -69
"212" 18216 -51
"213" 18268 -72
"214" 18532 -58
"215" 18600 -53
"216" 18660 -68
"217" 18728 -65
"218" 18794 -67
"219" 18994 -68
"220" 19062 -67
"221" 19128 -69
"222" 19208 -66
"223" 19274 -69
"224" 19334 -57
"225" 19478 -69
"226" 19532 -72
"227" 19598 -52
"228" 19662 -67
"229" 19738 -73
"230" 19802 -65
"231" 19874 -70
"232" 19944 -73
"233" 20010 -66
"234" 20132 -65
"235" 20208 -71
"236" 20272 -67
"237" 20338 -57
"238" 20408 -70
"239" 20470 -73
"240" 20552 -71
"241" 20610 -66
"242" 20688 -72
"243" 20762 -54
"244" 20818 -72
"245" 20880 -66
"246" 20936 -70
"247" 20994 -52
"248" 21070 -51
"249" 21146 -72
"250" 21256 -72
"251" 21322 -71
"252" 21386 -72
"253" 21458 -65
"254" 21510 -70
"255" 21582 -51
"256" 21656 -70
"257" 21722 -71
"258" 21780 -66
"259" 21840 -71
"260" 21980 -64
"261" 22034 -71
"262" 22088 -66
"263" 22166 -71
"264" 22298 -66
"265" 22376 -71
"266" 22446 -73
"267" 22506 -71
"268" 22574 -71
"269" 22638 -67
"270" 22750 -54
"271" 22926 -67
"272" 22982 -67
"273" 23100 -66
"274" 23176 -71
"275" 23234 -66
"276" 23308 -66
"277" 23380 -71
"278" 23482 -71
"279" 23536 -67
"280" 23666 -72
"281" 23732 -65
"282" 23792 -69
"283" 23838 -66
"284" 23922 -55
"285" 23998 -73
"286" 24064 -71
"287" 24130 -71
"288" 24202 -67
"289" 24266 -70
"290" 24334 -71
"291" 24386 -67
"292" 24512 -70
"293" 24640 -71
"294" 24736 -50
"295" 24818 -71
"296" 24962 -59
"297" 25110 -65
"298" 25208 -72
"299" 25444 -71
"300" 25576 -66
"301" 25660 -72
"302" 25740 -66
"303" 25816 -72
"304" 25878 -72
"305" 26028 -72
"306" 26120 -64
"307" 26286 -58
"308" 26362 -66
"309" 26450 -70
"310" 26526 -69
"311" 26606 -73
"312" 26680 -65
"313" 26758 -65
"314" 26836 -58
"315" 26902 -51
"316" 26986 -71
"317" 27080 -51
"318" 27158 -65
"319" 27246 -52
"320" 27336 -50
"321" 27522 -72
"322" 27680 -68
"323" 27836 -73
"324" 27934 -51
"325" 28118 -66
"326" 28202 -68
"327" 28378 -69
"328" 28472 -73
"329" 28546 -51
"330" 28716 -64
"331" 28820 -52
"332" 28916 -71
"333" 29008 -64
"334" 29098 -68
"335" 29198 -58
"336" 29284 -65
"337" 29382 -70
"338" 29458 -71
"339" 29640 -70
"340" 29730 -50
"341" 29908 -71
"342" 30002 -66
"343" 30094 -66
"344" 30174 -71
"345" 30258 -66
"346" 30342 -68
"347" 30424 -66
"348" 30512 -52
"349" 30596 -70
"350" 30682 -66
"351" 30762 -71
"352" 30928 -66
"353" 31074 -67
"354" 31338 -69
"355" 31502 -71
"356" 31664 -67
"357" 31908 -68
"358" 31988 -67
"359" 32146 -56
"360" 32236 -71
"361" 32402 -65
"362" 32474 -65
"363" 32548 -70
"364" 32632 -65
"365" 32998 -66
"366" 33070 -71
"367" 33134 -66
"368" 33246 -70
"369" 33312 -70
"370" 33372 -69
"371" 33434 -70
"372" 33494 -66
"373" 33616 -71
"374" 33680 -67
"375" 33746 -54
"376" 33804 -65
"377" 33872 -72
"378" 33994 -71
"379" 34068 -65
"380" 34136 -67
"381" 34204 -73
"382" 34276 -56
"383" 34338 -66
"384" 34402 -69
"385" 34472 -71
"386" 34532 -66
"387" 34664 -72
"388" 34774 -57
"389" 34886 -73
"390" 34932 -66
"391" 34982 -72
"392" 35040 -66
"393" 35098 -70
"394" 35156 -64
"395" 35204 -70
"396" 35260 -73
"397" 35316 -65
"398" 35434 -71
"399" 35486 -70
"400" 35534 -71
"401" 35606 -72
"402" 35658 -50
"403" 35768 -67
"404" 35812 -69
"405" 35864 -72
"406" 35908 -66
"407" 35974 -70
"408" 36028 -56
"409" 36090 -66
"410" 36150 -71
"411" 36262 -69
"412" 36314 -70
"413" 36370 -66
"414" 36424 -56
"415" 36586 -70
"416" 36636 -67
"417" 36696 -54
"418" 36740 -66
"419" 36802 -70
"420" 36870 -73
"421" 36984 -69
"422" 37096 -52
"423" 37192 -70
"424" 37250 -57
"425" 37364 -69
"426" 37412 -57
"427" 37476 -65
"428" 37526 -69
"429" 37596 -72
"430" 37648 -67
"431" 37714 -69
"432" 37820 -69
"433" 37878 -71
"434" 37932 -67
"435" 37974 -71
"436" 38018 -69
"437" 38058 -66
"438" 38106 -69
"439" 38140 -57
"440" 38174 -69
"441" 38208 -72
"442" 38250 -70
"443" 38292 -52
"444" 38348 -66
"445" 38392 -69
"446" 38458 -57
"447" 38520 -66
"448" 38572 -69
"449" 38632 -73
"450" 38688 -67
"451" 38746 -51
"452" 38796 -69
"453" 38852 -57
"454" 38912 -71
"455" 38968 -53
"456" 39030 -71
"457" 39164 -71
"458" 39442 -57
"459" 39594 -71
"460" 39658 -64
"461" 39732 -70
"462" 39800 -51
"463" 40000 -72
"464" 40150 -50
