"RSSI" "0 m" "0.5 m" "1 m" "1.5 m" "2 m" "2.5 m" "3m"
"1" -20 NA NA NA NA NA NA NA
"2" -21 NA NA NA NA NA NA NA
"3" -22 NA NA NA NA NA NA NA
"4" -23 NA NA NA NA NA NA NA
"5" -24 NA NA NA NA NA NA NA
"6" -25 NA NA NA NA NA NA NA
"7" -26 NA NA NA NA NA NA NA
"8" -27 NA NA NA NA NA NA NA
"9" -28 NA NA NA NA NA NA NA
"10" -29 NA NA NA NA NA NA NA
"11" -30 NA NA NA NA NA NA NA
"12" -31 NA NA NA NA NA NA NA
"13" -32 NA NA NA NA NA NA NA
"14" -33 NA NA NA NA NA NA NA
"15" -34 NA NA NA NA NA NA NA
"16" -35 NA NA NA NA NA NA NA
"17" -36 1 NA NA NA NA NA NA
"18" -37 24 NA NA NA NA NA NA
"19" -38 28 NA NA NA NA NA NA
"20" -39 25 NA NA NA NA NA NA
"21" -40 1 NA NA NA NA NA NA
"22" -41 NA NA NA NA NA NA NA
"23" -42 NA NA NA NA NA NA NA
"24" -43 NA NA NA NA NA NA NA
"25" -44 NA NA NA NA NA NA NA
"26" -45 NA NA NA NA NA NA NA
"27" -46 NA NA NA NA NA NA NA
"28" -47 NA NA NA NA NA NA NA
"29" -48 NA NA NA NA NA NA NA
"30" -49 NA NA NA NA NA NA NA
"31" -50 NA NA NA NA NA NA NA
"32" -51 NA NA NA NA NA NA NA
"33" -52 NA NA NA NA NA NA NA
"34" -53 NA NA NA NA NA NA NA
"35" -54 NA NA NA NA NA NA NA
"36" -55 NA NA NA NA NA NA NA
"37" -56 NA NA NA NA NA NA NA
"38" -57 NA NA NA NA NA NA NA
"39" -58 NA NA NA NA NA NA NA
"40" -59 NA NA NA NA NA NA NA
"41" -60 NA NA NA NA NA NA NA
"42" -61 NA 6 NA NA NA NA NA
"43" -62 NA 9 NA NA NA NA NA
"44" -63 NA 7 NA NA NA NA NA
"45" -64 NA 10 2 NA NA NA NA
"46" -65 NA 16 6 NA NA NA NA
"47" -66 NA 30 15 NA NA NA 1
"48" -67 NA 4 6 NA NA NA 4
"49" -68 NA NA 4 NA 4 2 8
"50" -69 NA NA 10 NA 5 10 13
"51" -70 NA NA 14 3 12 6 3
"52" -71 NA NA 16 10 5 23 2
"53" -72 NA NA 8 14 1 26 22
"54" -73 NA NA 4 16 5 9 19
"55" -74 NA NA NA 8 15 2 5
"56" -75 NA NA NA 4 19 NA 4
"57" -76 NA NA NA NA 10 NA 1
"58" -77 NA NA NA NA 4 NA NA
"59" -78 NA NA NA NA 1 NA NA
"60" -79 NA NA NA NA 1 NA NA
"61" -80 NA NA NA NA NA NA NA
"62" -81 NA NA NA NA NA NA NA
"63" -82 NA NA NA NA NA NA NA
"64" -83 NA NA NA NA NA NA NA
"65" -84 NA NA NA NA NA NA NA
"66" -85 NA NA NA NA NA NA NA
"67" -86 NA NA NA NA NA NA NA
"68" -87 NA NA NA NA NA NA NA
"69" -88 NA NA NA NA NA NA NA
"70" -89 NA NA NA NA NA NA NA
"71" -90 NA NA NA NA NA NA NA
"72" -91 NA NA NA NA NA NA NA
"73" -92 NA NA NA NA NA NA NA
"74" -93 NA NA NA NA NA NA NA
"75" -94 NA NA NA NA NA NA NA
"76" -95 NA NA NA NA NA NA NA
"77" -96 NA NA NA NA NA NA NA
"78" -97 NA NA NA NA NA NA NA
"79" -98 NA NA NA NA NA NA NA
"80" -99 NA NA NA NA NA NA NA
