"V1" "V2"
"1" 12 -71
"2" 116 -68
"3" 520 -73
"4" 914 -67
"5" 1036 -72
"6" 1140 -57
"7" 1242 -73
"8" 1322 -71
"9" 1410 -72
"10" 1506 -67
"11" 1616 -71
"12" 1724 -51
"13" 1824 -67
"14" 1926 -71
"15" 2012 -72
"16" 2098 -68
"17" 2194 -71
"18" 2292 -67
"19" 2396 -72
"20" 2498 -73
"21" 2592 -71
"22" 2688 -57
"23" 2790 -71
"24" 2886 -73
"25" 2994 -72
"26" 3068 -65
"27" 3180 -71
"28" 3274 -66
"29" 3354 -72
"30" 3534 -56
"31" 3722 -71
"32" 3784 -72
"33" 3872 -66
"34" 3952 -72
"35" 4056 -67
"36" 4200 -56
"37" 4266 -67
"38" 4348 -71
"39" 4428 -74
"40" 4504 -67
"41" 4580 -72
"42" 4672 -66
"43" 4756 -71
"44" 4842 -71
"45" 4928 -72
"46" 5014 -66
"47" 5096 -73
"48" 5176 -66
"49" 5260 -66
"50" 5332 -72
"51" 5408 -71
"52" 5502 -67
"53" 5574 -71
"54" 5664 -71
"55" 5744 -68
"56" 5830 -71
"57" 5912 -71
"58" 6000 -56
"59" 6156 -71
"60" 6296 -71
"61" 6382 -51
"62" 6464 -72
"63" 6534 -66
"64" 6620 -72
"65" 6694 -71
"66" 6790 -57
"67" 6868 -71
"68" 6952 -51
"69" 7042 -72
"70" 7118 -66
"71" 7210 -56
"72" 7294 -71
"73" 7380 -67
"74" 7480 -72
"75" 7568 -65
"76" 7670 -71
"77" 7762 -73
"78" 7850 -72
"79" 7944 -72
"80" 8044 -71
"81" 8126 -67
"82" 8320 -57
"83" 8410 -70
"84" 8472 -70
"85" 8562 -67
"86" 8642 -71
"87" 8734 -67
"88" 8824 -72
"89" 8916 -67
"90" 8986 -72
"91" 9134 -71
"92" 9224 -70
"93" 9300 -71
"94" 9402 -66
"95" 9482 -72
"96" 9558 -72
"97" 9638 -51
"98" 9728 -71
"99" 9816 -70
"100" 9904 -67
"101" 9980 -71
"102" 10062 -66
"103" 10224 -66
"104" 10308 -67
"105" 10388 -71
"106" 10478 -66
"107" 10556 -72
"108" 10628 -67
"109" 10724 -71
"110" 10814 -67
"111" 10888 -56
