"V1" "V2"
"1" 5334 -66
"2" 10910 -66
"3" 14766 -66
"4" 31358 -66
"5" 53246 -66
"6" 688 -65
"7" 2364 -65
"8" 7046 -65
"9" 7392 -65
"10" 7614 -65
"11" 8292 -65
"12" 8362 -65
"13" 8708 -65
"14" 9338 -65
"15" 12218 -65
"16" 12852 -65
"17" 14946 -65
"18" 15976 -65
"19" 16208 -65
"20" 16938 -65
"21" 19812 -65
"22" 22390 -65
"23" 22700 -65
"24" 22842 -65
"25" 23124 -65
"26" 24380 -65
"27" 24458 -65
"28" 25882 -65
"29" 27666 -65
"30" 29424 -65
"31" 30322 -65
"32" 30916 -65
"33" 32816 -65
"34" 32964 -65
"35" 33202 -65
"36" 33340 -65
"37" 33402 -65
"38" 33634 -65
"39" 33866 -65
"40" 34950 -65
"41" 36456 -65
"42" 37866 -65
"43" 41374 -65
"44" 42448 -65
"45" 49654 -65
"46" 51098 -65
"47" 51576 -65
"48" 51810 -65
"49" 53742 -65
"50" 54140 -65
"51" 1174 -64
"52" 2120 -64
"53" 2290 -64
"54" 2604 -64
"55" 2774 -64
"56" 3446 -64
"57" 4424 -64
"58" 5278 -64
"59" 5454 -64
"60" 6496 -64
"61" 7110 -64
"62" 8124 -64
"63" 8406 -64
"64" 8536 -64
"65" 8764 -64
"66" 8882 -64
"67" 9132 -64
"68" 9258 -64
"69" 11116 -64
"70" 11190 -64
"71" 13848 -64
"72" 14682 -64
"73" 14850 -64
"74" 15170 -64
"75" 15420 -64
"76" 15500 -64
"77" 16404 -64
"78" 16714 -64
"79" 16780 -64
"80" 18176 -64
"81" 18416 -64
"82" 18562 -64
"83" 18792 -64
"84" 22148 -64
"85" 22310 -64
"86" 22476 -64
"87" 23044 -64
"88" 23842 -64
"89" 24608 -64
"90" 25250 -64
"91" 26184 -64
"92" 27958 -64
"93" 28118 -64
"94" 29500 -64
"95" 29732 -64
"96" 30244 -64
"97" 31048 -64
"98" 31806 -64
"99" 32136 -64
"100" 32418 -64
"101" 33038 -64
"102" 33270 -64
"103" 33790 -64
"104" 33946 -64
"105" 34028 -64
"106" 34372 -64
"107" 34808 -64
"108" 35020 -64
"109" 35098 -64
"110" 35254 -64
"111" 35328 -64
"112" 35528 -64
"113" 35944 -64
"114" 36018 -64
"115" 36108 -64
"116" 36180 -64
"117" 36960 -64
"118" 37254 -64
"119" 37392 -64
"120" 37632 -64
"121" 38016 -64
"122" 38710 -64
"123" 39404 -64
"124" 39656 -64
"125" 39910 -64
"126" 40010 -64
"127" 40808 -64
"128" 41134 -64
"129" 41542 -64
"130" 41734 -64
"131" 41886 -64
"132" 42704 -64
"133" 43022 -64
"134" 43278 -64
"135" 43460 -64
"136" 43784 -64
"137" 44206 -64
"138" 44292 -64
"139" 44550 -64
"140" 46466 -64
"141" 46706 -64
"142" 46962 -64
"143" 47142 -64
"144" 47396 -64
"145" 47628 -64
"146" 47712 -64
"147" 48040 -64
"148" 48126 -64
"149" 48488 -64
"150" 48574 -64
"151" 49558 -64
"152" 50334 -64
"153" 50868 -64
"154" 51254 -64
"155" 51340 -64
"156" 51420 -64
"157" 52860 -64
"158" 53008 -64
"159" 1436 -63
"160" 1698 -63
"161" 1954 -63
"162" 3504 -63
"163" 4022 -63
"164" 5074 -63
"165" 6254 -63
"166" 7904 -63
"167" 7970 -63
"168" 8074 -63
"169" 8646 -63
"170" 9074 -63
"171" 9820 -63
"172" 9898 -63
"173" 10690 -63
"174" 11034 -63
"175" 11906 -63
"176" 12642 -63
"177" 12704 -63
"178" 13004 -63
"179" 13124 -63
"180" 15030 -63
"181" 16554 -63
"182" 17180 -63
"183" 18004 -63
"184" 18356 -63
"185" 19420 -63
"186" 19604 -63
"187" 20820 -63
"188" 22084 -63
"189" 22624 -63
"190" 22896 -63
"191" 23434 -63
"192" 25038 -63
"193" 25484 -63
"194" 26030 -63
"195" 28872 -63
"196" 29278 -63
"197" 29650 -63
"198" 29880 -63
"199" 31204 -63
"200" 31274 -63
"201" 31884 -63
"202" 32286 -63
"203" 32588 -63
"204" 32670 -63
"205" 35178 -63
"206" 36248 -63
"207" 36526 -63
"208" 36594 -63
"209" 36894 -63
"210" 37026 -63
"211" 37328 -63
"212" 37564 -63
"213" 37790 -63
"214" 40450 -63
"215" 40552 -63
"216" 42792 -63
"217" 44464 -63
"218" 44718 -63
"219" 44972 -63
"220" 45062 -63
"221" 46064 -63
"222" 46218 -63
"223" 46876 -63
"224" 47328 -63
"225" 47550 -63
"226" 48310 -63
"227" 48914 -63
"228" 49974 -63
"229" 50196 -63
"230" 50794 -63
"231" 51036 -63
"232" 52620 -63
"233" 52778 -63
"234" 53328 -63
"235" 53592 -63
"236" 53918 -63
"237" 54480 -63
"238" 54570 -63
"239" 1346 -62
"240" 2204 -62
"241" 3786 -62
"242" 6558 -62
"243" 6606 -62
"244" 6904 -62
"245" 6970 -62
"246" 9434 -62
"247" 11418 -62
"248" 18864 -62
"249" 19296 -62
"250" 20154 -62
"251" 20426 -62
"252" 20590 -62
"253" 20892 -62
"254" 21116 -62
"255" 24894 -62
"256" 26696 -62
"257" 30626 -62
"258" 34216 -62
"259" 39742 -62
"260" 42044 -62
"261" 42370 -62
"262" 43202 -62
"263" 43686 -62
"264" 45140 -62
"265" 45660 -62
