"V1" "V2"
"1" 13 73
"2" 15 73
"3" 32 65
"4" 34 67
"5" 47 70
"6" 49 72
"7" 66 75
"8" 68 75
"9" 81 66
"10" 83 66
"11" 96 71
"12" 98 71
"13" 111 75
"14" 113 76
"15" 124 74
"16" 126 76
"17" 141 71
"18" 143 71
"19" 156 66
"20" 158 68
"21" 163 67
"22" 165 67
"23" 192 71
"24" 194 71
"25" 207 72
"26" 209 72
"27" 222 71
"28" 224 72
"29" 249 71
"30" 251 72
"31" 268 73
"32" 270 71
"33" 287 64
"34" 289 66
"35" 0 0
"36" 0 0
"37" 0 0
"38" 0 0
"39" 0 0
"40" 0 0
"41" 0 0
"42" 0 0
"43" 0 0
"44" 0 0
"45" 0 0
"46" 0 0
"47" 0 0
"48" 0 0
"49" 0 0
"50" 0 0
"51" 0 0
"52" 0 0
"53" 0 0
"54" 0 0
"55" 0 0
"56" 0 0
"57" 0 0
"58" 0 0
"59" 0 0
"60" 0 0
"61" 0 0
"62" 0 0
"63" 0 0
"64" 0 0
"65" 0 0
"66" 0 0
"67" 0 0
"68" 0 0
"69" 0 0
"70" 0 0
"71" 0 0
"72" 0 0
"73" 0 0
"74" 0 0
"75" 0 0
"76" 0 0
"77" 0 0
"78" 0 0
"79" 0 0
"80" 0 0
"81" 0 0
"82" 0 0
"83" 0 0
"84" 0 0
"85" 0 0
"86" 0 0
"87" 0 0
"88" 0 0
"89" 0 0
"90" 0 0
"91" 0 0
"92" 0 0
"93" 0 0
"94" 0 0
"95" 0 0
"96" 0 0
"97" 0 0
"98" 0 0
"99" 0 0
"100" 0 0
