"V1" "V2"
"1" 66 41
"2" 320 42
"3" 568 28
"4" 678 40
"5" 798 42
"6" 904 42
"7" 1018 43
"8" 1134 42
"9" 1198 40
"10" 1366 42
"11" 1480 43
"12" 1596 43
"13" 1720 40
"14" 1828 40
"15" 1940 31
"16" 2050 42
"17" 2156 32
"18" 2202 31
"19" 2310 41
"20" 2474 42
"21" 2578 42
"22" 2688 40
"23" 2750 40
"24" 2824 43
"25" 3248 41
"26" 3402 41
"27" 3534 43
"28" 3702 42
"29" 3780 31
"30" 3956 42
"31" 4078 28
"32" 4136 48
"33" 4242 42
"34" 4348 40
"35" 4518 42
"36" 4680 42
"37" 4776 40
"38" 5094 40
"39" 5312 43
"40" 5440 40
"41" 5568 42
"42" 5702 49
"43" 5854 42
"44" 6028 41
"45" 6250 41
"46" 6352 42
"47" 6448 41
"48" 6566 28
"49" 6664 42
"50" 6766 41
"51" 6988 41
"52" 7098 28
"53" 7220 43
"54" 7332 28
"55" 7454 43
"56" 7584 43
"57" 7806 28
"58" 7950 42
"59" 8064 28
"60" 8098 41
"61" 8168 42
"62" 8278 41
"63" 8392 42
"64" 8606 43
"65" 8722 41
"66" 8854 42
"67" 8968 41
"68" 9060 42
"69" 9096 42
"70" 9206 28
"71" 9294 42
"72" 9510 42
"73" 9560 43
"74" 9640 41
"75" 9766 28
"76" 9896 41
"77" 10010 28
"78" 10124 41
"79" 10236 42
"80" 10464 26
"81" 10536 42
"82" 10732 42
"83" 10842 41
"84" 10944 42
"85" 11250 41
"86" 11294 42
"87" 11394 41
"88" 11518 40
"89" 11614 42
"90" 11732 41
"91" 11838 42
"92" 12152 41
"93" 12188 42
"94" 12238 42
"95" 12424 41
"96" 12492 41
"97" 12662 28
"98" 12780 28
"99" 12894 40
"100" 12976 41
"101" 13020 42
"102" 13138 40
"103" 13246 41
"104" 13288 42
"105" 13370 42
"106" 13472 40
"107" 13572 42
"108" 13680 42
"109" 13890 42
"110" 14034 40
"111" 14164 41
"112" 14228 43
"113" 14320 42
"114" 14532 42
"115" 14634 42
"116" 15028 41
"117" 15138 28
"118" 15240 41
"119" 15346 42
"120" 15454 43
"121" 15660 42
"122" 15764 40
"123" 15952 43
"124" 16062 42
"125" 16172 42
"126" 16286 43
"127" 16420 40
"128" 16524 42
"129" 16604 42
"130" 16656 28
"131" 16828 42
"132" 16938 28
"133" 16992 42
"134" 17110 41
"135" 17232 41
"136" 17290 42
"137" 17502 40
"138" 17622 28
"139" 17738 42
"140" 18040 42
"141" 18110 40
"142" 18208 43
"143" 18306 28
"144" 18350 42
"145" 18654 41
"146" 18774 40
"147" 18882 40
"148" 18982 40
"149" 19072 40
"150" 19168 40
"151" 19280 43
"152" 19510 41
"153" 19592 42
"154" 19696 41
"155" 19820 26
"156" 19922 43
"157" 20146 28
"158" 20260 43
"159" 20388 41
"160" 20488 43
"161" 20732 42
"162" 21098 41
"163" 21138 42
"164" 21180 28
"165" 21364 41
"166" 21576 42
"167" 21692 43
"168" 21790 42
"169" 21886 40
"170" 22010 28
"171" 22114 41
"172" 22206 28
"173" 22276 42
"174" 22330 42
"175" 22438 28
"176" 22666 42
"177" 22904 41
"178" 22984 41
"179" 23024 42
"180" 23128 43
"181" 23230 28
"182" 23346 40
"183" 23440 41
"184" 23480 42
"185" 23576 41
"186" 23682 42
"187" 23906 41
"188" 24024 40
"189" 24258 42
"190" 24360 42
"191" 24558 41
"192" 24640 40
"193" 24744 41
"194" 24804 42
"195" 25082 34
"196" 25256 40
"197" 25318 41
"198" 25410 42
"199" 25516 28
"200" 25710 40
"201" 26076 41
"202" 26202 28
"203" 26248 28
"204" 26346 40
"205" 26452 42
"206" 26576 40
"207" 26690 42
"208" 26792 42
"209" 26890 41
"210" 26998 42
"211" 27098 40
"212" 27180 28
"213" 27258 41
"214" 27364 42
"215" 27504 41
"216" 27612 42
"217" 27688 42
"218" 27728 41
"219" 27832 41
"220" 27940 40
"221" 28036 28
"222" 28132 42
"223" 28264 28
"224" 28362 42
"225" 28470 42
"226" 28574 28
"227" 28678 40
"228" 28980 40
"229" 29326 41
"230" 29420 42
"231" 29576 43
"232" 29696 40
"233" 29820 42
"234" 29934 42
"235" 30068 42
"236" 30302 42
"237" 30424 42
"238" 30554 40
"239" 30768 42
"240" 30938 42
"241" 31074 42
"242" 31184 28
"243" 31310 42
"244" 31472 28
"245" 31578 40
"246" 31702 28
"247" 31966 42
"248" 32010 28
"249" 32084 42
"250" 32184 43
"251" 32276 43
"252" 32374 42
"253" 32478 28
"254" 32586 42
"255" 32682 42
"256" 32774 40
"257" 32898 41
"258" 33024 43
"259" 33358 28
"260" 33474 42
"261" 33578 41
"262" 33694 42
"263" 33732 42
"264" 33804 41
"265" 33916 41
"266" 34030 40
"267" 34224 42
"268" 34324 40
"269" 34454 43
"270" 34558 42
"271" 34868 28
"272" 34988 28
"273" 35094 41
"274" 35182 41
"275" 35298 42
"276" 0 0
"277" 0 0
"278" 0 0
"279" 0 0
"280" 0 0
"281" 0 0
"282" 0 0
"283" 0 0
"284" 0 0
"285" 0 0
"286" 0 0
"287" 0 0
"288" 0 0
"289" 0 0
"290" 0 0
"291" 0 0
"292" 0 0
"293" 0 0
"294" 0 0
"295" 0 0
"296" 0 0
"297" 0 0
"298" 0 0
"299" 0 0
"300" 0 0
