"V1" "V2"
"1" 196 69
"2" 1222 69
"3" 1292 69
"4" 1690 69
"5" 2150 69
"6" 2384 69
"7" 2740 69
"8" 3226 69
"9" 3746 69
"10" 5200 69
"11" 5358 69
"12" 9324 69
"13" 9512 69
"14" 15740 69
"15" 16208 69
"16" 23990 69
"17" 24492 69
"18" 25436 69
"19" 28112 69
"20" 29310 69
"21" 31228 69
"22" 34232 69
"23" 39732 69
"24" 42528 69
"25" 47326 69
"26" 784 70
"27" 2560 70
"28" 3096 70
"29" 3290 70
"30" 4234 70
"31" 4644 70
"32" 7358 70
"33" 7806 70
"34" 10290 70
"35" 13490 70
"36" 13942 70
"37" 14964 70
"38" 15834 70
"39" 16452 70
"40" 16750 70
"41" 18602 70
"42" 20120 70
"43" 20542 70
"44" 21560 70
"45" 22178 70
"46" 22416 70
"47" 22996 70
"48" 23772 70
"49" 24278 70
"50" 24634 70
"51" 26816 70
"52" 27284 70
"53" 27574 70
"54" 28322 70
"55" 28920 70
"56" 32236 70
"57" 32786 70
"58" 33164 70
"59" 34338 70
"60" 36246 70
"61" 36712 70
"62" 37696 70
"63" 38092 70
"64" 38306 70
"65" 39216 70
"66" 39372 70
"67" 40346 70
"68" 40602 70
"69" 40882 70
"70" 41112 70
"71" 41480 70
"72" 41684 70
"73" 42142 70
"74" 42746 70
"75" 44064 70
"76" 44206 70
"77" 44726 70
"78" 44872 70
"79" 45392 70
"80" 47958 70
"81" 48258 70
"82" 48716 70
"83" 49596 70
"84" 52000 70
"85" 1542 71
"86" 3870 71
"87" 4372 71
"88" 14780 71
"89" 19050 71
"90" 22782 71
"91" 23454 71
"92" 28776 71
"93" 30630 71
"94" 31766 71
"95" 32466 71
"96" 35650 71
"97" 38982 71
"98" 41040 71
"99" 45096 71
"100" 45686 71
"101" 46856 71
"102" 49974 71
"103" 50050 71
"104" 50684 71
"105" 50842 71
"106" 51624 71
"107" 53032 71
"108" 358 72
"109" 540 72
"110" 43368 72
"111" 47676 72
"112" 48952 72
"113" 1376 73
"114" 2314 73
"115" 2470 73
"116" 8992 73
"117" 9448 73
"118" 33484 73
"119" 34882 73
"120" 38392 73
"121" 41762 73
"122" 42368 73
"123" 44578 73
"124" 44806 73
"125" 45548 73
"126" 45760 73
"127" 46310 73
"128" 46562 73
"129" 46710 73
"130" 46994 73
"131" 47238 73
"132" 48188 73
"133" 49828 73
"134" 50482 73
"135" 52236 73
"136" 53350 73
"137" 116 74
"138" 966 74
"139" 1622 74
"140" 2638 74
"141" 8706 74
"142" 11818 74
"143" 15026 74
"144" 15198 74
"145" 15478 74
"146" 15582 74
"147" 15694 74
"148" 15792 74
"149" 15900 74
"150" 15958 74
"151" 16080 74
"152" 16274 74
"153" 16340 74
"154" 16392 74
"155" 16508 74
"156" 16570 74
"157" 16628 74
"158" 16798 74
"159" 17908 74
"160" 19320 74
"161" 19952 74
"162" 20318 74
"163" 20824 74
"164" 26376 74
"165" 27346 74
"166" 28694 74
"167" 28996 74
"168" 29166 74
"169" 29946 74
"170" 30022 74
"171" 30392 74
"172" 30730 74
"173" 31536 74
"174" 32002 74
"175" 32074 74
"176" 32154 74
"177" 32318 74
"178" 32694 74
"179" 33232 74
"180" 33326 74
"181" 33406 74
"182" 33884 74
"183" 34486 74
"184" 34556 74
"185" 34644 74
"186" 36620 74
"187" 37032 74
"188" 38222 74
"189" 39074 74
"190" 39442 74
"191" 40960 74
"192" 41402 74
"193" 41544 74
"194" 41924 74
"195" 41992 74
"196" 42220 74
"197" 42586 74
"198" 42912 74
"199" 43130 74
"200" 43982 74
"201" 44280 74
"202" 45206 74
"203" 46138 74
"204" 48040 74
"205" 49680 74
"206" 50136 74
"207" 50936 74
"208" 53280 74
"209" 36 75
"210" 870 75
"211" 1930 75
"212" 3024 75
"213" 3170 75
"214" 3440 75
"215" 4296 75
"216" 4506 75
"217" 4572 75
"218" 6208 75
"219" 6538 75
"220" 7074 75
"221" 7998 75
"222" 10360 75
"223" 10730 75
"224" 13120 75
"225" 14590 75
"226" 14846 75
"227" 14910 75
"228" 15364 75
"229" 15636 75
"230" 16854 75
"231" 17074 75
"232" 17174 75
"233" 18510 75
"234" 19120 75
"235" 20674 75
"236" 20998 75
"237" 21398 75
"238" 21638 75
"239" 22102 75
"240" 22254 75
"241" 22488 75
"242" 22560 75
"243" 23078 75
"244" 23676 75
"245" 24422 75
"246" 24554 75
"247" 24726 75
"248" 25580 75
"249" 26606 75
"250" 26736 75
"251" 26886 75
"252" 26970 75
"253" 27204 75
"254" 27730 75
"255" 29514 75
"256" 30790 75
"257" 31174 75
"258" 31386 75
"259" 31926 75
"260" 32400 75
"261" 32942 75
"262" 33018 75
"263" 33800 75
"264" 34414 75
"265" 35314 75
"266" 35816 75
"267" 36078 75
"268" 36798 75
"269" 37630 75
"270" 37918 75
"271" 38024 75
"272" 38156 75
"273" 39148 75
"274" 39660 75
"275" 40112 75
"276" 40270 75
"277" 40430 75
"278" 40752 75
"279" 41268 75
"280" 41606 75
"281" 42068 75
"282" 42438 75
"283" 42662 75
"284" 43224 75
"285" 43680 75
"286" 43832 75
"287" 44134 75
"288" 45022 75
"289" 45620 75
"290" 46400 75
"291" 46632 75
"292" 46788 75
"293" 48484 75
"294" 49034 75
