"V1" "V2"
"1" 36 75
"2" 116 74
"3" 196 69
"4" 280 61
"5" 358 72
"6" 540 72
"7" 784 70
"8" 870 75
"9" 966 74
"10" 1152 76
"11" 1222 69
"12" 1292 69
"13" 1376 73
"14" 1458 78
"15" 1542 71
"16" 1622 74
"17" 1690 69
"18" 1772 61
"19" 1856 76
"20" 1930 75
"21" 2150 69
"22" 2314 73
"23" 2384 69
"24" 2470 73
"25" 2560 70
"26" 2638 74
"27" 2740 69
"28" 2896 79
"29" 3024 75
"30" 3096 70
"31" 3170 75
"32" 3226 69
"33" 3290 70
"34" 3362 79
"35" 3440 75
"36" 3596 79
"37" 3746 69
"38" 3870 71
"39" 3968 68
"40" 4094 68
"41" 4162 61
"42" 4234 70
"43" 4296 75
"44" 4372 71
"45" 4506 75
"46" 4572 75
"47" 4644 70
"48" 4782 76
"49" 4930 62
"50" 4990 76
"51" 5066 68
"52" 5128 76
"53" 5200 69
"54" 5274 78
"55" 5358 69
"56" 5426 77
"57" 5522 62
"58" 5590 77
"59" 5796 76
"60" 5858 68
"61" 6134 76
"62" 6208 75
"63" 6272 68
"64" 6336 76
"65" 6538 75
"66" 6816 77
"67" 7074 75
"68" 7184 68
"69" 7276 61
"70" 7358 70
"71" 7450 76
"72" 7634 68
"73" 7712 61
"74" 7806 70
"75" 7890 77
"76" 7998 75
"77" 8240 60
"78" 8482 77
"79" 8706 74
"80" 8918 76
"81" 8992 73
"82" 9118 77
"83" 9188 61
"84" 9248 77
"85" 9324 69
"86" 9448 73
"87" 9512 69
"88" 9572 79
"89" 9642 76
"90" 9726 76
"91" 9792 82
"92" 9874 76
"93" 9940 55
"94" 10006 68
"95" 10216 79
"96" 10290 70
"97" 10360 75
"98" 10730 75
"99" 11260 80
"100" 11398 77
"101" 11626 77
"102" 11766 76
"103" 11818 74
"104" 11936 76
"105" 11994 76
"106" 12478 79
"107" 12550 61
"108" 12770 76
"109" 13120 75
"110" 13184 77
"111" 13242 68
"112" 13306 77
"113" 13370 77
"114" 13432 77
"115" 13490 70
"116" 13542 76
"117" 13744 76
"118" 13942 70
"119" 14246 62
"120" 14410 76
"121" 14590 75
"122" 14714 61
"123" 14780 71
"124" 14846 75
"125" 14910 75
"126" 14964 70
"127" 15026 74
"128" 15074 76
"129" 15138 55
"130" 15198 74
"131" 15252 60
"132" 15364 75
"133" 15416 60
"134" 15478 74
"135" 15534 59
"136" 15582 74
"137" 15636 75
"138" 15694 74
"139" 15740 69
"140" 15792 74
"141" 15834 70
"142" 15900 74
"143" 15958 74
"144" 16080 74
"145" 16208 69
"146" 16274 74
"147" 16340 74
"148" 16392 74
"149" 16452 70
"150" 16508 74
"151" 16570 74
"152" 16628 74
"153" 16686 59
"154" 16750 70
"155" 16798 74
"156" 16854 75
"157" 16960 61
"158" 17016 55
"159" 17074 75
"160" 17174 75
"161" 17232 76
"162" 17308 76
"163" 17754 68
"164" 17908 74
"165" 18112 61
"166" 18510 75
"167" 18602 70
"168" 18816 55
"169" 18896 58
"170" 18972 61
"171" 19050 71
"172" 19120 75
"173" 19320 74
"174" 19748 76
"175" 19874 76
"176" 19952 74
"177" 20036 60
"178" 20120 70
"179" 20194 60
"180" 20254 76
"181" 20318 74
"182" 20464 59
"183" 20542 70
"184" 20674 75
"185" 20748 58
"186" 20824 74
"187" 20906 76
"188" 20998 75
"189" 21398 75
"190" 21560 70
"191" 21638 75
"192" 21724 76
"193" 21864 76
"194" 21938 76
"195" 22024 55
"196" 22102 75
"197" 22178 70
"198" 22254 75
"199" 22330 62
"200" 22416 70
"201" 22488 75
"202" 22560 75
"203" 22704 76
"204" 22782 71
"205" 22920 76
"206" 22996 70
"207" 23078 75
"208" 23454 71
"209" 23676 75
"210" 23772 70
"211" 23916 55
"212" 23990 69
"213" 24054 60
"214" 24194 77
"215" 24278 70
"216" 24422 75
"217" 24492 69
"218" 24554 75
"219" 24634 70
"220" 24726 75
"221" 24944 63
"222" 25360 78
"223" 25436 69
"224" 25580 75
"225" 25648 78
"226" 25730 68
"227" 25802 61
"228" 25880 54
"229" 25944 76
"230" 26006 76
"231" 26080 68
"232" 26148 59
"233" 26302 76
"234" 26376 74
"235" 26446 61
"236" 26606 75
"237" 26686 67
"238" 26736 75
"239" 26816 70
"240" 26886 75
"241" 26970 75
"242" 27042 55
"243" 27204 75
"244" 27284 70
"245" 27346 74
"246" 27504 61
"247" 27574 70
"248" 27730 75
"249" 27800 59
"250" 27880 76
"251" 28112 69
"252" 28322 70
"253" 28532 76
"254" 28612 68
"255" 28694 74
"256" 28776 71
"257" 28920 70
"258" 28996 74
"259" 29082 60
"260" 29166 74
"261" 29310 69
"262" 29514 75
"263" 29750 62
"264" 29946 74
"265" 30022 74
"266" 30102 59
"267" 30178 61
"268" 30244 68
"269" 30392 74
"270" 30472 59
"271" 30554 61
"272" 30630 71
"273" 30730 74
"274" 30790 75
"275" 30870 56
"276" 30938 58
"277" 31010 55
"278" 31092 58
"279" 31174 75
"280" 31228 69
"281" 31310 61
"282" 31386 75
"283" 31462 68
"284" 31536 74
"285" 31620 55
"286" 31680 76
"287" 31766 71
"288" 31836 59
"289" 31926 75
"290" 32002 74
"291" 32074 74
"292" 32154 74
"293" 32236 70
"294" 32318 74
"295" 32400 75
"296" 32466 71
"297" 32616 60
"298" 32694 74
"299" 32786 70
"300" 32942 75
"301" 33018 75
"302" 33094 61
"303" 33164 70
"304" 33232 74
"305" 33326 74
"306" 33406 74
"307" 33484 73
"308" 33728 55
"309" 33800 75
"310" 33884 74
"311" 34148 60
"312" 34232 69
"313" 34338 70
"314" 34414 75
"315" 34486 74
