"V1" "V2"
"1" 846 63
"2" 3262 63
"3" 18602 63
"4" 19174 63
"5" 20364 63
"6" 20720 63
"7" 21112 63
"8" 21654 63
"9" 21808 63
"10" 21934 63
"11" 22042 63
"12" 23356 63
"13" 23486 63
"14" 23680 63
"15" 24144 63
"16" 24506 63
"17" 24672 63
"18" 24838 63
"19" 25398 63
"20" 26110 63
"21" 26620 63
"22" 26732 63
"23" 27948 63
"24" 30248 63
"25" 30472 63
"26" 30550 63
"27" 31004 63
"28" 32200 63
"29" 32750 63
"30" 32852 63
"31" 33388 63
"32" 33504 63
"33" 33616 63
"34" 34010 63
"35" 34290 63
"36" 34706 63
"37" 35564 63
"38" 36550 63
"39" 36720 63
"40" 37092 63
"41" 37912 63
"42" 37976 63
"43" 38428 63
"44" 38608 63
"45" 38834 63
"46" 38996 63
"47" 2724 64
"48" 4348 64
"49" 4562 64
"50" 5042 64
"51" 5820 64
"52" 5962 64
"53" 6422 64
"54" 6658 64
"55" 6938 64
"56" 7398 64
"57" 7560 64
"58" 7888 64
"59" 8840 64
"60" 10002 64
"61" 10228 64
"62" 10640 64
"63" 11152 64
"64" 11578 64
"65" 11658 64
"66" 12586 64
"67" 12806 64
"68" 13282 64
"69" 13576 64
"70" 13800 64
"71" 14232 64
"72" 14730 64
"73" 14776 64
"74" 14900 64
"75" 15288 64
"76" 15494 64
"77" 15552 64
"78" 16110 64
"79" 16352 64
"80" 16444 64
"81" 17144 64
"82" 17432 64
"83" 17814 64
"84" 18732 64
"85" 19550 64
"86" 20876 64
"87" 22698 64
"88" 22832 64
"89" 23140 64
"90" 24564 64
"91" 25232 64
"92" 25736 64
"93" 25842 64
"94" 27150 64
"95" 27614 64
"96" 27752 64
"97" 27808 64
"98" 28534 64
"99" 29872 64
"100" 33028 64
"101" 33150 64
"102" 33260 64
"103" 35282 64
"104" 36874 64
"105" 36934 64
"106" 38084 64
"107" 39332 64
"108" 468 65
"109" 1414 65
"110" 1902 65
"111" 2338 65
"112" 2432 65
"113" 5276 65
"114" 6498 65
"115" 6572 65
"116" 9226 65
"117" 9758 65
"118" 10780 65
"119" 12316 65
"120" 13660 65
"121" 14484 65
"122" 15716 65
"123" 15952 65
"124" 16508 65
"125" 17320 65
"126" 17872 65
"127" 19376 65
"128" 19602 65
"129" 19996 65
"130" 20118 65
"131" 21006 65
"132" 22210 65
"133" 22348 65
"134" 23304 65
"135" 24032 65
"136" 25010 65
"137" 26334 65
"138" 26914 65
"139" 27012 65
"140" 27348 65
"141" 28350 65
"142" 28464 65
"143" 28584 65
"144" 28972 65
"145" 29172 65
"146" 29752 65
"147" 30126 65
"148" 30880 65
"149" 31126 65
"150" 31246 65
"151" 31714 65
"152" 32364 65
"153" 35392 65
"154" 35732 65
"155" 36026 65
"156" 36076 65
"157" 36262 65
"158" 36380 65
"159" 36766 65
"160" 37146 65
"161" 37460 65
"162" 37570 65
"163" 37794 65
"164" 38028 65
"165" 38254 65
"166" 38312 65
"167" 38722 65
"168" 39046 65
"169" 52 66
"170" 2094 66
"171" 2534 66
"172" 3074 66
"173" 3808 66
"174" 4060 66
"175" 4258 66
"176" 4722 66
"177" 5662 66
"178" 6054 66
"179" 6346 66
"180" 6718 66
"181" 7322 66
"182" 7722 66
"183" 8052 66
"184" 8386 66
"185" 8516 66
"186" 10356 66
"187" 10574 66
"188" 10842 66
"189" 11298 66
"190" 11810 66
"191" 12872 66
"192" 13006 66
"193" 13350 66
"194" 14380 66
"195" 14668 66
"196" 15156 66
"197" 15354 66
"198" 17490 66
"199" 17698 66
"200" 17934 66
"201" 18906 66
"202" 19118 66
"203" 19218 66
"204" 19434 66
"205" 19716 66
"206" 19774 66
"207" 19894 66
"208" 20248 66
"209" 20766 66
"210" 21226 66
"211" 21596 66
"212" 21766 66
"213" 22764 66
"214" 23554 66
"215" 23788 66
"216" 24380 66
"217" 24442 66
"218" 24724 66
"219" 25126 66
"220" 26160 66
"221" 26670 66
"222" 26858 66
"223" 26958 66
"224" 28648 66
"225" 29292 66
"226" 29462 66
"227" 29572 66
"228" 29932 66
"229" 30316 66
"230" 30418 66
"231" 31478 66
"232" 31654 66
"233" 31910 66
"234" 32044 66
"235" 32144 66
"236" 32702 66
"237" 33778 66
"238" 33890 66
"239" 34068 66
"240" 34352 66
"241" 34470 66
"242" 34580 66
"243" 35002 66
"244" 35176 66
"245" 35452 66
"246" 35782 66
"247" 35908 66
"248" 36204 66
"249" 36440 66
"250" 36816 66
"251" 37050 66
"252" 37402 66
"253" 37622 66
"254" 38890 66
"255" 39212 66
"256" 1120 67
"257" 9074 67
"258" 12030 67
"259" 14072 67
"260" 14544 67
"261" 18090 67
"262" 20670 67
"263" 22104 67
"264" 27534 67
"265" 30060 67
"266" 31354 67
"267" 35120 67
