"V1" "V2"
"1" 11734 62
"2" 14552 62
"3" 23324 62
"4" 40184 62
"5" 2566 63
"6" 16934 63
"7" 15886 64
"8" 17696 64
"9" 20896 64
"10" 21214 64
"11" 22240 64
"12" 23942 64
"13" 25972 64
"14" 28042 64
"15" 34 65
"16" 252 65
"17" 322 65
"18" 2234 65
"19" 6608 65
"20" 8770 65
"21" 9176 65
"22" 12582 65
"23" 14924 65
"24" 16100 65
"25" 16324 65
"26" 17844 65
"27" 18612 65
"28" 19144 65
"29" 19552 65
"30" 21932 65
"31" 23254 65
"32" 23392 65
"33" 23562 65
"34" 24088 65
"35" 24998 65
"36" 26142 65
"37" 26380 65
"38" 28646 65
"39" 29314 65
"40" 31434 65
"41" 33760 65
"42" 35782 65
"43" 36332 65
"44" 36384 65
"45" 36882 65
"46" 37058 65
"47" 38152 65
"48" 698 66
"49" 770 66
"50" 1062 66
"51" 1226 66
"52" 1354 66
"53" 4040 66
"54" 6102 66
"55" 7106 66
"56" 7340 66
"57" 8228 66
"58" 9722 66
"59" 10540 66
"60" 11678 66
"61" 12002 66
"62" 12236 66
"63" 15496 66
"64" 18030 66
"65" 18362 66
"66" 18746 66
"67" 20030 66
"68" 20298 66
"69" 20638 66
"70" 21158 66
"71" 21534 66
"72" 22390 66
"73" 23190 66
"74" 24752 66
"75" 25226 66
"76" 26622 66
"77" 26998 66
"78" 27180 66
"79" 27354 66
"80" 27712 66
"81" 32008 66
"82" 32822 66
"83" 33514 66
"84" 33956 66
"85" 35878 66
"86" 38072 66
"87" 39534 66
"88" 40992 66
"89" 41498 66
"90" 41932 66
"91" 490 67
"92" 2406 67
"93" 2646 67
"94" 2948 67
"95" 3172 67
"96" 3528 67
"97" 3678 67
"98" 3902 67
"99" 5416 67
"100" 5556 67
"101" 7508 67
"102" 7742 67
"103" 8598 67
"104" 10220 67
"105" 10380 67
"106" 11934 67
"107" 12818 67
"108" 13026 67
"109" 14012 67
"110" 15294 67
"111" 15362 67
"112" 18482 67
"113" 21404 67
"114" 23004 67
"115" 26058 67
"116" 26218 67
"117" 29212 67
"118" 29928 67
"119" 30276 67
"120" 30360 67
"121" 30536 67
"122" 30944 67
"123" 32498 67
"124" 33014 67
"125" 33274 67
"126" 33632 67
"127" 33700 67
"128" 34156 67
"129" 34998 67
"130" 35112 67
"131" 35220 67
"132" 35332 67
"133" 35504 67
"134" 37434 67
"135" 37554 67
"136" 38646 67
"137" 39614 67
"138" 39744 67
"139" 39878 67
"140" 40262 67
"141" 40780 67
"142" 41580 67
"143" 43034 67
"144" 1518 68
"145" 4206 68
"146" 33450 68
"147" 34358 68
"148" 34842 68
"149" 36492 68
"150" 38808 68
"151" 40030 68
"152" 40914 68
"153" 42080 68
"154" 42218 68
"155" 42380 68
"156" 42810 68
"157" 43402 68
"158" 43478 68
"159" 1748 69
"160" 1886 69
"161" 4610 69
"162" 5182 69
"163" 6032 69
"164" 6518 69
"165" 6774 69
"166" 7252 69
"167" 7578 69
"168" 7816 69
"169" 8388 69
"170" 9392 69
"171" 9480 69
"172" 9782 69
"173" 10004 69
"174" 10140 69
"175" 37724 69
"176" 38220 69
"177" 39676 69
"178" 40442 69
"179" 41868 69
"180" 42518 69
"181" 632 70
"182" 1594 70
"183" 2158 70
"184" 3412 70
"185" 3612 70
"186" 3828 70
"187" 5872 70
"188" 8294 70
"189" 10290 70
"190" 10466 70
"191" 10702 70
"192" 12078 70
"193" 12744 70
"194" 13806 70
"195" 21990 70
"196" 22312 70
"197" 22720 70
"198" 22760 70
"199" 23112 70
"200" 23494 70
"201" 24346 70
"202" 26302 70
"203" 26550 70
"204" 26928 70
"205" 27550 70
"206" 29396 70
"207" 30436 70
"208" 30696 70
"209" 30858 70
"210" 32090 70
"211" 33386 70
"212" 33562 70
"213" 34092 70
"214" 34624 70
"215" 34944 70
"216" 35452 70
"217" 35734 70
"218" 36598 70
"219" 37158 70
"220" 37272 70
"221" 37946 70
"222" 38756 70
"223" 39810 70
"224" 41062 70
"225" 3244 71
"226" 3974 71
"227" 5042 71
"228" 5340 71
"229" 5708 71
"230" 7028 71
"231" 8138 71
"232" 8850 71
"233" 11282 71
"234" 11874 71
"235" 12518 71
"236" 13546 71
"237" 14092 71
"238" 14164 71
"239" 14620 71
"240" 15578 71
"241" 15800 71
"242" 16248 71
"243" 16620 71
"244" 17496 71
"245" 17954 71
"246" 18180 71
"247" 18878 71
"248" 19692 71
"249" 20832 71
"250" 21474 71
"251" 22518 71
"252" 27854 71
"253" 28390 71
"254" 30026 71
"255" 31270 71
"256" 32428 71
"257" 32960 71
"258" 33204 71
"259" 36820 71
"260" 37606 71
"261" 38030 71
"262" 38586 71
"263" 38868 71
"264" 39322 71
"265" 41420 71
"266" 43172 71
"267" 438 72
"268" 10870 72
"269" 13162 72
"270" 13664 72
"271" 13932 72
"272" 14848 72
"273" 15422 72
"274" 16856 72
"275" 17000 72
"276" 17624 72
"277" 19496 72
"278" 19826 72
"279" 20088 72
"280" 20708 72
"281" 21802 72
"282" 22180 72
"283" 22876 72
"284" 23680 72
"285" 24148 72
"286" 25382 72
"287" 29476 72
"288" 29836 72
"289" 31090 72
"290" 31356 72
"291" 43244 72
"292" 24836 73
"293" 27088 73
"294" 28738 73
"295" 28844 73
"296" 31606 73
"297" 32348 73
"298" 33148 73
"299" 36710 73
