"V1" "V2"
"1" 34 65
"2" 122 74
"3" 184 61
"4" 252 65
"5" 322 65
"6" 438 72
"7" 490 67
"8" 632 70
"9" 698 66
"10" 770 66
"11" 932 81
"12" 994 82
"13" 1062 66
"14" 1150 80
"15" 1226 66
"16" 1292 80
"17" 1354 66
"18" 1434 80
"19" 1518 68
"20" 1594 70
"21" 1672 79
"22" 1748 69
"23" 1822 51
"24" 1886 69
"25" 2072 79
"26" 2158 70
"27" 2234 65
"28" 2318 80
"29" 2406 67
"30" 2566 63
"31" 2646 67
"32" 2726 79
"33" 2798 55
"34" 2858 83
"35" 2948 67
"36" 3020 79
"37" 3098 54
"38" 3172 67
"39" 3244 71
"40" 3412 70
"41" 3528 67
"42" 3612 70
"43" 3678 67
"44" 3828 70
"45" 3902 67
"46" 3974 71
"47" 4040 66
"48" 4206 68
"49" 4276 80
"50" 4448 52
"51" 4522 81
"52" 4610 69
"53" 4672 51
"54" 4754 81
"55" 4810 55
"56" 4888 80
"57" 4962 80
"58" 5042 71
"59" 5110 81
"60" 5182 69
"61" 5340 71
"62" 5416 67
"63" 5486 82
"64" 5556 67
"65" 5624 81
"66" 5708 71
"67" 5872 70
"68" 5956 80
"69" 6032 69
"70" 6102 66
"71" 6346 56
"72" 6436 81
"73" 6518 69
"74" 6608 65
"75" 6680 80
"76" 6774 69
"77" 6946 79
"78" 7028 71
"79" 7106 66
"80" 7170 79
"81" 7252 69
"82" 7340 66
"83" 7422 80
"84" 7508 67
"85" 7578 69
"86" 7742 67
"87" 7816 69
"88" 7980 56
"89" 8054 50
"90" 8138 71
"91" 8228 66
"92" 8294 70
"93" 8388 69
"94" 8598 67
"95" 8686 80
"96" 8770 65
"97" 8850 71
"98" 8930 80
"99" 9016 55
"100" 9176 65
"101" 9310 50
"102" 9392 69
"103" 9480 69
"104" 9652 55
"105" 9722 66
"106" 9782 69
"107" 9856 51
"108" 9928 80
"109" 10004 69
"110" 10072 51
"111" 10140 69
"112" 10220 67
"113" 10290 70
"114" 10380 67
"115" 10466 70
"116" 10540 66
"117" 10618 78
"118" 10702 70
"119" 10870 72
"120" 10958 52
"121" 11104 61
"122" 11226 61
"123" 11282 71
"124" 11604 56
"125" 11678 66
"126" 11734 62
"127" 11806 76
"128" 11874 71
"129" 11934 67
"130" 12002 66
"131" 12078 70
"132" 12156 57
"133" 12236 66
"134" 12458 75
"135" 12518 71
"136" 12582 65
"137" 12744 70
"138" 12818 67
"139" 12960 75
"140" 13026 67
"141" 13098 60
"142" 13162 72
"143" 13234 56
"144" 13302 59
"145" 13378 74
"146" 13546 71
"147" 13664 72
"148" 13806 70
"149" 13874 77
"150" 13932 72
"151" 14012 67
"152" 14092 71
"153" 14164 71
"154" 14308 78
"155" 14400 57
"156" 14552 62
"157" 14620 71
"158" 14686 51
"159" 14768 77
"160" 14848 72
"161" 14924 65
"162" 14996 77
"163" 15078 50
"164" 15136 79
"165" 15294 67
"166" 15362 67
"167" 15422 72
"168" 15496 66
"169" 15578 71
"170" 15648 50
"171" 15718 79
"172" 15800 71
"173" 15886 64
"174" 16032 78
"175" 16100 65
"176" 16168 78
"177" 16248 71
"178" 16324 65
"179" 16466 57
"180" 16556 50
"181" 16620 71
"182" 16790 79
"183" 16856 72
"184" 16934 63
"185" 17000 72
"186" 17134 78
"187" 17288 77
"188" 17496 71
"189" 17562 50
"190" 17624 72
"191" 17696 64
"192" 17770 76
"193" 17844 65
"194" 17886 60
"195" 17954 71
"196" 18030 66
"197" 18180 71
"198" 18290 61
"199" 18362 66
"200" 18426 76
"201" 18482 67
"202" 18546 76
"203" 18612 65
"204" 18746 66
"205" 18878 71
"206" 18936 57
"207" 19088 57
"208" 19144 65
"209" 19356 77
"210" 19430 76
"211" 19496 72
"212" 19552 65
"213" 19620 78
"214" 19692 71
"215" 19826 72
"216" 19890 50
"217" 19964 78
"218" 20030 66
"219" 20088 72
"220" 20152 81
"221" 20228 77
"222" 20298 66
"223" 20370 78
"224" 20430 78
"225" 20494 51
"226" 20638 66
"227" 20708 72
"228" 20832 71
"229" 20896 64
"230" 21014 56
"231" 21084 78
"232" 21158 66
"233" 21214 64
"234" 21272 78
"235" 21404 67
"236" 21474 71
"237" 21534 66
"238" 21598 79
"239" 21740 78
"240" 21802 72
"241" 21852 78
"242" 21932 65
"243" 21990 70
"244" 22054 51
"245" 22108 77
"246" 22180 72
"247" 22240 64
"248" 22312 70
"249" 22390 66
"250" 22458 51
"251" 22518 71
"252" 22656 79
"253" 22720 70
"254" 22760 70
"255" 22818 77
"256" 22876 72
"257" 22946 77
"258" 23004 67
"259" 23112 70
"260" 23190 66
"261" 23254 65
"262" 23324 62
"263" 23392 65
"264" 23494 70
"265" 23562 65
"266" 23618 79
"267" 23680 72
"268" 23742 50
"269" 23862 77
"270" 23942 64
"271" 24010 61
"272" 24088 65
"273" 24148 72
"274" 24222 58
"275" 24286 77
"276" 24346 70
"277" 24410 78
"278" 24752 66
"279" 24836 73
"280" 24998 65
"281" 25144 78
"282" 25226 66
"283" 25304 80
"284" 25382 72
"285" 25466 50
"286" 25526 80
"287" 25594 56
"288" 25680 79
"289" 25760 56
"290" 25898 81
"291" 25972 64
"292" 26058 67
"293" 26142 65
"294" 26218 67
"295" 26302 70
"296" 26380 65
"297" 26550 70
"298" 26622 66
"299" 26700 78
"300" 26778 50
"301" 26928 70
"302" 26998 66
"303" 27088 73
"304" 27180 66
"305" 27268 60
"306" 27354 66
"307" 27450 78
"308" 27550 70
"309" 27712 66
"310" 27854 71
"311" 27950 78
"312" 28042 64
"313" 28228 57
"314" 28312 76
"315" 28390 71
"316" 28646 65
"317" 28738 73
"318" 28844 73
"319" 29032 75
"320" 29212 67
"321" 29314 65
"322" 29396 70
"323" 29476 72
"324" 29558 75
"325" 29662 57
"326" 29750 76
"327" 29836 72
"328" 29928 67
"329" 30026 71
"330" 30196 74
"331" 30276 67
"332" 30360 67
"333" 30436 70
"334" 30536 67
"335" 30696 70
"336" 30776 75
"337" 30858 70
"338" 30944 67
"339" 31090 72
"340" 31178 74
"341" 31270 71
"342" 31356 72
"343" 31434 65
"344" 31522 74
"345" 31606 73
"346" 31686 57
"347" 31840 74
"348" 32008 66
"349" 32090 70
"350" 32348 73
"351" 32428 71
"352" 32498 67
"353" 32568 74
"354" 32678 57
"355" 32822 66
"356" 32960 71
"357" 33014 67
"358" 33088 74
"359" 33148 73
"360" 33204 71
"361" 33274 67
"362" 33386 70
"363" 33450 68
"364" 33514 66
"365" 33562 70
"366" 33632 67
"367" 33700 67
"368" 33760 65
"369" 33826 52
"370" 33898 75
"371" 33956 66
"372" 34016 75
"373" 34092 70
"374" 34156 67
"375" 34230 76
"376" 34300 55
"377" 34358 68
"378" 34624 70
"379" 34742 58
"380" 34794 59
"381" 34842 68
"382" 34896 74
"383" 34944 70
"384" 34998 67
"385" 35112 67
"386" 35166 75
"387" 35220 67
"388" 35278 74
"389" 35332 67
"390" 35384 74
"391" 35452 70
"392" 35504 67
"393" 35554 74
"394" 35734 70
"395" 35782 65
"396" 35878 66
"397" 35932 76
"398" 35990 75
"399" 36046 51
"400" 36102 51
"401" 36168 75
"402" 36224 55
"403" 36332 65
"404" 36384 65
"405" 36440 75
"406" 36492 68
"407" 36550 58
"408" 36598 70
"409" 36710 73
"410" 36758 75
"411" 36820 71
"412" 36882 65
"413" 37058 65
"414" 37158 70
"415" 37272 70
"416" 37372 75
"417" 37434 67
"418" 37492 75
"419" 37554 67
"420" 37606 71
"421" 37668 59
"422" 37724 69
"423" 37894 75
"424" 37946 70
"425" 37990 75
"426" 38030 71
"427" 38072 66
"428" 38114 75
"429" 38152 65
"430" 38220 69
"431" 38262 76
"432" 38474 56
"433" 38586 71
"434" 38646 67
"435" 38756 70
"436" 38808 68
"437" 38868 71
"438" 38922 52
"439" 38978 75
"440" 39048 52
"441" 39322 71
"442" 39468 77
"443" 39534 66
"444" 39614 67
"445" 39676 69
"446" 39744 67
"447" 39810 70
"448" 39878 67
"449" 40030 68
"450" 40184 62
"451" 40262 67
"452" 40342 76
"453" 40442 69
"454" 40596 51
"455" 40712 61
"456" 40780 67
"457" 40842 77
"458" 40914 68
"459" 40992 66
"460" 41062 70
"461" 41126 61
"462" 41342 60
"463" 41420 71
"464" 41498 66
"465" 41580 67
"466" 41786 76
"467" 41868 69
"468" 41932 66
"469" 42004 76
"470" 42080 68
"471" 42144 61
"472" 42218 68
"473" 42302 76
"474" 42380 68
"475" 42444 77
"476" 42518 69
"477" 42582 52
"478" 42662 76
"479" 42810 68
"480" 42888 77
"481" 43034 67
"482" 43106 77
"483" 43172 71
"484" 43244 72
"485" 43314 76
"486" 43402 68
"487" 43478 68
"488" 43560 75
