"V1" "V2"
"1" 876 61
"2" 1848 61
"3" 6852 61
"4" 8482 61
"5" 52088 61
"6" 8760 62
"7" 31212 62
"8" 34940 62
"9" 24198 63
"10" 24570 63
"11" 33938 63
"12" 2764 64
"13" 27638 64
"14" 51078 64
"15" 2132 65
"16" 2978 65
"17" 7992 65
"18" 12422 65
"19" 15506 65
"20" 15856 65
"21" 17490 65
"22" 26986 65
"23" 30584 65
"24" 31570 65
"25" 34792 65
"26" 36166 65
"27" 36314 65
"28" 41404 65
"29" 42006 65
"30" 196 66
"31" 608 66
"32" 1940 66
"33" 3692 66
"34" 4384 66
"35" 5242 66
"36" 5344 66
"37" 6946 66
"38" 8958 66
"39" 10676 66
"40" 11068 66
"41" 11338 66
"42" 13136 66
"43" 13222 66
"44" 15764 66
"45" 17600 66
"46" 17778 66
"47" 20000 66
"48" 20090 66
"49" 21240 66
"50" 21328 66
"51" 22770 66
"52" 23808 66
"53" 24298 66
"54" 25560 66
"55" 27264 66
"56" 27552 66
"57" 27846 66
"58" 29178 66
"59" 29502 66
"60" 35776 66
"61" 36236 66
"62" 39300 66
"63" 39846 66
"64" 42644 66
"65" 42906 66
"66" 46894 66
"67" 47170 66
"68" 48108 66
"69" 50244 66
"70" 50680 66
"71" 54994 66
"72" 55488 66
"73" 57490 66
"74" 58384 66
"75" 58824 66
"76" 60134 66
"77" 60694 66
"78" 62630 66
"79" 524 67
"80" 696 67
"81" 1434 67
"82" 1732 67
"83" 9044 67
"84" 9492 67
"85" 9726 67
"86" 10240 67
"87" 11766 67
"88" 12152 67
"89" 12596 67
"90" 13042 67
"91" 13762 67
"92" 14780 67
"93" 14970 67
"94" 17070 67
"95" 18074 67
"96" 18178 67
"97" 18374 67
"98" 18568 67
"99" 19192 67
"100" 19714 67
"101" 20176 67
"102" 24000 67
"103" 24108 67
"104" 24918 67
"105" 26670 67
"106" 29988 67
"107" 30372 67
"108" 30908 67
"109" 31438 67
"110" 31706 67
"111" 31860 67
"112" 31942 67
"113" 32098 67
"114" 32476 67
"115" 32556 67
"116" 33282 67
"117" 33454 67
"118" 33546 67
"119" 34178 67
"120" 34256 67
"121" 34336 67
"122" 34638 67
"123" 35096 67
"124" 35620 67
"125" 36086 67
"126" 36460 67
"127" 36716 67
"128" 37032 67
"129" 37110 67
"130" 37258 67
"131" 37332 67
"132" 38352 67
"133" 38572 67
"134" 38832 67
"135" 39036 67
"136" 39120 67
"137" 39592 67
"138" 39672 67
"139" 39746 67
"140" 40048 67
"141" 40912 67
"142" 41304 67
"143" 41564 67
"144" 42462 67
"145" 43184 67
"146" 43378 67
"147" 43566 67
"148" 43758 67
"149" 44030 67
"150" 44204 67
"151" 44572 67
"152" 44664 67
"153" 45486 67
"154" 45648 67
"155" 46608 67
"156" 47080 67
"157" 47282 67
"158" 47602 67
"159" 47914 67
"160" 48304 67
"161" 48406 67
"162" 49826 67
"163" 50034 67
"164" 50146 67
"165" 50452 67
"166" 50888 67
"167" 50992 67
"168" 52376 67
"169" 52736 67
"170" 53300 67
"171" 53636 67
"172" 54146 67
"173" 56852 67
"174" 57304 67
"175" 59752 67
"176" 61474 67
"177" 63662 67
"178" 64774 67
"179" 64896 67
"180" 278 68
"181" 2326 68
"182" 3188 68
"183" 3942 68
"184" 4882 68
"185" 6492 68
"186" 6674 68
"187" 8582 68
"188" 9136 68
"189" 11672 68
"190" 11948 68
"191" 12332 68
"192" 12862 68
"193" 13408 68
"194" 13682 68
"195" 14218 68
"196" 14682 68
"197" 19310 68
"198" 21144 68
"199" 21432 68
"200" 21836 68
"201" 22504 68
"202" 22674 68
"203" 23614 68
"204" 24662 68
"205" 25018 68
"206" 25656 68
"207" 25954 68
"208" 26890 68
"209" 27452 68
"210" 27742 68
"211" 28038 68
"212" 28210 68
"213" 28798 68
"214" 29708 68
"215" 30734 68
"216" 31062 68
"217" 32722 68
"218" 32880 68
"219" 32954 68
"220" 33618 68
"221" 33784 68
"222" 34110 68
"223" 35172 68
"224" 37176 68
"225" 41110 68
"226" 41918 68
"227" 42736 68
"228" 44384 68
"229" 45236 68
"230" 47702 68
"231" 48192 68
"232" 49324 68
"233" 51202 68
"234" 53214 68
"235" 53946 68
"236" 55392 68
"237" 57132 68
"238" 58218 68
"239" 58902 68
"240" 59260 68
"241" 59940 68
"242" 60296 68
"243" 60382 68
"244" 60790 68
"245" 60880 68
"246" 61064 68
"247" 62018 68
"248" 63026 68
"249" 63942 68
"250" 65374 68
"251" 116 69
"252" 51302 69
"253" 51834 69
"254" 52264 69
"255" 53532 69
"256" 53836 69
"257" 54668 69
"258" 55680 69
"259" 56476 69
"260" 57760 69
"261" 62450 69
"262" 63478 69
"263" 63754 69
"264" 54474 70
"265" 58316 70
