"V1" "V2"
"1" 116 69
"2" 196 66
"3" 278 68
"4" 524 67
"5" 608 66
"6" 696 67
"7" 788 75
"8" 876 61
"9" 1014 49
"10" 1170 75
"11" 1338 75
"12" 1434 67
"13" 1532 49
"14" 1632 52
"15" 1732 67
"16" 1848 61
"17" 1940 66
"18" 2046 75
"19" 2132 65
"20" 2228 76
"21" 2326 68
"22" 2564 75
"23" 2662 53
"24" 2764 64
"25" 2868 76
"26" 2978 65
"27" 3098 49
"28" 3188 68
"29" 3464 76
"30" 3692 66
"31" 3942 68
"32" 4180 76
"33" 4308 52
"34" 4384 66
"35" 4630 76
"36" 4882 68
"37" 5242 66
"38" 5344 66
"39" 5422 75
"40" 5894 52
"41" 6406 50
"42" 6492 68
"43" 6674 68
"44" 6852 61
"45" 6946 66
"46" 7028 75
"47" 7120 52
"48" 7520 75
"49" 7992 65
"50" 8134 52
"51" 8208 49
"52" 8298 75
"53" 8482 61
"54" 8582 68
"55" 8664 75
"56" 8760 62
"57" 8860 52
"58" 8958 66
"59" 9044 67
"60" 9136 68
"61" 9492 67
"62" 9726 67
"63" 9960 75
"64" 10240 67
"65" 10426 75
"66" 10676 66
"67" 10802 75
"68" 10898 76
"69" 11068 66
"70" 11164 75
"71" 11338 66
"72" 11592 50
"73" 11672 68
"74" 11766 67
"75" 11854 76
"76" 11948 68
"77" 12046 76
"78" 12152 67
"79" 12244 76
"80" 12332 68
"81" 12422 65
"82" 12496 75
"83" 12596 67
"84" 12686 53
"85" 12778 49
"86" 12862 68
"87" 12946 76
"88" 13042 67
"89" 13136 66
"90" 13222 66
"91" 13320 76
"92" 13408 68
"93" 13588 76
"94" 13682 68
"95" 13762 67
"96" 13932 52
"97" 14026 50
"98" 14126 75
"99" 14218 68
"100" 14394 75
"101" 14582 75
"102" 14682 68
"103" 14780 67
"104" 14876 74
"105" 14970 67
"106" 15054 76
"107" 15284 75
"108" 15506 65
"109" 15764 66
"110" 15856 65
"111" 16168 75
"112" 16422 75
"113" 16660 49
"114" 16880 75
"115" 17070 67
"116" 17284 75
"117" 17490 65
"118" 17600 66
"119" 17676 52
"120" 17778 66
"121" 17884 49
"122" 17986 75
"123" 18074 67
"124" 18178 67
"125" 18274 75
"126" 18374 67
"127" 18472 76
"128" 18568 67
"129" 18674 75
"130" 18762 52
"131" 18870 75
"132" 19072 76
"133" 19192 67
"134" 19310 68
"135" 19410 76
"136" 19604 77
"137" 19714 67
"138" 19908 77
"139" 20000 66
"140" 20090 66
"141" 20176 67
"142" 20272 49
"143" 20370 77
"144" 20548 77
"145" 20764 76
"146" 20854 75
