"V1" "V2"
"1" 3600 70
"2" 4280 70
"3" 48006 70
"4" 49612 70
"5" 262 71
"6" 2500 71
"7" 3454 71
"8" 4618 71
"9" 4846 71
"10" 5856 71
"11" 9614 71
"12" 20072 71
"13" 23180 71
"14" 25584 71
"15" 30508 71
"16" 33086 71
"17" 34894 71
"18" 35044 71
"19" 36912 71
"20" 37542 71
"21" 39846 71
"22" 40086 71
"23" 40630 71
"24" 40798 71
"25" 44736 71
"26" 45782 71
"27" 46872 71
"28" 48520 71
"29" 49860 71
"30" 50048 71
"31" 50806 71
"32" 54092 71
"33" 56138 71
"34" 57278 71
"35" 58262 71
"36" 58432 71
"37" 61218 71
"38" 62122 71
"39" 62608 71
"40" 62810 71
"41" 552 72
"42" 866 72
"43" 1212 72
"44" 2104 72
"45" 2964 72
"46" 3818 72
"47" 3974 72
"48" 5196 72
"49" 5700 72
"50" 5776 72
"51" 6938 72
"52" 7086 72
"53" 8174 72
"54" 8408 72
"55" 8616 72
"56" 9042 72
"57" 9274 72
"58" 9968 72
"59" 10772 72
"60" 10850 72
"61" 11010 72
"62" 11174 72
"63" 11256 72
"64" 11508 72
"65" 11586 72
"66" 11670 72
"67" 13636 72
"68" 13808 72
"69" 13964 72
"70" 14054 72
"71" 14248 72
"72" 14322 72
"73" 14586 72
"74" 14928 72
"75" 15390 72
"76" 16796 72
"77" 18222 72
"78" 18490 72
"79" 18692 72
"80" 19436 72
"81" 20356 72
"82" 20556 72
"83" 20660 72
"84" 21550 72
"85" 22002 72
"86" 22382 72
"87" 22920 72
"88" 23098 72
"89" 23872 72
"90" 27192 72
"91" 30710 72
"92" 31016 72
"93" 31106 72
"94" 31290 72
"95" 33412 72
"96" 33856 72
"97" 34052 72
"98" 34232 72
"99" 34714 72
"100" 35352 72
"101" 35448 72
"102" 35978 72
"103" 36640 72
"104" 36820 72
"105" 37294 72
"106" 37730 72
"107" 37834 72
"108" 38010 72
"109" 38378 72
"110" 38652 72
"111" 39116 72
"112" 39746 72
"113" 39996 72
"114" 40266 72
"115" 40974 72
"116" 41850 72
"117" 42542 72
"118" 43336 72
"119" 43554 72
"120" 43728 72
"121" 44206 72
"122" 44896 72
"123" 45074 72
"124" 45256 72
"125" 45702 72
"126" 45872 72
"127" 46018 72
"128" 46280 72
"129" 46448 72
"130" 46616 72
"131" 46784 72
"132" 47062 72
"133" 47250 72
"134" 47492 72
"135" 47656 72
"136" 48428 72
"137" 48624 72
"138" 48712 72
"139" 48890 72
"140" 49360 72
"141" 49778 72
"142" 50620 72
"143" 50718 72
"144" 51154 72
"145" 51416 72
"146" 51584 72
"147" 51948 72
"148" 52478 72
"149" 53100 72
"150" 53194 72
"151" 53492 72
"152" 53982 72
"153" 54208 72
"154" 55026 72
"155" 55900 72
"156" 56896 72
"157" 57188 72
"158" 57460 72
"159" 58000 72
"160" 59104 72
"161" 59506 72
"162" 61116 72
"163" 61426 72
"164" 61624 72
"165" 62516 72
"166" 63514 72
"167" 63940 72
"168" 64334 72
"169" 64624 72
"170" 64836 72
"171" 722 73
"172" 1032 73
"173" 2698 73
"174" 3386 73
"175" 3884 73
"176" 5482 73
"177" 5630 73
"178" 6006 73
"179" 6212 73
"180" 6362 73
"181" 6442 73
"182" 6656 73
"183" 7160 73
"184" 7238 73
"185" 7438 73
"186" 7880 73
"187" 8106 73
"188" 8558 73
"189" 8900 73
"190" 9128 73
"191" 9452 73
"192" 9750 73
"193" 10114 73
"194" 10540 73
"195" 11414 73
"196" 11904 73
"197" 12056 73
"198" 12730 73
"199" 13186 73
"200" 13378 73
"201" 13560 73
"202" 15234 73
"203" 15306 73
"204" 15828 73
"205" 17698 73
"206" 17886 73
"207" 17970 73
"208" 18054 73
"209" 18582 73
"210" 19054 73
"211" 19534 73
"212" 19790 73
"213" 19978 73
"214" 20942 73
"215" 23694 73
"216" 24678 73
"217" 24776 73
"218" 26216 73
"219" 26720 73
"220" 27108 73
"221" 27284 73
"222" 27766 73
"223" 28426 73
"224" 28708 73
"225" 30062 73
"226" 30282 73
"227" 30618 73
"228" 31484 73
"229" 32192 73
"230" 32384 73
"231" 32630 73
"232" 33324 73
"233" 33758 73
"234" 34144 73
"235" 34976 73
"236" 35196 73
"237" 35630 73
"238" 36070 73
"239" 36536 73
"240" 37466 73
"241" 38182 73
"242" 39448 73
"243" 40442 73
"244" 40718 73
"245" 41346 73
"246" 41438 73
"247" 42184 73
"248" 42630 73
"249" 42802 73
"250" 43240 73
"251" 43442 73
"252" 43628 73
"253" 44110 73
"254" 44478 73
"255" 45170 73
"256" 46110 73
"257" 46962 73
"258" 47934 73
"259" 51240 73
"260" 52728 73
"261" 54304 73
"262" 54486 73
"263" 57018 73
"264" 57556 73
"265" 57716 73
"266" 58160 73
"267" 58342 73
"268" 59204 73
"269" 59416 73
"270" 59708 73
"271" 60366 73
"272" 62916 73
"273" 63112 73
"274" 63214 73
"275" 2310 74
"276" 2400 74
"277" 3216 74
"278" 3754 74
"279" 4208 74
"280" 4930 74
"281" 5268 74
"282" 5324 74
"283" 5938 74
"284" 6868 74
"285" 8824 74
"286" 11100 74
"287" 11990 74
"288" 14144 74
"289" 15144 74
"290" 16964 74
"291" 17522 74
"292" 18136 74
"293" 18400 74
"294" 19262 74
"295" 19366 74
"296" 19706 74
"297" 22468 74
"298" 23256 74
"299" 25134 74
"300" 26106 74
"301" 26300 74
"302" 26618 74
"303" 26816 74
"304" 26918 74
"305" 27470 74
"306" 28052 74
"307" 28622 74
"308" 29194 74
"309" 30808 74
"310" 31588 74
"311" 31838 74
"312" 32848 74
"313" 33954 74
"314" 2206 75
"315" 2878 75
"316" 3056 75
"317" 3522 75
"318" 5554 75
"319" 6080 75
"320" 7308 75
"321" 7516 75
"322" 7670 75
"323" 8258 75
"324" 9204 75
"325" 11330 75
"326" 11754 75
"327" 12378 75
"328" 13886 75
"329" 15904 75
"330" 16310 75
"331" 16562 75
"332" 18308 75
"333" 19892 75
"334" 20172 75
"335" 20466 75
"336" 23788 75
"337" 27858 75
"338" 29830 75
"339" 31380 75
"340" 34530 75
"341" 35532 75
"342" 53406 75
"343" 420 76
"344" 1132 76
"345" 1482 76
"346" 3682 76
"347" 4556 76
"348" 4998 76
"349" 7012 76
"350" 7814 76
"351" 8672 76
"352" 9890 76
"353" 10334 76
"354" 10940 76
"355" 12222 76
"356" 12546 76
"357" 12640 76
"358" 13004 76
"359" 13092 76
"360" 13294 76
"361" 14420 76
"362" 15480 76
"363" 34330 76
"364" 34618 76
"365" 45932 76
"366" 46192 76
"367" 47160 76
"368" 47404 76
"369" 47556 76
"370" 48076 76
"371" 48800 76
"372" 50132 76
"373" 51664 76
"374" 55286 76
"375" 56654 76
"376" 58524 76
"377" 59306 76
"378" 59614 76
"379" 60568 76
"380" 61524 76
"381" 64732 76
"382" 800 77
"383" 1740 77
"384" 8962 77
"385" 37916 77
"386" 38564 77
"387" 38946 77
"388" 45616 77
"389" 46370 77
"390" 49522 77
"391" 50542 77
"392" 51056 77
"393" 51840 77
"394" 53898 77
"395" 54404 77
"396" 54590 77
"397" 57104 77
"398" 57378 77
"399" 58070 77
"400" 58814 77
"401" 59804 77
"402" 60014 77
"403" 60800 77
"404" 61008 77
"405" 61336 77
"406" 62234 77
"407" 63012 77
"408" 63812 77
"409" 64950 77
"410" 65220 77
"411" 39640 78
"412" 39930 78
"413" 40178 78
"414" 40890 78
"415" 41058 78
"416" 44816 78
"417" 51340 78
"418" 57912 78
