"V1" "V2"
"1" 32 59
"2" 184 59
"3" 262 71
"4" 420 76
"5" 552 72
"6" 632 62
"7" 722 73
"8" 800 77
"9" 866 72
"10" 940 59
"11" 1032 73
"12" 1132 76
"13" 1212 72
"14" 1310 79
"15" 1410 60
"16" 1482 76
"17" 1642 83
"18" 1740 77
"19" 1842 79
"20" 1918 80
"21" 1996 59
"22" 2104 72
"23" 2206 75
"24" 2310 74
"25" 2400 74
"26" 2500 71
"27" 2600 61
"28" 2698 73
"29" 2788 59
"30" 2878 75
"31" 2964 72
"32" 3056 75
"33" 3216 74
"34" 3386 73
"35" 3454 71
"36" 3522 75
"37" 3600 70
"38" 3682 76
"39" 3754 74
"40" 3818 72
"41" 3884 73
"42" 3974 72
"43" 4130 87
"44" 4208 74
"45" 4280 70
"46" 4348 59
"47" 4420 60
"48" 4556 76
"49" 4618 71
"50" 4696 61
"51" 4846 71
"52" 4930 74
"53" 4998 76
"54" 5196 72
"55" 5268 74
"56" 5324 74
"57" 5482 73
"58" 5554 75
"59" 5630 73
"60" 5700 72
"61" 5776 72
"62" 5856 71
"63" 5938 74
"64" 6006 73
"65" 6080 75
"66" 6150 59
"67" 6212 73
"68" 6362 73
"69" 6442 73
"70" 6518 60
"71" 6656 73
"72" 6796 59
"73" 6868 74
"74" 6938 72
"75" 7012 76
"76" 7086 72
"77" 7160 73
"78" 7238 73
"79" 7308 75
"80" 7376 60
"81" 7438 73
"82" 7516 75
"83" 7592 59
"84" 7670 75
"85" 7744 59
"86" 7814 76
"87" 7880 73
"88" 7956 58
"89" 8036 59
"90" 8106 73
"91" 8174 72
"92" 8258 75
"93" 8408 72
"94" 8558 73
"95" 8616 72
"96" 8672 76
"97" 8746 59
"98" 8824 74
"99" 8900 73
"100" 8962 77
"101" 9042 72
"102" 9128 73
"103" 9204 75
"104" 9274 72
"105" 9452 73
"106" 9520 59
"107" 9614 71
"108" 9672 59
"109" 9750 73
"110" 9890 76
"111" 9968 72
"112" 10034 60
"113" 10114 73
"114" 10182 59
"115" 10334 76
"116" 10418 59
"117" 10478 60
"118" 10540 73
"119" 10626 59
"120" 10772 72
"121" 10850 72
"122" 10940 76
"123" 11010 72
"124" 11100 74
"125" 11174 72
"126" 11256 72
"127" 11330 75
"128" 11414 73
"129" 11508 72
"130" 11586 72
"131" 11670 72
"132" 11754 75
"133" 11828 59
"134" 11904 73
"135" 11990 74
"136" 12056 73
"137" 12222 76
"138" 12378 75
"139" 12462 58
"140" 12546 76
"141" 12640 76
"142" 12730 73
"143" 12908 59
"144" 13004 76
"145" 13092 76
"146" 13186 73
"147" 13294 76
"148" 13378 73
"149" 13560 73
"150" 13636 72
"151" 13720 59
"152" 13808 72
"153" 13886 75
"154" 13964 72
"155" 14054 72
"156" 14144 74
"157" 14248 72
"158" 14322 72
"159" 14420 76
"160" 14586 72
"161" 14684 58
"162" 14928 72
"163" 15144 74
"164" 15234 73
"165" 15306 73
"166" 15390 72
"167" 15480 76
"168" 15828 73
"169" 15904 75
"170" 16310 75
"171" 16562 75
"172" 16796 72
"173" 16964 74
"174" 17328 59
"175" 17522 74
"176" 17698 73
"177" 17796 59
"178" 17886 73
"179" 17970 73
"180" 18054 73
"181" 18136 74
"182" 18222 72
"183" 18308 75
"184" 18400 74
"185" 18490 72
"186" 18582 73
"187" 18692 72
"188" 18802 59
"189" 19054 73
"190" 19262 74
"191" 19366 74
"192" 19436 72
"193" 19534 73
"194" 19618 58
"195" 19706 74
"196" 19790 73
"197" 19892 75
"198" 19978 73
"199" 20072 71
"200" 20172 75
"201" 20262 59
"202" 20356 72
"203" 20466 75
"204" 20556 72
"205" 20660 72
"206" 20748 59
"207" 20942 73
"208" 21550 72
"209" 22002 72
"210" 22382 72
"211" 22468 74
"212" 22696 58
"213" 22920 72
"214" 23098 72
"215" 23180 71
"216" 23256 74
"217" 23348 58
"218" 23694 73
"219" 23788 75
"220" 23872 72
"221" 24678 73
"222" 24776 73
"223" 25134 74
"224" 25584 71
"225" 26106 74
"226" 26216 73
"227" 26300 74
"228" 26408 59
"229" 26516 59
"230" 26618 74
"231" 26720 73
"232" 26816 74
"233" 26918 74
"234" 27108 73
"235" 27192 72
"236" 27284 73
"237" 27374 59
"238" 27470 74
"239" 27570 59
"240" 27766 73
"241" 27858 75
"242" 28052 74
"243" 28140 59
"244" 28230 59
"245" 28426 73
"246" 28622 74
"247" 28708 73
"248" 29086 59
"249" 29194 74
"250" 29280 58
"251" 29406 59
"252" 29830 75
"253" 30062 73
"254" 30282 73
"255" 30508 71
"256" 30618 73
"257" 30710 72
"258" 30808 74
"259" 31016 72
"260" 31106 72
"261" 31290 72
"262" 31380 75
"263" 31484 73
"264" 31588 74
"265" 31666 58
"266" 31760 58
"267" 31838 74
"268" 32014 59
"269" 32102 59
"270" 32192 73
"271" 32292 58
"272" 32384 73
"273" 32630 73
"274" 32848 74
"275" 33086 71
"276" 33228 59
"277" 33324 73
"278" 33412 72
"279" 33588 58
"280" 33758 73
"281" 33856 72
"282" 33954 74
"283" 34052 72
"284" 34144 73
"285" 34232 72
"286" 34330 76
"287" 34426 58
"288" 34530 75
"289" 34618 76
"290" 34714 72
"291" 34894 71
"292" 34976 73
"293" 35044 71
"294" 35196 73
"295" 35352 72
"296" 35448 72
"297" 35532 75
"298" 35630 73
"299" 35894 59
"300" 35978 72
"301" 36070 73
"302" 36158 59
"303" 36344 59
"304" 36536 73
"305" 36640 72
"306" 36820 72
"307" 36912 71
"308" 37196 60
"309" 37294 72
"310" 37466 73
"311" 37542 71
"312" 37730 72
"313" 37834 72
"314" 37916 77
"315" 38010 72
"316" 38182 73
"317" 38296 62
"318" 38378 72
"319" 38564 77
"320" 38652 72
"321" 38946 77
"322" 39116 72
"323" 39280 57
"324" 39448 73
"325" 39538 57
"326" 39640 78
"327" 39746 72
"328" 39846 71
"329" 39930 78
"330" 39996 72
"331" 40086 71
"332" 40178 78
"333" 40266 72
"334" 40442 73
"335" 40546 58
"336" 40630 71
"337" 40718 73
"338" 40798 71
"339" 40890 78
"340" 40974 72
"341" 41058 78
"342" 41158 58
"343" 41244 57
"344" 41346 73
"345" 41438 73
"346" 41534 58
