"V1" "V2"
"1" 162 70
"2" 164 72
"3" 480 69
"4" 482 71
"5" 930 64
"6" 932 66
"7" 1086 66
"8" 1088 66
"9" 1272 70
"10" 1274 70
"11" 1602 64
"12" 1604 66
"13" 1960 66
"14" 1962 66
"15" 2158 65
"16" 2160 67
"17" 2338 66
"18" 2340 66
"19" 3030 67
"20" 3032 67
"21" 3192 66
"22" 3194 66
"23" 3358 71
"24" 3360 70
"25" 3510 66
"26" 3512 67
"27" 3680 66
"28" 3682 66
"29" 3996 69
"30" 3998 71
"31" 4162 71
"32" 4164 71
"33" 4460 70
"34" 4462 71
"35" 4924 68
"36" 4926 70
"37" 5104 71
"38" 5106 71
"39" 5276 65
"40" 5278 66
"41" 5988 65
"42" 5990 66
"43" 6384 69
"44" 6386 71
"45" 6586 65
"46" 6588 66
"47" 6954 65
"48" 6956 65
"49" 7144 65
"50" 7146 65
"51" 7322 64
"52" 7324 65
"53" 7696 65
"54" 7698 65
"55" 8086 65
"56" 8088 66
"57" 8276 66
"58" 8278 66
"59" 8458 66
"60" 8460 66
"61" 8664 65
"62" 8666 66
"63" 9066 64
"64" 9068 66
"65" 9524 66
"66" 9526 66
"67" 9952 69
"68" 9954 70
"69" 10514 69
"70" 10516 71
"71" 10710 66
"72" 10712 66
"73" 11572 68
"74" 11574 70
"75" 12140 70
"76" 12142 70
"77" 12336 65
"78" 12338 65
"79" 12728 65
"80" 12730 66
"81" 14230 66
"82" 14232 67
"83" 14436 66
"84" 14438 66
"85" 15572 66
"86" 15574 67
"87" 15762 65
"88" 15764 67
"89" 15952 69
"90" 15954 71
"91" 16146 70
"92" 16148 71
"93" 16510 69
"94" 16512 71
"95" 16698 71
"96" 16700 71
"97" 16878 71
"98" 16880 71
"99" 17066 70
"100" 17068 70
"101" 17466 70
"102" 17468 71
"103" 17860 65
"104" 17862 65
"105" 18592 68
"106" 18594 70
"107" 18958 66
"108" 18960 66
"109" 19152 66
"110" 19154 66
"111" 19330 66
"112" 19332 66
"113" 19536 66
"114" 19538 66
"115" 19720 67
"116" 19722 67
"117" 20488 66
"118" 20490 67
"119" 20706 67
"120" 20708 67
"121" 21262 67
"122" 21264 67
"123" 21462 66
"124" 21464 67
"125" 21650 67
"126" 21652 67
"127" 21858 67
"128" 21860 66
"129" 22200 66
"130" 22202 67
"131" 22386 70
"132" 22388 71
"133" 22570 70
"134" 22572 71
"135" 22758 70
"136" 22760 70
"137" 22952 70
"138" 22954 70
"139" 23122 65
"140" 23124 66
"141" 23314 66
"142" 23316 66
"143" 23498 70
"144" 23500 70
"145" 23690 65
"146" 23692 65
"147" 23884 64
"148" 23886 65
"149" 24090 65
"150" 24092 65
"151" 24462 65
"152" 24464 65
"153" 24652 64
"154" 24654 65
"155" 24844 64
"156" 24846 66
"157" 25030 64
"158" 25032 66
"159" 25228 64
"160" 25230 65
"161" 25424 67
"162" 25426 67
"163" 25798 65
"164" 25800 67
"165" 26176 66
"166" 26178 67
"167" 26862 66
"168" 26864 67
"169" 27920 70
"170" 27922 71
"171" 28242 66
"172" 28244 67
"173" 28418 66
"174" 28420 67
"175" 28786 69
"176" 28788 71
"177" 29254 68
"178" 29256 71
"179" 29460 70
"180" 29462 71
"181" 30006 65
"182" 30008 66
"183" 30898 65
"184" 30900 65
"185" 31274 65
"186" 31276 66
"187" 31476 65
"188" 31478 66
"189" 33176 64
"190" 33178 66
"191" 35914 67
"192" 35916 67
"193" 36426 70
"194" 36428 70
"195" 36800 66
"196" 36802 67
"197" 37466 69
"198" 37468 71
"199" 38142 69
"200" 38144 71
"201" 38342 71
"202" 38344 71
"203" 38528 65
"204" 38530 65
"205" 38712 71
"206" 38714 71
"207" 39082 70
"208" 39084 71
"209" 39760 65
"210" 39762 65
"211" 39940 64
"212" 39942 65
"213" 40338 63
"214" 40340 65
"215" 40778 65
"216" 40780 65
"217" 41182 65
"218" 41184 65
"219" 41606 66
"220" 41608 67
"221" 42546 64
"222" 42548 65
"223" 43004 67
"224" 43006 67
"225" 43172 67
"226" 43174 67
"227" 43516 67
"228" 43518 67
"229" 43682 67
"230" 43684 67
"231" 43836 67
"232" 43838 67
"233" 44006 66
"234" 44008 67
"235" 44332 70
"236" 44334 70
"237" 44640 67
"238" 44642 67
"239" 44802 70
"240" 44804 70
"241" 44958 68
"242" 44960 70
"243" 45116 68
"244" 45118 71
"245" 45280 69
"246" 45282 70
"247" 46298 66
"248" 46300 66
"249" 46656 66
"250" 46658 66
"251" 46838 65
"252" 46840 66
"253" 47024 66
"254" 47026 66
"255" 47348 65
"256" 47350 66
"257" 48056 67
"258" 48058 67
"259" 48234 66
"260" 48236 67
"261" 48420 66
"262" 48422 66
"263" 48768 65
"264" 48770 67
"265" 48922 71
"266" 48924 71
"267" 49066 67
"268" 49068 67
"269" 49208 67
"270" 49210 67
"271" 49530 70
"272" 49532 70
"273" 49684 70
"274" 49686 70
"275" 49826 70
"276" 49828 71
"277" 50000 70
"278" 50002 71
"279" 50144 68
"280" 50146 70
"281" 50294 65
"282" 50296 65
"283" 50462 70
"284" 50464 71
"285" 50622 70
"286" 50624 71
"287" 50940 65
"288" 50942 66
"289" 51108 65
"290" 51110 66
"291" 51266 66
"292" 51268 65
"293" 51756 64
"294" 51758 65
"295" 52078 67
"296" 52080 67
"297" 52694 67
"298" 52696 67
"299" 52850 67
"300" 52852 67
"301" 53024 66
"302" 53026 67
"303" 53190 67
"304" 53192 67
"305" 53370 65
"306" 53372 66
"307" 53672 65
"308" 53674 66
"309" 53988 71
"310" 53990 71
"311" 54136 71
"312" 54138 71
"313" 54290 69
"314" 54292 71
"315" 54608 69
"316" 54610 71
"317" 54774 65
"318" 54776 66
"319" 54940 65
"320" 54942 65
"321" 55120 69
"322" 55122 71
"323" 55280 66
"324" 55282 66
"325" 55450 64
"326" 55452 65
"327" 55626 70
"328" 55628 69
"329" 56104 65
"330" 56106 65
"331" 56418 66
"332" 56420 65
"333" 56568 66
"334" 56570 66
"335" 57184 65
"336" 57186 67
"337" 57338 66
"338" 57340 66
"339" 57652 67
"340" 57654 67
"341" 57822 71
"342" 57824 71
"343" 57986 71
"344" 57988 71
"345" 58146 67
"346" 58148 67
"347" 58490 71
"348" 58492 71
"349" 58624 69
"350" 58626 71
"351" 58962 71
"352" 58964 71
"353" 59118 65
"354" 59120 66
"355" 59626 72
"356" 59628 72
"357" 59900 71
"358" 59902 71
"359" 60286 69
"360" 60288 72
"361" 60786 65
"362" 60788 65
"363" 61164 63
"364" 61166 65
"365" 61368 66
"366" 61370 65
"367" 61986 65
"368" 61988 65
"369" 62904 66
"370" 62906 67
"371" 64450 66
"372" 64452 67
"373" 64930 69
"374" 64932 71
"375" 65096 65
"376" 65098 67
"377" 65256 66
"378" 65258 67
