"V1" "V2"
"1" 102 65
"2" 104 67
"3" 262 64
"4" 264 65
"5" 454 65
"6" 456 67
"7" 1678 67
"8" 1680 67
"9" 1834 67
"10" 1836 67
"11" 2020 65
"12" 2022 67
"13" 2208 68
"14" 2210 67
"15" 2378 66
"16" 2380 67
"17" 2898 67
"18" 2900 67
"19" 3254 63
"20" 3256 64
"21" 3564 64
"22" 3566 64
"23" 4046 64
"24" 4048 65
"25" 4216 64
"26" 4218 64
"27" 4658 64
"28" 4660 64
"29" 4886 64
"30" 4888 65
"31" 5080 65
"32" 5082 67
"33" 5276 64
"34" 5278 64
"35" 5440 65
"36" 5442 67
"37" 5638 65
"38" 5640 67
"39" 5832 65
"40" 5834 67
"41" 6016 65
"42" 6018 67
"43" 6184 67
"44" 6186 67
"45" 6352 65
"46" 6354 67
"47" 6514 66
"48" 6516 68
"49" 6834 66
"50" 6836 67
"51" 7144 68
"52" 7146 67
"53" 7442 66
"54" 7444 67
"55" 7768 64
"56" 7770 64
"57" 8098 64
"58" 8100 65
"59" 8402 63
"60" 8404 64
"61" 8874 64
"62" 8876 65
"63" 9046 65
"64" 9048 67
"65" 9524 65
"66" 9526 67
"67" 9684 65
"68" 9686 67
"69" 9848 67
"70" 9850 67
"71" 10000 64
"72" 10002 64
"73" 10164 67
"74" 10166 67
"75" 10316 67
"76" 10318 67
"77" 10652 67
"78" 10654 67
"79" 10804 67
"80" 10806 68
"81" 10960 67
"82" 10962 68
"83" 11292 67
"84" 11294 67
"85" 11614 68
"86" 11616 67
"87" 12296 65
"88" 12298 67
"89" 12456 64
"90" 12458 64
"91" 12772 64
"92" 12774 64
"93" 13088 64
"94" 13090 64
"95" 13234 64
"96" 13236 65
"97" 13410 64
"98" 13412 64
"99" 13578 66
"100" 13580 67
"101" 13700 63
"102" 13702 64
"103" 13856 66
"104" 13858 67
"105" 14014 64
"106" 14016 64
"107" 14178 67
"108" 14180 68
"109" 14330 65
"110" 14332 68
"111" 14502 66
"112" 14504 67
"113" 14662 68
"114" 14664 68
"115" 14830 67
"116" 14832 67
"117" 15166 67
"118" 15168 67
"119" 15324 67
"120" 15326 67
"121" 15506 65
"122" 15508 67
"123" 15694 66
"124" 15696 66
"125" 15888 67
"126" 15890 67
"127" 16236 66
"128" 16238 67
"129" 17244 63
"130" 17246 64
"131" 17436 64
"132" 17438 64
"133" 17800 65
"134" 17802 64
"135" 17988 64
"136" 17990 64
"137" 18872 65
"138" 18874 65
"139" 19172 64
"140" 19174 65
"141" 19332 65
"142" 19334 67
"143" 19480 64
"144" 19482 66
"145" 19618 64
"146" 19620 66
"147" 19768 64
"148" 19770 66
"149" 19936 67
"150" 19938 67
"151" 20102 66
"152" 20104 67
"153" 20418 67
"154" 20420 68
"155" 20580 67
"156" 20582 67
"157" 20722 67
"158" 20724 67
"159" 21046 65
"160" 21048 65
"161" 21218 67
"162" 21220 67
"163" 21382 67
"164" 21384 67
"165" 21698 63
"166" 21700 64
"167" 21856 64
"168" 21858 65
"169" 22350 64
"170" 22352 64
"171" 22510 64
"172" 22512 64
"173" 22670 65
"174" 22672 65
"175" 22830 67
"176" 22832 67
"177" 22972 63
"178" 22974 64
"179" 23136 63
"180" 23138 65
"181" 23286 65
"182" 23288 67
"183" 23456 64
"184" 23458 65
"185" 24066 66
"186" 24068 66
"187" 24220 66
"188" 24222 67
"189" 24516 66
"190" 24518 68
"191" 24668 68
"192" 24670 67
"193" 24812 67
"194" 24814 67
"195" 24956 65
"196" 24958 67
"197" 25100 66
"198" 25102 67
"199" 25262 65
"200" 25264 67
"201" 26292 64
"202" 26294 65
"203" 26452 63
"204" 26454 65
"205" 26750 65
"206" 26752 64
"207" 26920 63
"208" 26922 65
"209" 27082 67
"210" 27084 67
"211" 27240 67
"212" 27242 67
"213" 27404 65
"214" 27406 67
"215" 27572 67
"216" 27574 67
"217" 27724 65
"218" 27726 65
"219" 27888 65
"220" 27890 67
"221" 28040 67
"222" 28042 67
"223" 28184 66
"224" 28186 65
"225" 28318 65
"226" 28320 65
"227" 28480 65
"228" 28482 65
"229" 28784 67
"230" 28786 67
"231" 28940 66
"232" 28942 67
"233" 29254 67
"234" 29256 67
"235" 29428 66
"236" 29430 67
"237" 29600 67
"238" 29602 67
"239" 30394 64
"240" 30396 65
"241" 30588 64
"242" 30590 65
"243" 30758 65
"244" 30760 65
"245" 30936 65
"246" 30938 65
"247" 31094 64
"248" 31096 65
"249" 31244 67
"250" 31246 67
"251" 31398 65
"252" 31400 65
"253" 31702 65
"254" 31704 65
"255" 31868 66
"256" 31870 67
"257" 32168 67
"258" 32170 67
"259" 32322 65
"260" 32324 67
"261" 32480 65
"262" 32482 67
"263" 32616 68
"264" 32618 68
"265" 32760 67
"266" 32762 66
"267" 32902 67
"268" 32904 67
"269" 33058 65
"270" 33060 68
"271" 33188 67
"272" 33190 67
"273" 33336 67
"274" 33338 67
"275" 33792 65
"276" 33794 67
"277" 34386 65
"278" 34388 65
"279" 35080 65
"280" 35082 66
"281" 35206 65
"282" 35208 65
"283" 35334 63
"284" 35336 65
"285" 35470 63
"286" 35472 65
"287" 35596 65
"288" 35598 65
"289" 35710 65
"290" 35712 67
"291" 35830 66
"292" 35832 66
"293" 36068 64
"294" 36070 65
"295" 36222 67
"296" 36224 67
"297" 36598 64
"298" 36600 66
"299" 36734 66
"300" 36736 66
"301" 36886 66
"302" 36888 66
"303" 37018 66
"304" 37020 66
"305" 37170 66
"306" 37172 66
"307" 37302 64
"308" 37304 66
"309" 37592 64
"310" 37594 66
"311" 37728 66
"312" 37730 66
"313" 38412 65
"314" 38414 65
"315" 38716 64
"316" 38718 65
"317" 38844 66
"318" 38846 66
"319" 39242 64
"320" 39244 66
"321" 39520 66
"322" 39522 66
"323" 39668 65
"324" 39670 66
"325" 39838 67
"326" 39840 66
"327" 39978 65
"328" 39980 67
"329" 40140 66
"330" 40142 66
"331" 40278 67
"332" 40280 67
"333" 40454 65
"334" 40456 66
"335" 40598 67
"336" 40600 67
"337" 41020 67
"338" 41022 66
"339" 41162 66
"340" 41164 67
"341" 41844 65
"342" 41846 65
"343" 42064 64
"344" 42066 64
"345" 42292 64
"346" 42294 65
"347" 42532 63
"348" 42534 65
"349" 42652 65
"350" 42654 67
"351" 42888 64
"352" 42890 64
"353" 43012 65
"354" 43014 67
"355" 43124 67
