"V1" "V2"
"1" 196 61
"2" 198 63
"3" 336 58
"4" 338 60
"5" 494 59
"6" 496 60
"7" 648 58
"8" 650 60
"9" 806 62
"10" 808 62
"11" 954 59
"12" 956 60
"13" 1496 60
"14" 1498 60
"15" 2218 58
"16" 2220 60
"17" 2412 64
"18" 2414 64
"19" 2796 63
"20" 2798 63
"21" 2968 62
"22" 2970 63
"23" 3134 62
"24" 3136 64
"25" 3300 62
"26" 3302 63
"27" 3602 60
"28" 3604 62
"29" 3756 63
"30" 3758 63
"31" 3886 63
"32" 3888 63
"33" 4478 62
"34" 4480 60
"35" 4614 59
"36" 4616 60
"37" 4768 62
"38" 4770 62
"39" 4924 59
"40" 4926 61
"41" 5048 59
"42" 5050 60
"43" 5184 62
"44" 5186 62
"45" 5318 60
"46" 5320 62
"47" 5474 59
"48" 5476 60
"49" 5618 60
"50" 5620 60
"51" 5926 44
"52" 5928 60
"53" 6070 60
"54" 6072 59
"55" 6198 59
"56" 6200 60
"57" 6348 63
"58" 6350 64
"59" 6502 63
"60" 6504 63
"61" 6642 63
"62" 6644 63
"63" 6788 63
"64" 6790 63
"65" 6928 62
"66" 6930 63
"67" 7070 63
"68" 7072 63
"69" 7226 62
"70" 7228 63
"71" 7368 62
"72" 7370 63
"73" 7502 63
"74" 7504 63
"75" 7662 63
"76" 7664 63
"77" 7798 63
"78" 7800 63
"79" 7944 63
"80" 7946 63
"81" 8242 63
"82" 8244 63
"83" 8386 60
"84" 8388 60
"85" 8652 60
"86" 8654 62
"87" 8806 60
"88" 8808 62
"89" 9110 60
"90" 9112 60
"91" 9258 61
"92" 9260 62
"93" 9426 59
"94" 9428 60
"95" 9576 59
"96" 9578 60
"97" 9724 59
"98" 9726 60
"99" 10006 60
"100" 10008 60
"101" 10598 62
"102" 10600 63
"103" 10898 62
"104" 10900 64
"105" 11064 62
"106" 11066 63
"107" 11226 62
"108" 11228 63
"109" 11386 63
"110" 11388 63
"111" 11556 63
"112" 11558 63
"113" 12026 63
"114" 12028 63
"115" 12180 63
"116" 12182 63
"117" 12336 61
"118" 12338 62
"119" 12696 61
"120" 12698 62
"121" 12874 61
"122" 12876 63
"123" 13048 61
"124" 13050 63
"125" 13242 60
"126" 13244 60
"127" 13428 62
"128" 13430 63
"129" 13764 59
"130" 13766 60
"131" 13922 58
"132" 13924 60
"133" 14102 60
"134" 14104 60
"135" 14628 59
"136" 14630 60
"137" 15436 62
"138" 15438 63
"139" 15614 59
"140" 15616 60
"141" 15774 63
"142" 15776 63
"143" 15952 63
"144" 15954 63
"145" 16420 62
"146" 16422 63
"147" 16914 62
"148" 16916 64
"149" 17196 63
"150" 17198 63
"151" 17556 60
"152" 17558 62
"153" 17734 63
"154" 17736 63
"155" 18078 62
"156" 18080 63
"157" 18622 60
"158" 18624 61
"159" 18912 60
"160" 18914 62
"161" 19298 61
"162" 19300 62
"163" 19468 60
"164" 19470 62
"165" 19640 62
"166" 19642 62
"167" 19836 62
"168" 19838 62
"169" 20018 60
"170" 20020 61
"171" 20398 60
"172" 20400 60
"173" 20584 59
"174" 20586 60
"175" 20786 60
"176" 20788 60
"177" 21264 58
"178" 21266 60
"179" 22318 63
"180" 22320 63
"181" 23462 62
"182" 23464 64
"183" 23626 63
"184" 23628 63
"185" 23806 64
"186" 23808 63
"187" 24168 62
"188" 24170 63
"189" 24606 63
"190" 24608 63
"191" 24800 63
"192" 24802 63
"193" 26438 62
"194" 26440 62
"195" 26836 62
"196" 26838 62
"197" 27390 59
"198" 27392 60
"199" 27590 60
"200" 27592 60
"201" 27782 59
"202" 27784 60
"203" 28158 59
"204" 28160 59
"205" 28332 59
"206" 28334 60
"207" 28532 63
"208" 28534 63
"209" 28906 62
"210" 28908 63
"211" 29108 63
"212" 29110 63
"213" 29286 63
"214" 29288 63
"215" 29640 62
"216" 29642 63
"217" 29978 64
"218" 29980 63
"219" 30300 63
"220" 30302 63
"221" 30622 63
"222" 30624 63
"223" 31020 60
"224" 31022 61
"225" 31202 61
"226" 31204 62
"227" 31382 63
"228" 31384 64
"229" 31592 62
"230" 31594 62
"231" 31764 61
"232" 31766 62
"233" 31930 62
"234" 31932 62
"235" 32092 60
"236" 32094 60
"237" 32282 62
"238" 32284 62
"239" 32624 60
"240" 32626 60
"241" 33492 61
"242" 33494 62
"243" 33662 59
"244" 33664 60
"245" 33842 59
"246" 33844 60
"247" 34038 60
"248" 34040 60
"249" 34226 59
"250" 34228 60
"251" 34416 60
"252" 34418 60
"253" 34964 62
"254" 34966 63
"255" 35104 63
"256" 35106 63
"257" 35272 59
"258" 35274 60
"259" 35608 63
"260" 35610 64
"261" 35796 63
"262" 35798 64
"263" 35964 62
"264" 35966 63
"265" 36528 61
"266" 36530 62
"267" 36716 62
"268" 36718 63
"269" 37084 60
"270" 37086 62
"271" 37276 62
"272" 37278 62
"273" 37450 60
"274" 37452 62
"275" 37800 61
"276" 37802 62
"277" 37980 62
"278" 37982 62
"279" 38160 61
"280" 38162 61
"281" 38358 60
"282" 38360 62
"283" 38540 60
"284" 38542 62
"285" 38732 60
"286" 38734 60
"287" 38914 62
