"V1" "V2"
"1" 102 65
"2" 104 67
"3" 262 64
"4" 264 65
"5" 454 65
"6" 456 67
"7" 1332 51
"8" 1334 66
"9" 1678 67
"10" 1680 67
"11" 1834 67
"12" 1836 67
"13" 2020 65
"14" 2022 67
"15" 2208 68
"16" 2210 67
"17" 2378 66
"18" 2380 67
"19" 2898 67
"20" 2900 67
"21" 3254 63
"22" 3256 64
"23" 3564 64
"24" 3566 64
"25" 4046 64
"26" 4048 65
"27" 4216 64
"28" 4218 64
"29" 4658 64
"30" 4660 64
"31" 4886 64
"32" 4888 65
"33" 5080 65
"34" 5082 67
"35" 5276 64
"36" 5278 64
"37" 5440 65
"38" 5442 67
"39" 5638 65
"40" 5640 67
"41" 5832 65
"42" 5834 67
"43" 6016 65
"44" 6018 67
"45" 6184 67
"46" 6186 67
"47" 6352 65
"48" 6354 67
"49" 6514 66
"50" 6516 68
"51" 6834 66
"52" 6836 67
"53" 7144 68
"54" 7146 67
"55" 7442 66
"56" 7444 67
"57" 7768 64
"58" 7770 64
"59" 8098 64
"60" 8100 65
"61" 8402 63
"62" 8404 64
"63" 8874 64
"64" 8876 65
"65" 9046 65
"66" 9048 67
"67" 9524 65
"68" 9526 67
"69" 9684 65
"70" 9686 67
"71" 9848 67
"72" 9850 67
"73" 10000 64
"74" 10002 64
"75" 10164 67
"76" 10166 67
"77" 10316 67
"78" 10318 67
"79" 10480 51
"80" 10482 67
"81" 10652 67
"82" 10654 67
"83" 10804 67
"84" 10806 68
"85" 10960 67
"86" 10962 68
"87" 11292 67
"88" 11294 67
"89" 11614 68
"90" 11616 67
"91" 12296 65
"92" 12298 67
"93" 12456 64
"94" 12458 64
"95" 12772 64
"96" 12774 64
"97" 13088 64
"98" 13090 64
"99" 13234 64
"100" 13236 65
"101" 13410 64
"102" 13412 64
"103" 13578 66
"104" 13580 67
"105" 13700 63
"106" 13702 64
"107" 13856 66
"108" 13858 67
"109" 14014 64
"110" 14016 64
"111" 14178 67
"112" 14180 68
"113" 14330 65
"114" 14332 68
"115" 14502 66
"116" 14504 67
"117" 14662 68
"118" 14664 68
"119" 14830 67
"120" 14832 67
"121" 15166 67
"122" 15168 67
"123" 15324 67
"124" 15326 67
"125" 15506 65
"126" 15508 67
"127" 15694 66
"128" 15696 66
"129" 15888 67
"130" 15890 67
"131" 16236 66
"132" 16238 67
"133" 17244 63
"134" 17246 64
"135" 17436 64
"136" 17438 64
"137" 17800 65
"138" 17802 64
"139" 17988 64
"140" 17990 64
"141" 18168 48
"142" 18170 64
"143" 18872 65
"144" 18874 65
"145" 19172 64
"146" 19174 65
"147" 19332 65
"148" 19334 67
"149" 19480 64
"150" 19482 66
"151" 19618 64
"152" 19620 66
"153" 19768 64
"154" 19770 66
"155" 19936 67
"156" 19938 67
"157" 20102 66
"158" 20104 67
"159" 20418 67
"160" 20420 68
"161" 20580 67
"162" 20582 67
"163" 20722 67
"164" 20724 67
"165" 21046 65
"166" 21048 65
"167" 21218 67
"168" 21220 67
"169" 21382 67
"170" 21384 67
"171" 21698 63
"172" 21700 64
"173" 21856 64
"174" 21858 65
"175" 22350 64
"176" 22352 64
"177" 22510 64
"178" 22512 64
"179" 22670 65
"180" 22672 65
"181" 22830 67
"182" 22832 67
"183" 22972 63
"184" 22974 64
"185" 23136 63
"186" 23138 65
"187" 23286 65
"188" 23288 67
"189" 23456 64
"190" 23458 65
"191" 24066 66
"192" 24068 66
"193" 24220 66
"194" 24222 67
"195" 24516 66
"196" 24518 68
"197" 24668 68
"198" 24670 67
"199" 24812 67
"200" 24814 67
"201" 24956 65
"202" 24958 67
"203" 25100 66
"204" 25102 67
"205" 25262 65
"206" 25264 67
"207" 26292 64
"208" 26294 65
"209" 26452 63
"210" 26454 65
"211" 26750 65
"212" 26752 64
"213" 26920 63
"214" 26922 65
"215" 27082 67
"216" 27084 67
"217" 27240 67
"218" 27242 67
"219" 27404 65
"220" 27406 67
"221" 27572 67
"222" 27574 67
"223" 27724 65
"224" 27726 65
"225" 27888 65
"226" 27890 67
"227" 28040 67
"228" 28042 67
"229" 28184 66
"230" 28186 65
"231" 28318 65
"232" 28320 65
"233" 28480 65
"234" 28482 65
"235" 28784 67
"236" 28786 67
"237" 28940 66
"238" 28942 67
"239" 29254 67
"240" 29256 67
"241" 29428 66
"242" 29430 67
"243" 29600 67
"244" 29602 67
"245" 30394 64
"246" 30396 65
"247" 30588 64
"248" 30590 65
"249" 30758 65
"250" 30760 65
"251" 30936 65
"252" 30938 65
"253" 31094 64
"254" 31096 65
"255" 31244 67
"256" 31246 67
"257" 31398 65
"258" 31400 65
"259" 31702 65
"260" 31704 65
"261" 31868 66
"262" 31870 67
"263" 32168 67
"264" 32170 67
"265" 32322 65
"266" 32324 67
"267" 32480 65
"268" 32482 67
"269" 32616 68
"270" 32618 68
"271" 32760 67
"272" 32762 66
"273" 32902 67
"274" 32904 67
"275" 33058 65
"276" 33060 68
"277" 33188 67
"278" 33190 67
"279" 33336 67
"280" 33338 67
"281" 33792 65
"282" 33794 67
"283" 34386 65
"284" 34388 65
"285" 35080 65
"286" 35082 66
"287" 35206 65
"288" 35208 65
"289" 35334 63
"290" 35336 65
"291" 35470 63
"292" 35472 65
"293" 35596 65
"294" 35598 65
"295" 35710 65
"296" 35712 67
"297" 35830 66
"298" 35832 66
"299" 36068 64
"300" 36070 65
"301" 36222 67
"302" 36224 67
"303" 36598 64
"304" 36600 66
"305" 36734 66
"306" 36736 66
"307" 36886 66
"308" 36888 66
"309" 37018 66
"310" 37020 66
"311" 37170 66
"312" 37172 66
"313" 37302 64
"314" 37304 66
"315" 37592 64
"316" 37594 66
"317" 37728 66
"318" 37730 66
"319" 38412 65
"320" 38414 65
"321" 38562 48
"322" 38564 65
"323" 38716 64
"324" 38718 65
"325" 38844 66
"326" 38846 66
"327" 38984 48
"328" 38986 65
"329" 39242 64
"330" 39244 66
"331" 39520 66
"332" 39522 66
"333" 39668 65
"334" 39670 66
"335" 39838 67
"336" 39840 66
"337" 39978 65
"338" 39980 67
"339" 40140 66
"340" 40142 66
"341" 40278 67
"342" 40280 67
"343" 40454 65
"344" 40456 66
"345" 40598 67
"346" 40600 67
"347" 41020 67
"348" 41022 66
"349" 41162 66
"350" 41164 67
"351" 41844 65
"352" 41846 65
"353" 42064 64
"354" 42066 64
"355" 42292 64
