"V1" "V2"
"1" 9 1
"2" 10 0
"3" 11 0
"4" 12 0
"5" 13 0
"6" 14 0
"7" 15 0
"8" 16 0
"9" 17 0
"10" 18 0
"11" 19 0
"12" 20 0
"13" 21 0
"14" 22 0
"15" 23 0
"16" 24 0
"17" 25 0
"18" 26 0
"19" 27 0
"20" 28 0
"21" 29 0
"22" 30 0
"23" 31 6
"24" 32 0
"25" 33 0
"26" 34 0
"27" 35 2
"28" 36 26
"29" 37 19
"30" 38 38
"31" 39 3
"32" 40 4
"33" 41 0
"34" 42 0
"35" 43 0
"36" 44 0
"37" 45 0
"38" 46 0
"39" 47 0
"40" 48 0
"41" 49 0
"42" 50 0
"43" 51 0
"44" 52 0
"45" 53 0
"46" 54 0
"47" 55 0
"48" 56 0
"49" 57 0
"50" 58 0
"51" 59 0
"52" 60 0
"53" 61 0
"54" 62 0
"55" 63 0
"56" 64 0
"57" 65 0
"58" 66 0
"59" 67 0
"60" 68 0
"61" 69 0
"62" 70 0
"63" 71 0
"64" 72 0
"65" 73 0
"66" 74 0
"67" 75 0
"68" 76 0
"69" 77 0
"70" 78 0
"71" 79 0
"72" 80 0
"73" 81 0
"74" 82 0
