"V1" "V2"
"1" 56 1
"2" 57 2
"3" 58 4
"4" 59 1
"5" 60 0
"6" 61 0
"7" 62 0
"8" 63 0
"9" 64 0
"10" 65 0
"11" 66 0
"12" 67 0
"13" 68 0
"14" 69 0
"15" 70 2
"16" 71 8
"17" 72 21
"18" 73 15
"19" 74 13
"20" 75 2
"21" 76 0
"22" 77 0
"23" 78 1
"24" 79 0
"25" 80 0
"26" 81 0
"27" 82 0
"28" 83 1
"29" 84 1
"30" 85 2
"31" 86 4
"32" 87 4
"33" 88 3
"34" 89 2
"35" 90 2
"36" 91 3
"37" 92 2
"38" 93 1
"39" 94 1
"40" 95 1
"41" 96 0
"42" 97 0
"43" 98 0
"44" 99 0
"45" 100 0
"46" 101 0
"47" 102 0
"48" 103 0
"49" 104 0
"50" 105 0
