"V1" "V2"
"1" 7304 68
"2" 31458 68
"3" 49206 68
"4" 51504 68
"5" 3896 69
"6" 12626 69
"7" 14216 69
"8" 15838 69
"9" 37224 69
"10" 42772 69
"11" 44322 69
"12" 44634 69
"13" 52840 69
"14" 65260 69
"15" 1484 70
"16" 11648 70
"17" 13386 70
"18" 19804 70
"19" 28326 70
"20" 43424 70
"21" 48316 70
"22" 49822 70
"23" 52916 70
"24" 53090 70
"25" 57182 70
"26" 74 71
"27" 11262 71
"28" 11264 71
"29" 12216 71
"30" 12218 71
"31" 12420 71
"32" 16858 71
"33" 21938 71
"34" 22278 71
"35" 23396 71
"36" 23670 71
"37" 24246 71
"38" 24248 71
"39" 24542 71
"40" 24544 71
"41" 24740 71
"42" 25110 71
"43" 25490 71
"44" 25492 71
"45" 25876 71
"46" 25878 71
"47" 26062 71
"48" 26064 71
"49" 26352 71
"50" 26580 71
"51" 28224 71
"52" 28496 71
"53" 28498 71
"54" 28968 71
"55" 28970 71
"56" 30602 71
"57" 30604 71
"58" 33150 71
"59" 33152 71
"60" 33580 71
"61" 33582 71
"62" 35758 71
"63" 37360 71
"64" 37362 71
"65" 38224 71
"66" 40922 71
"67" 44162 71
"68" 45356 71
"69" 46546 71
"70" 47954 71
"71" 47956 71
"72" 48498 71
"73" 49276 71
"74" 50842 71
"75" 51670 71
"76" 51672 71
"77" 52390 71
"78" 53432 71
"79" 54936 71
"80" 56484 71
"81" 57332 71
"82" 59038 71
"83" 59040 71
"84" 62446 71
"85" 62448 71
"86" 62996 71
"87" 62998 71
"88" 442 72
"89" 444 72
"90" 740 72
"91" 742 72
"92" 1234 72
"93" 1236 72
"94" 1396 72
"95" 1398 72
"96" 1828 72
"97" 1830 72
"98" 3170 72
"99" 3172 72
"100" 3336 72
"101" 4634 72
"102" 4988 72
"103" 4990 72
"104" 5168 72
"105" 5170 72
"106" 6736 72
"107" 6738 72
"108" 7486 72
"109" 7488 72
"110" 8354 72
"111" 8356 72
"112" 8534 72
"113" 8536 72
"114" 10484 72
"115" 10684 72
"116" 10686 72
"117" 12016 72
"118" 12018 72
"119" 12418 72
"120" 13648 72
"121" 13650 72
"122" 13828 72
"123" 13830 72
"124" 14412 72
"125" 14414 72
"126" 15086 72
"127" 15088 72
"128" 15276 72
"129" 15278 72
"130" 15650 72
"131" 15652 72
"132" 16396 72
"133" 16398 72
"134" 16676 72
"135" 16678 72
"136" 16856 72
"137" 17414 72
"138" 17416 72
"139" 19034 72
"140" 19036 72
"141" 19226 72
"142" 19228 72
"143" 19412 72
"144" 19414 72
"145" 20382 72
"146" 20384 72
"147" 20868 72
"148" 20870 72
"149" 21048 72
"150" 21050 72
"151" 21436 72
"152" 21438 72
"153" 21936 72
"154" 22096 72
"155" 22098 72
"156" 22280 72
"157" 22468 72
"158" 22470 72
"159" 22648 72
