"V1" "V2"
"1" 226 68
"2" 1994 68
"3" 5658 68
"4" 9984 68
"5" 15620 68
"6" 17572 68
"7" 25576 68
"8" 27158 68
"9" 27816 68
"10" 29146 68
"11" 34474 68
"12" 36712 68
"13" 36812 68
"14" 37004 68
"15" 37202 68
"16" 37868 68
"17" 40408 68
"18" 43508 68
"19" 43668 68
"20" 44568 68
"21" 49476 68
"22" 51884 68
"23" 52974 68
"24" 55064 68
"25" 56952 68
"26" 57532 68
"27" 65300 68
"28" 92 69
"29" 2246 69
"30" 2914 69
"31" 4224 69
"32" 4384 69
"33" 5068 69
"34" 5146 69
"35" 5292 69
"36" 6362 69
"37" 6568 69
"38" 8068 69
"39" 8142 69
"40" 10164 69
"41" 13546 69
"42" 14080 69
"43" 15714 69
"44" 16266 69
"45" 17750 69
"46" 17930 69
"47" 18142 69
"48" 18516 69
"49" 20172 69
"50" 20354 69
"51" 21396 69
"52" 23282 69
"53" 24370 69
"54" 24554 69
"55" 24742 69
"56" 24918 69
"57" 25378 69
"58" 26028 69
"59" 27348 69
"60" 27528 69
"61" 28094 69
"62" 28264 69
"63" 28444 69
"64" 28622 69
"65" 29334 69
"66" 30058 69
"67" 31184 69
"68" 31380 69
"69" 32302 69
"70" 32994 69
"71" 38536 69
"72" 38954 69
"73" 39578 69
"74" 44848 69
"75" 47162 69
"76" 47464 69
"77" 48010 69
"78" 49640 69
"79" 49642 69
"80" 49804 69
"81" 50356 69
"82" 51116 69
"83" 52420 69
"84" 57136 69
"85" 59448 69
"86" 60286 69
"87" 61394 69
"88" 62164 69
"89" 62704 69
"90" 63656 69
"91" 64194 69
"92" 94 70
"93" 228 70
"94" 366 70
"95" 368 70
"96" 532 70
"97" 534 70
"98" 962 70
"99" 1042 70
"100" 1044 70
"101" 1206 70
"102" 1208 70
"103" 1384 70
"104" 1386 70
"105" 1566 70
"106" 1568 70
"107" 1738 70
"108" 1740 70
"109" 1996 70
"110" 2084 70
"111" 2086 70
"112" 2248 70
"113" 2412 70
"114" 2414 70
"115" 2664 70
"116" 2666 70
"117" 2758 70
"118" 2760 70
"119" 3044 70
"120" 3046 70
"121" 3202 70
"122" 3204 70
"123" 3520 70
"124" 3522 70
"125" 3990 70
"126" 4226 70
"127" 4386 70
"128" 4550 70
"129" 4552 70
"130" 4764 70
"131" 4842 70
"132" 4844 70
"133" 5070 70
"134" 5294 70
"135" 5660 70
"136" 6364 70
"137" 7356 70
"138" 7358 70
"139" 7980 70
"140" 7982 70
"141" 8144 70
"142" 8292 70
"143" 8294 70
"144" 8592 70
"145" 8594 70
"146" 8860 70
"147" 9508 70
"148" 9986 70
"149" 10166 70
"150" 11360 70
"151" 11362 70
"152" 11728 70
"153" 11730 70
"154" 12714 70
"155" 12800 70
"156" 12802 70
"157" 13728 70
"158" 13992 70
"159" 15072 70
"160" 15622 70
"161" 15892 70
"162" 15894 70
"163" 16532 70
"164" 16534 70
"165" 16706 70
"166" 16708 70
"167" 17306 70
"168" 17308 70
"169" 17574 70
"170" 18144 70
"171" 18326 70
"172" 18518 70
"173" 18700 70
"174" 18702 70
"175" 19962 70
"176" 19964 70
"177" 20642 70
"178" 20644 70
"179" 21216 70
"180" 21586 70
"181" 21588 70
"182" 22538 70
"183" 22726 70
"184" 22728 70
"185" 23090 70
"186" 23480 70
"187" 23482 70
"188" 23912 70
"189" 23914 70
"190" 24094 70
"191" 24096 70
"192" 25276 70
"193" 25928 70
"194" 26030 70
"195" 26680 70
"196" 26682 70
"197" 27350 70
"198" 27530 70
"199" 27622 70
"200" 27624 70
"201" 27818 70
"202" 28010 70
"203" 28012 70
"204" 28266 70
"205" 29148 70
"206" 29336 70
"207" 29700 70
"208" 29702 70
"209" 29886 70
"210" 30060 70
"211" 31098 70
"212" 31100 70
"213" 31846 70
"214" 31848 70
"215" 32304 70
"216" 32624 70
"217" 32626 70
"218" 32808 70
"219" 33470 70
"220" 33472 70
"221" 33654 70
"222" 33656 70
"223" 33934 70
"224" 33936 70
"225" 34476 70
"226" 35130 70
"227" 35132 70
"228" 36188 70
"229" 36190 70
"230" 36540 70
"231" 36542 70
"232" 36714 70
"233" 36814 70
"234" 37006 70
"235" 37204 70
"236" 37492 70
"237" 37494 70
"238" 37870 70
"239" 38310 70
"240" 38312 70
"241" 38538 70
"242" 38956 70
"243" 39580 70
"244" 39776 70
"245" 39778 70
"246" 40410 70
"247" 42038 70
"248" 42040 70
"249" 42826 70
"250" 43076 70
"251" 43258 70
"252" 43260 70
"253" 43510 70
"254" 43670 70
"255" 43828 70
"256" 43830 70
"257" 44018 70
"258" 44020 70
"259" 44300 70
"260" 44302 70
"261" 44494 70
"262" 44496 70
"263" 44570 70
"264" 44660 70
"265" 44662 70
"266" 45206 70
"267" 45554 70
"268" 45556 70
"269" 46046 70
"270" 46048 70
"271" 46314 70
"272" 46316 70
"273" 46822 70
"274" 46824 70
"275" 47164 70
"276" 47704 70
"277" 48306 70
"278" 48308 70
"279" 48538 70
"280" 48636 70
"281" 48638 70
"282" 48936 70
"283" 49082 70
"284" 49084 70
"285" 49240 70
"286" 49242 70
"287" 49402 70
"288" 49404 70
"289" 49478 70
"290" 49806 70
"291" 49962 70
"292" 50358 70
"293" 50510 70
"294" 50512 70
"295" 51586 70
"296" 51886 70
"297" 52058 70
"298" 52060 70
"299" 52422 70
"300" 52886 70
"301" 52888 70
"302" 52976 70
"303" 53148 70
"304" 53150 70
"305" 53242 70
"306" 53414 70
"307" 53416 70
"308" 53496 70
"309" 53498 70
"310" 54104 70
