"V1" "V2"
"1" 28 87
"2" 30 87
"3" 176 85
"4" 178 84
"5" 262 80
"6" 264 80
"7" 346 83
"8" 348 83
"9" 408 76
"10" 410 76
"11" 500 83
"12" 502 82
"13" 584 66
"14" 678 84
"15" 680 84
"16" 850 83
"17" 852 83
"18" 1132 84
"19" 1134 83
"20" 1298 85
"21" 1300 85
"22" 1502 84
"23" 1504 84
"24" 1600 78
"25" 1602 78
"26" 1708 84
"27" 1710 84
"28" 1816 78
"29" 1818 78
"30" 1912 78
"31" 1914 78
"32" 2020 78
"33" 2022 78
"34" 2106 79
"35" 2108 79
"36" 2298 83
"37" 2300 84
"38" 2408 66
"39" 2520 79
"40" 2522 79
"41" 2636 65
"42" 2948 84
"43" 2950 84
"44" 3164 85
"45" 3166 84
"46" 3254 79
"47" 3256 79
"48" 3400 77
"49" 3402 77
"50" 3876 62
"51" 4126 79
"52" 4128 79
"53" 4278 78
"54" 4280 78
"55" 4552 84
"56" 4554 84
"57" 4804 68
"58" 5306 70
"59" 5576 83
"60" 5578 83
"61" 6090 83
"62" 6458 83
"63" 6460 84
"64" 6560 78
"65" 6562 78
"66" 6644 77
"67" 6646 78
"68" 6822 78
"69" 6824 78
"70" 6910 78
"71" 6912 77
"72" 6996 78
"73" 6998 78
"74" 7096 77
"75" 7098 77
"76" 7440 62
"77" 7668 79
"78" 8106 84
"79" 8108 84
"80" 8452 77
"81" 8454 77
"82" 8546 79
"83" 8548 79
"84" 8634 77
"85" 8636 76
"86" 8724 79
"87" 8726 80
"88" 8822 77
"89" 8824 77
"90" 8924 69
"91" 8926 79
"92" 9018 83
"93" 9020 84
"94" 9196 85
"95" 9198 85
"96" 9628 85
"97" 9630 84
"98" 10112 72
"99" 10336 62
"100" 10562 68
"101" 10766 70
"102" 10860 62
"103" 10942 79
"104" 10944 79
"105" 11020 78
"106" 11022 78
"107" 11128 79
"108" 11130 78
"109" 11214 77
"110" 11216 77
"111" 11310 84
"112" 11312 83
"113" 11378 78
"114" 11380 78
"115" 11460 79
"116" 11462 79
"117" 11550 79
"118" 11552 79
"119" 11638 88
"120" 11640 87
"121" 11808 73
"122" 11996 74
"123" 12100 79
"124" 12102 79
"125" 12202 78
"126" 12204 79
"127" 12296 79
"128" 12298 79
"129" 12382 79
"130" 12384 79
"131" 12460 84
"132" 12462 84
"133" 12544 78
"134" 12546 78
"135" 12644 79
"136" 12726 84
"137" 12728 85
"138" 12822 80
"139" 12824 79
"140" 13008 68
"141" 13088 75
"142" 13174 80
"143" 13176 80
"144" 13278 79
"145" 13280 78
"146" 13368 66
"147" 13448 78
"148" 13450 77
"149" 13630 85
"150" 13632 84
"151" 13812 69
"152" 13814 83
"153" 13882 79
"154" 13884 79
"155" 13976 79
"156" 13978 78
"157" 14166 84
"158" 14168 84
"159" 14262 79
"160" 14264 79
"161" 14356 79
"162" 14358 79
"163" 14442 79
"164" 14444 79
"165" 14540 84
"166" 14542 84
"167" 14726 84
"168" 14728 84
"169" 14814 78
"170" 14816 77
"171" 14916 84
"172" 14918 84
"173" 15006 78
"174" 15008 78
"175" 15094 78
"176" 15096 78
"177" 15184 79
"178" 15186 79
"179" 15382 62
"180" 15704 78
"181" 15706 78
"182" 15806 78
"183" 15808 78
"184" 15902 62
"185" 15904 78
"186" 16018 77
"187" 16020 77
"188" 16524 78
"189" 16526 78
"190" 16746 83
"191" 16748 83
"192" 17114 79
"193" 17116 79
"194" 17228 77
"195" 17230 77
"196" 17334 79
"197" 17336 80
"198" 17426 77
"199" 17428 77
"200" 17542 69
"201" 17714 78
"202" 17716 78
"203" 17922 78
"204" 17924 78
"205" 18110 73
"206" 18212 78
"207" 18214 78
"208" 18310 78
"209" 18312 78
"210" 18394 79
"211" 18396 79
"212" 18498 84
"213" 18500 84
"214" 18604 78
"215" 18606 78
"216" 18704 84
"217" 18796 79
"218" 18798 79
"219" 18900 83
"220" 18902 84
"221" 19004 79
"222" 19006 79
"223" 19116 78
"224" 19118 78
"225" 19228 65
"226" 19330 78
"227" 19332 78
"228" 19446 84
"229" 19448 84
"230" 19524 78
"231" 19526 78
"232" 19642 78
"233" 19644 78
"234" 19748 63
"235" 19846 79
"236" 19848 78
"237" 19940 79
"238" 19942 78
"239" 20030 79
"240" 20032 79
"241" 20120 85
"242" 20122 85
"243" 20208 79
"244" 20210 79
"245" 20304 78
"246" 20306 78
"247" 20392 64
"248" 20484 78
"249" 20486 78
"250" 20576 78
"251" 20578 78
"252" 20682 79
"253" 20684 79
"254" 20874 85
"255" 20876 85
"256" 20972 78
"257" 20974 78
"258" 21066 77
"259" 21068 78
"260" 21362 78
"261" 21364 78
"262" 21458 78
"263" 21460 78
"264" 21554 81
"265" 21556 80
"266" 21674 82
"267" 21676 83
"268" 21886 78
"269" 21888 78
"270" 22112 85
